code,title,Level,Hierarchical_structure,parent,noc1d,noc2d,noc3d,noc4d
0,Management Occupations,1,Broad occupational category,NA,0,NA,NA,NA
00,Senior Management Occupations,2,Major group,0,0,00,NA,NA
001,Legislators and Senior Management,3,Minor group,00,0,00,001,NA
0011,Legislators,4,Unit group,001,0,00,001,0011
0012,Senior Government Managers and Officials,4,Unit group,001,0,00,001,0012
0013,"Senior Managers - Financial, Communications and Other Business Services",4,Unit group,001,0,00,001,0013
0014,"Senior Managers - Health, Education, Social and Community Services and Membership Organizations",4,Unit group,001,0,00,001,0014
0015,"Senior Managers - Trade, Broadcasting and Other Services, n.e.c.",4,Unit group,001,0,00,001,0015
0016,"Senior Managers - Goods Production, Utilities, Transportation and Construction",4,Unit group,001,0,00,001,0016
01,Middle and Other Management Occupations,2,Major group,0,0,01,NA,NA
011,Administrative Services Managers,3,Minor group,01,0,01,011,NA
0111,Financial Managers,4,Unit group,011,0,01,011,0111
0112,Human Resources Managers,4,Unit group,011,0,01,011,0112
0113,Purchasing Managers,4,Unit group,011,0,01,011,0113
0114,Other Administrative Services Managers,4,Unit group,011,0,01,011,0114
012,Managers in Financial and Business Services,3,Minor group,01,0,01,012,NA
0121,"Insurance, Real Estate and Financial Brokerage Managers",4,Unit group,012,0,01,012,0121
0122,"Banking, Credit and Other Investment Managers",4,Unit group,012,0,01,012,0122
0123,Other Business Services Managers,4,Unit group,012,0,01,012,0123
013,Managers in Communication (Except Broadcasting),3,Minor group,01,0,01,013,NA
0131,Telecommunication Carriers Managers,4,Unit group,013,0,01,013,0131
0132,Postal and Courier Services Managers,4,Unit group,013,0,01,013,0132
02,Middle and Other Management Occupations,2,Major group,0,0,02,NA,NA
021,"Managers in Engineering, Architecture, Science and Information Systems",3,Minor group,02,0,02,021,NA
0211,Engineering Managers,4,Unit group,021,0,02,021,0211
0212,Architecture and Science Managers,4,Unit group,021,0,02,021,0212
0213,Computer and Information Systems Managers,4,Unit group,021,0,02,021,0213
03,Middle and Other Management Occupations,2,Major group,0,0,03,NA,NA
031,"Managers in Health, Education, Social and Community Services",3,Minor group,03,0,03,031,NA
0311,Managers in Health Care,4,Unit group,031,0,03,031,0311
0312,Administrators - Post-Secondary Education and Vocational Training,4,Unit group,031,0,03,031,0312
0313,School Principals and Administrators of Elementary and Secondary Education,4,Unit group,031,0,03,031,0313
0314,"Managers in Social, Community and Correctional Services",4,Unit group,031,0,03,031,0314
04,Middle and Other Management Occupations,2,Major group,0,0,04,NA,NA
041,Managers in Public Administration,3,Minor group,04,0,04,041,NA
0411,Government Managers - Health and Social Policy Development and Program Administration,4,Unit group,041,0,04,041,0411
0412,"Government Managers - Economic Analysis, Policy Development and Program Administration",4,Unit group,041,0,04,041,0412
0413,Government Managers - Education Policy Development and Program Administration,4,Unit group,041,0,04,041,0413
0414,Other Managers in Public Administration,4,Unit group,041,0,04,041,0414
05,Middle and Other Management Occupations,2,Major group,0,0,05,NA,NA
051,"Managers in Art, Culture, Recreation and Sport",3,Minor group,05,0,05,051,NA
0511,"Library, Archive, Museum and Art Gallery Managers",4,Unit group,051,0,05,051,0511
0512,"Managers - Publishing, Motion Pictures, Broadcasting and Performing Arts",4,Unit group,051,0,05,051,0512
0513,"Recreation, Sports and Fitness Program and Service Directors",4,Unit group,051,0,05,051,0513
06,Middle and Other Management Occupations,2,Major group,0,0,06,NA,NA
061,"Sales, Marketing and Advertising Managers",3,Minor group,06,0,06,061,NA
0611,"Sales, Marketing and Advertising Managers",4,Unit group,061,0,06,061,0611
062,Managers in Retail Trade,3,Minor group,06,0,06,062,NA
