noc2011_code,soc2010_code
2141,17-2161
2141,17-2199
2142,17-2031
2142,17-2111
2142,17-2131
2142,17-2151
2142,17-2161
2142,17-2171
2142,17-2199
2142,19-2032
2143,17-2031
2143,17-2111
2143,17-2131
2143,17-2151
2143,17-2161
2143,17-2171
2143,17-2199
2143,19-2032
2144,17-2051
2145,17-2131
2145,17-2151
2145,17-2171
2145,19-2032
2146,17-2011
2146,17-2021
2146,17-2121
2146,17-2141
2147,15-1143
2147,17-2061
2147,17-2072
2148,17-2011
2148,17-2021
2148,17-2031
2148,17-2111
2148,17-2121
2148,17-2131
2148,17-2141
2148,17-2161
2148,17-2199
2151,17-1011
2152,17-1012
2153,19-3051
2154,17-1021
2154,17-1022
2161,15-2011
2161,15-2021
2161,15-2031
2161,15-2041
2161,19-3022
2171,15-1111
2171,15-1121
2171,15-1122
2171,15-1199
2172,15-1141
2173,15-1132
2173,15-1133
2174,15-1131
2174,15-1132
2174,15-1133
2174,15-1134
2175,15-1134
2175,15-1142
2175,27-1014
2175,27-1024
2211,17-3025
2211,17-3026
2211,17-3029
2211,19-4021
2211,19-4031
2211,19-4041
2211,19-4051
2211,19-4091
2211,19-4092
2211,19-4099
2211,33-1021
2211,33-2021
2211,33-2022
2211,53-6041
2212,17-3029
2212,19-4031
2212,19-4041
2212,19-4099
2221,19-4011
2221,19-4021
2221,19-4091
2221,45-1011
2221,45-2021
2222,45-2011
2223,19-1013
2223,19-1032
2223,19-4093
2223,25-9021
2223,45-1011
2223,45-4011
2223,45-4021
2223,45-4022
2223,45-4023
2223,45-4029
2224,19-1031
2224,19-2041
2224,33-1099
2224,33-3031
2224,33-3041
2224,33-9011
2224,33-9091
2224,33-9092
2224,33-9099
2224,43-5031
2225,17-1012
2225,19-4011
2225,37-1012
2225,37-3013
2225,45-2091
2231,17-3022
2231,17-3031
2231,33-1021
2231,33-2021
2231,47-4011
2232,17-3021
2232,17-3024
2232,17-3025
2232,17-3026
2232,17-3027
2232,17-3029
2232,19-4051
2232,19-4092
2232,19-4099
2232,33-1021
2232,33-2021
2232,33-2022
2232,53-6041
2233,17-3025
2233,17-3026
2233,17-3029
2233,19-4051
2233,19-4092
2233,19-4099
2233,33-1021
2233,33-2021
2233,33-2022
2233,53-6041
2234,17-3022
2234,17-3031
2234,33-1021
2234,33-2021
2234,47-4011
2241,17-3023
2241,17-3024
2242,49-1011
2242,49-2011
2242,49-2021
2242,49-2022
2242,49-2091
2242,49-2093
2242,49-2094
2242,49-2095
2242,49-2096
2242,49-2097
2242,49-9052
2243,17-3023
2243,47-4021
2243,49-1011
2243,49-2092
2243,49-2093
2243,49-2094
2243,49-2095
2243,49-2096
2243,49-2098
2243,49-3053
2243,49-9011
2243,49-9012
2243,49-9031
2243,49-9061
2243,49-9062
2243,49-9064
2243,49-9069
2243,49-9097
2243,51-4012
2244,47-4021
2244,49-1011
2244,49-2011
2244,49-2091
2244,49-2092
2244,49-2093
2244,49-2094
2244,49-2095
2244,49-2096
2244,49-2098
2244,49-3053
2244,49-9011
2244,49-9012
2244,49-9031
2244,49-9097
2251,17-3025
2251,17-3026
2251,17-3029
2251,19-4051
2251,19-4092
2251,19-4099
2251,33-1021
2251,33-2021
2251,33-2022
2251,53-6041
2252,27-1021
2252,27-1022
2252,27-1029
2253,17-3011
2253,17-3012
2253,17-3013
2253,17-3019
2253,27-1013
2254,17-3011
2254,17-3012
2254,17-3013
2254,17-3019
2254,17-3022
2254,17-3031
2254,27-1013
2254,33-1021
2254,33-2021
2254,47-4011
2255,17-1021
2255,17-1022
2255,19-4031
2255,19-4041
2255,19-4099
2261,17-3025
2261,17-3026
2261,17-3029
2261,19-4051
2261,19-4092
2261,19-4099
2261,33-1021
2261,33-2021
2261,33-2022
2261,53-6041
2262,17-3025
2262,17-3026
2262,17-3029
2262,19-4051
2262,19-4092
2262,19-4099
2262,33-1021
2262,33-2021
2262,33-2022
2262,45-2011
2262,53-6041
2263,29-9012
2263,45-2011
2263,53-1031
2263,53-6051
2264,17-3022
2264,17-3031
2264,33-1021
2264,33-2021
2264,47-4011
2271,53-1031
2271,53-2011
2271,53-2012
2272,53-1031
2272,53-2021
2273,53-1031
2273,53-5021
2274,53-1031
2274,53-5031
2275,43-5032
2281,15-1134
2281,15-1142
2281,15-1152
2281,43-9011
2282,15-1151
2283,15-1199
3011,29-1141
3011,29-1151
3011,29-1171
3012,29-1141
3012,29-1151
3012,29-1171
3111,29-1061
3111,29-1064
3111,29-1066
3111,29-1067
3111,29-1069
3112,29-1062
3112,29-1063
3112,29-1065
3112,29-1069
3113,29-1021
3113,29-1022
3113,29-1023
3113,29-1024
3113,29-1029
3114,29-1131
3121,29-1041
3122,29-1126
3122,29-2031
3122,29-2051
3122,29-2053
3122,29-2054
3122,29-2055
3122,29-2099
3122,29-9099
3122,31-2011
3122,31-9099
3124,29-1071
3124,29-1141
3124,29-1151
3124,29-1161
3124,29-1171
3125,29-1011
3125,29-1041
3125,29-1081
3125,29-1122
3125,29-1125
3125,29-1126
3125,29-1129
3125,29-1199
3125,29-2031
3125,29-2051
3125,29-2053
3125,29-2054
3125,29-2055
3125,29-2099
3125,29-9092
3125,29-9099
3125,31-2011
3125,31-9099
3131,29-1051
3132,29-1031
3141,29-1127
3141,29-1181
3142,29-1123
3142,29-1128
3143,29-1011
3143,29-1081
3143,29-1122
3143,29-1125
3143,29-1129
3143,29-1199
3143,29-9092
3144,29-1011
3144,29-1081
3144,29-1122
3144,29-1125
3144,29-1129
3144,29-1199
3144,29-9092
3211,29-2011
3211,29-2012
3212,29-2011
3212,29-2012
3212,31-1015
3212,31-2012
3212,31-2022
3212,31-9091
3212,31-9093
3212,31-9095
3212,31-9097
3212,31-9099
3213,29-2056
3213,31-9096
3214,29-1126
3214,29-2031
3214,29-2051
3214,29-2053
3214,29-2054
3214,29-2055
3214,29-2099
3214,29-9099
3214,31-2011
3214,31-9099
3215,29-1124
3215,29-2032
3215,29-2033
3215,29-2034
3215,29-2035
3216,29-1124
3216,29-2032
3216,29-2033
3216,29-2034
3216,29-2035
3217,29-1124
