code,title,Level,Hierarchical_structure,parent,noc1d,noc2d,noc3d,noc4d
2113,Geoscientists and oceanographers,4,Unit group,211,2,21,211,2113
2114,Meteorologists and climatologists,4,Unit group,211,2,21,211,2114
2115,Other professional occupations in physical sciences,4,Unit group,211,2,21,211,2115
212,Life science professionals,3,Minor group,21,2,21,212,NA
2121,Biologists and related scientists,4,Unit group,212,2,21,212,2121
2122,Forestry professionals,4,Unit group,212,2,21,212,2122
2123,"Agricultural representatives, consultants and specialists",4,Unit group,212,2,21,212,2123
213,"Civil, mechanical, electrical and chemical engineers",3,Minor group,21,2,21,213,NA
2131,Civil engineers,4,Unit group,213,2,21,213,2131
2132,Mechanical engineers,4,Unit group,213,2,21,213,2132
2133,Electrical and electronics engineers,4,Unit group,213,2,21,213,2133
2134,Chemical engineers,4,Unit group,213,2,21,213,2134
214,Other engineers,3,Minor group,21,2,21,214,NA
2141,Industrial and manufacturing engineers,4,Unit group,214,2,21,214,2141
2142,Metallurgical and materials engineers,4,Unit group,214,2,21,214,2142
2143,Mining engineers,4,Unit group,214,2,21,214,2143
2144,Geological engineers,4,Unit group,214,2,21,214,2144
2145,Petroleum engineers,4,Unit group,214,2,21,214,2145
2146,Aerospace engineers,4,Unit group,214,2,21,214,2146
2147,Computer engineers (except software engineers and designers),4,Unit group,214,2,21,214,2147
2148,"Other professional engineers, n.e.c.",4,Unit group,214,2,21,214,2148
215,"Architects, urban planners and land surveyors",3,Minor group,21,2,21,215,NA
2151,Architects,4,Unit group,215,2,21,215,2151
2152,Landscape architects,4,Unit group,215,2,21,215,2152
2153,Urban and land use planners,4,Unit group,215,2,21,215,2153
2154,Land surveyors,4,Unit group,215,2,21,215,2154
216,"Mathematicians, statisticians and actuaries",3,Minor group,21,2,21,216,NA
2161,"Mathematicians, statisticians and actuaries",4,Unit group,216,2,21,216,2161
217,Computer and information systems professionals,3,Minor group,21,2,21,217,NA
2171,Information systems analysts and consultants,4,Unit group,217,2,21,217,2171
2172,Database analysts and data administrators,4,Unit group,217,2,21,217,2172
2173,Software engineers and designers,4,Unit group,217,2,21,217,2173
2174,Computer programmers and interactive media developers,4,Unit group,217,2,21,217,2174
2175,Web designers and developers,4,Unit group,217,2,21,217,2175
22,Technical occupations related to natural and applied sciences,2,Major group,2,2,22,NA,NA
221,Technical occupations in physical sciences,3,Minor group,22,2,22,221,NA
2211,Chemical technologists and technicians,4,Unit group,221,2,22,221,2211
2212,Geological and mineral technologists and technicians,4,Unit group,221,2,22,221,2212
222,Technical occupations in life sciences,3,Minor group,22,2,22,222,NA
2221,Biological technologists and technicians,4,Unit group,222,2,22,222,2221
2222,Agricultural and fish products inspectors,4,Unit group,222,2,22,222,2222
2223,Forestry technologists and technicians,4,Unit group,222,2,22,222,2223
2224,Conservation and fishery officers,4,Unit group,222,2,22,222,2224
2225,Landscape and horticulture technicians and specialists,4,Unit group,222,2,22,222,2225
223,"Technical occupations in civil, mechanical and industrial engineering",3,Minor group,22,2,22,223,NA
2231,Civil engineering technologists and technicians,4,Unit group,223,2,22,223,2231
2232,Mechanical engineering technologists and technicians,4,Unit group,223,2,22,223,2232
2233,Industrial engineering and manufacturing technologists and technicians,4,Unit group,223,2,22,223,2233
2234,Construction estimators,4,Unit group,223,2,22,223,2234
224,Technical occupations in electronics and electrical engineering,3,Minor group,22,2,22,224,NA
2241,Electrical and electronics engineering technologists and technicians,4,Unit group,224,2,22,224,2241
2242,Electronic service technicians (household and business equipment),4,Unit group,224,2,22,224,2242
2243,Industrial instrument technicians and mechanics,4,Unit group,224,2,22,224,2243
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",4,Unit group,224,2,22,224,2244
225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology",3,Minor group,22,2,22,225,NA
2251,Architectural technologists and technicians,4,Unit group,225,2,22,225,2251
2252,Industrial designers,4,Unit group,225,2,22,225,2252
2253,Drafting technologists and technicians,4,Unit group,225,2,22,225,2253
2254,Land survey technologists and technicians,4,Unit group,225,2,22,225,2254
2255,Technical occupations in geomatics and meteorology,4,Unit group,225,2,22,225,2255
226,Other technical inspectors and regulatory officers,3,Minor group,22,2,22,226,NA
2261,Non-destructive testers and inspection technicians,4,Unit group,226,2,22,226,2261
2262,Engineering inspectors and regulatory officers,4,Unit group,226,2,22,226,2262
2263,Inspectors in public and environmental health and occupational health and safety,4,Unit group,226,2,22,226,2263
2264,Construction inspectors,4,Unit group,226,2,22,226,2264
227,Transportation officers and controllers,3,Minor group,22,2,22,227,NA
2271,"Air pilots, flight engineers and flying instructors",4,Unit group,227,2,22,227,2271
2272,Air traffic controllers and related occupations,4,Unit group,227,2,22,227,2272
2273,"Deck officers, water transport",4,Unit group,227,2,22,227,2273
2274,"Engineer officers, water transport",4,Unit group,227,2,22,227,2274
2275,Railway traffic controllers and marine traffic regulators,4,Unit group,227,2,22,227,2275
228,Technical occupations in computer and information systems,3,Minor group,22,2,22,228,NA
2281,Computer network technicians,4,Unit group,228,2,22,228,2281
2282,User support technicians,4,Unit group,228,2,22,228,2282
2283,Information systems testing technicians,4,Unit group,228,2,22,228,2283
3,Health occupations,1,Broad occupational category,NA,3,NA,NA,NA
30,Professional occupations in nursing,2,Major group,3,3,30,NA,NA
301,Professional occupations in nursing,3,Minor group,30,3,30,301,NA
3011,Nursing co-ordinators and supervisors,4,Unit group,301,3,30,301,3011
3012,Registered nurses and registered psychiatric nurses,4,Unit group,301,3,30,301,3012
31,Professional occupations in health (except nursing),2,Major group,3,3,31,NA,NA
311,"Physicians, dentists and veterinarians",3,Minor group,31,3,31,311,NA
3111,Specialist physicians,4,Unit group,311,3,31,311,3111
3112,General practitioners and family physicians,4,Unit group,311,3,31,311,3112
3113,Dentists,4,Unit group,311,3,31,311,3113
3114,Veterinarians,4,Unit group,311,3,31,311,3114
312,"Optometrists, chiropractors and other health diagnosing and treating professionals",3,Minor group,31,3,31,312,NA
3121,Optometrists,4,Unit group,312,3,31,312,3121
3122,Chiropractors,4,Unit group,312,3,31,312,3122
3124,Allied primary health practitioners,4,Unit group,312,3,31,312,3124
3125,Other professional occupations in health diagnosing and treating,4,Unit group,312,3,31,312,3125
313,"Pharmacists, dietitians and nutritionists",3,Minor group,31,3,31,313,NA
3131,Pharmacists,4,Unit group,313,3,31,313,3131
3132,Dietitians and nutritionists,4,Unit group,313,3,31,313,3132
314,Therapy and assessment professionals,3,Minor group,31,3,31,314,NA
3141,Audiologists and speech-language pathologists,4,Unit group,314,3,31,314,3141
3142,Physiotherapists,4,Unit group,314,3,31,314,3142
3143,Occupational therapists,4,Unit group,314,3,31,314,3143
3144,Other professional occupations in therapy and assessment,4,Unit group,314,3,31,314,3144
32,Technical occupations in health,2,Major group,3,3,32,NA,NA
321,Medical technologists and technicians (except dental health),3,Minor group,32,3,32,321,NA
3211,Medical laboratory technologists,4,Unit group,321,3,32,321,3211
3212,Medical laboratory technicians and pathologists' assistants,4,Unit group,321,3,32,321,3212
3213,Animal health technologists and veterinary technicians,4,Unit group,321,3,32,321,3213
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",4,Unit group,321,3,32,321,3214
3215,Medical radiation technologists,4,Unit group,321,3,32,321,3215
3216,Medical sonographers,4,Unit group,321,3,32,321,3216
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",4,Unit group,321,3,32,321,3217
3219,Other medical technologists and technicians (except dental health),4,Unit group,321,3,32,321,3219
322,Technical occupations in dental health care,3,Minor group,32,3,32,322,NA
3221,Denturists,4,Unit group,322,3,32,322,3221
3222,Dental hygienists and dental therapists,4,Unit group,322,3,32,322,3222
3223,"Dental technologists, technicians and laboratory assistants",4,Unit group,322,3,32,322,3223
323,Other technical occupations in health care,3,Minor group,32,3,32,323,NA
3231,Opticians,4,Unit group,323,3,32,323,3231
3232,Practitioners of natural healing,4,Unit group,323,3,32,323,3232
3233,Licensed practical nurses,4,Unit group,323,3,32,323,3233
3234,Paramedical occupations,4,Unit group,323,3,32,323,3234
3236,Massage therapists,4,Unit group,323,3,32,323,3236
3237,Other technical occupations in therapy and assessment,4,Unit group,323,3,32,323,3237
34,Assisting occupations in support of health services,2,Major group,3,3,34,NA,NA
341,Assisting occupations in support of health services,3,Minor group,34,3,34,341,NA
3411,Dental assistants,4,Unit group,341,3,34,341,3411
3413,"Nurse aides, orderlies and patient service associates",4,Unit group,341,3,34,341,3413
3414,Other assisting occupations in support of health services,4,Unit group,341,3,34,341,3414
4,"Occupations in education, law and social, community and government services",1,Broad occupational category,NA,4,NA,NA,NA
40,Professional occupations in education services,2,Major group,4,4,40,NA,NA
401,University professors and post-secondary assistants,3,Minor group,40,4,40,401,NA
4011,University professors and lecturers,4,Unit group,401,4,40,401,4011
4012,Post-secondary teaching and research assistants,4,Unit group,401,4,40,401,4012
402,College and other vocational instructors,3,Minor group,40,4,40,402,NA
4021,College and other vocational instructors,4,Unit group,402,4,40,402,4021
403,Secondary and elementary school teachers and educational counsellors,3,Minor group,40,4,40,403,NA
4031,Secondary school teachers,4,Unit group,403,4,40,403,4031
4032,Elementary school and kindergarten teachers,4,Unit group,403,4,40,403,4032
4033,Educational counsellors,4,Unit group,403,4,40,403,4033
41,"Professional occupations in law and social, community and government services",2,Major group,4,4,41,NA,NA
411,"Judges, lawyers and Quebec notaries",3,Minor group,41,4,41,411,NA
4111,Judges,4,Unit group,411,4,41,411,4111
4112,Lawyers and Quebec notaries,4,Unit group,411,4,41,411,4112
415,Social and community service professionals,3,Minor group,41,4,41,415,NA
4151,Psychologists,4,Unit group,415,4,41,415,4151
4152,Social workers,4,Unit group,415,4,41,415,4152
4153,"Family, marriage and other related counsellors",4,Unit group,415,4,41,415,4153
4154,Professional occupations in religion,4,Unit group,415,4,41,415,4154
4155,Probation and parole officers and related occupations,4,Unit group,415,4,41,415,4155
4156,Employment counsellors,4,Unit group,415,4,41,415,4156
416,"Policy and program researchers, consultants and officers",3,Minor group,41,4,41,416,NA
4161,"Natural and applied science policy researchers, consultants and program officers",4,Unit group,416,4,41,416,4161
4162,Economists and economic policy researchers and analysts,4,Unit group,416,4,41,416,4162
4163,Business development officers and marketing researchers and consultants,4,Unit group,416,4,41,416,4163
4164,"Social policy researchers, consultants and program officers",4,Unit group,416,4,41,416,4164
4165,"Health policy researchers, consultants and program officers",4,Unit group,416,4,41,416,4165
4166,"Education policy researchers, consultants and program officers",4,Unit group,416,4,41,416,4166
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",4,Unit group,416,4,41,416,4167
4168,Program officers unique to government,4,Unit group,416,4,41,416,4168
4169,"Other professional occupations in social science, n.e.c.",4,Unit group,416,4,41,416,4169
42,"Paraprofessional occupations in legal, social, community and education services",2,Major group,4,4,42,NA,NA
421,"Paraprofessional occupations in legal, social, community and education services",3,Minor group,42,4,42,421,NA
4211,Paralegal and related occupations,4,Unit group,421,4,42,421,4211
4212,Social and community service workers,4,Unit group,421,4,42,421,4212
4214,Early childhood educators and assistants,4,Unit group,421,4,42,421,4214
4215,Instructors of persons with disabilities,4,Unit group,421,4,42,421,4215
4216,Other instructors,4,Unit group,421,4,42,421,4216
4217,Other religious occupations,4,Unit group,421,4,42,421,4217
43,Occupations in front-line public protection services,2,Major group,4,4,43,NA,NA
431,Occupations in front-line public protection services,3,Minor group,43,4,43,431,NA
4311,Police officers (except commissioned),4,Unit group,431,4,43,431,4311
4312,Firefighters,4,Unit group,431,4,43,431,4312
4313,Non-commissioned ranks of the Canadian Forces,4,Unit group,431,4,43,431,4313
44,"Care providers and educational, legal and public protection support occupations",2,Major group,4,4,44,NA,NA
441,Home care providers and educational support occupations,3,Minor group,44,4,44,441,NA
4411,Home child care providers,4,Unit group,441,4,44,441,4411
4412,"Home support workers, housekeepers and related occupations",4,Unit group,441,4,44,441,4412
4413,Elementary and secondary school teacher assistants,4,Unit group,441,4,44,441,4413
442,Legal and public protection support occupations,3,Minor group,44,4,44,442,NA
4421,Sheriffs and bailiffs,4,Unit group,442,4,44,442,4421
4422,Correctional service officers,4,Unit group,442,4,44,442,4422
4423,"By-law enforcement and other regulatory officers, n.e.c.",4,Unit group,442,4,44,442,4423
5,"Occupations in art, culture, recreation and sport",1,Broad occupational category,NA,5,NA,NA,NA
51,Professional occupations in art and culture,2,Major group,5,5,51,NA,NA
511,"Librarians, archivists, conservators and curators",3,Minor group,51,5,51,511,NA
5111,Librarians,4,Unit group,511,5,51,511,5111
5112,Conservators and curators,4,Unit group,511,5,51,511,5112
5113,Archivists,4,Unit group,511,5,51,511,5113
512,"Writing, translating and related communications professionals",3,Minor group,51,5,51,512,NA
5121,Authors and writers,4,Unit group,512,5,51,512,5121
5122,Editors,4,Unit group,512,5,51,512,5122
5123,Journalists,4,Unit group,512,5,51,512,5123
5125,"Translators, terminologists and interpreters",4,Unit group,512,5,51,512,5125
513,Creative and performing artists,3,Minor group,51,5,51,513,NA
5131,"Producers, directors, choreographers and related occupations",4,Unit group,513,5,51,513,5131
5132,"Conductors, composers and arrangers",4,Unit group,513,5,51,513,5132
5133,Musicians and singers,4,Unit group,513,5,51,513,5133
5134,Dancers,4,Unit group,513,5,51,513,5134
5135,Actors and comedians,4,Unit group,513,5,51,513,5135
5136,"Painters, sculptors and other visual artists",4,Unit group,513,5,51,513,5136
52,"Technical occupations in art, culture, recreation and sport",2,Major group,5,5,52,NA,NA
521,"Technical occupations in libraries, public archives, museums and art galleries",3,Minor group,52,5,52,521,NA
5211,Library and public archive technicians,4,Unit group,521,5,52,521,5211
5212,Technical occupations related to museums and art galleries,4,Unit group,521,5,52,521,5212
522,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3,Minor group,52,5,52,522,NA
5221,Photographers,4,Unit group,522,5,52,522,5221
5222,Film and video camera operators,4,Unit group,522,5,52,522,5222
5223,Graphic arts technicians,4,Unit group,522,5,52,522,5223
5224,Broadcast technicians,4,Unit group,522,5,52,522,5224
5225,Audio and video recording technicians,4,Unit group,522,5,52,522,5225
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",4,Unit group,522,5,52,522,5226
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",4,Unit group,522,5,52,522,5227
523,"Announcers and other performers, n.e.c.",3,Minor group,52,5,52,523,NA
5231,Announcers and other broadcasters,4,Unit group,523,5,52,523,5231
5232,"Other performers, n.e.c.",4,Unit group,523,5,52,523,5232
524,Creative designers and craftspersons,3,Minor group,52,5,52,524,NA
5241,Graphic designers and illustrators,4,Unit group,524,5,52,524,5241
5242,Interior designers and interior decorators,4,Unit group,524,5,52,524,5242
5243,"Theatre, fashion, exhibit and other creative designers",4,Unit group,524,5,52,524,5243
5244,Artisans and craftspersons,4,Unit group,524,5,52,524,5244
5245,"Patternmakers - textile, leather and fur products",4,Unit group,524,5,52,524,5245
525,"Athletes, coaches, referees and related occupations",3,Minor group,52,5,52,525,NA
5251,Athletes,4,Unit group,525,5,52,525,5251
5252,Coaches,4,Unit group,525,5,52,525,5252
5253,Sports officials and referees,4,Unit group,525,5,52,525,5253
5254,"Program leaders and instructors in recreation, sport and fitness",4,Unit group,525,5,52,525,5254
6,Sales and service occupations,1,Broad occupational category,NA,6,NA,NA,NA
62,Retail sales supervisors and specialized sales occupations,2,Major group,6,6,62,NA,NA
621,Retail sales supervisors,3,Minor group,62,6,62,621,NA
6211,Retail sales supervisors,4,Unit group,621,6,62,621,6211
622,Technical sales specialists in wholesale trade and retail and wholesale buyers,3,Minor group,62,6,62,622,NA
6221,Technical sales specialists - wholesale trade,4,Unit group,622,6,62,622,6221
6222,Retail and wholesale buyers,4,Unit group,622,6,62,622,6222
623,"Insurance, real estate and financial sales occupations",3,Minor group,62,6,62,623,NA
6231,Insurance agents and brokers,4,Unit group,623,6,62,623,6231
6232,Real estate agents and salespersons,4,Unit group,623,6,62,623,6232
6235,Financial sales representatives,4,Unit group,623,6,62,623,6235
63,Service supervisors and specialized service occupations,2,Major group,6,6,63,NA,NA
631,Service supervisors,3,Minor group,63,6,63,631,NA
6311,Food service supervisors,4,Unit group,631,6,63,631,6311
6312,Executive housekeepers,4,Unit group,631,6,63,631,6312
6313,"Accommodation, travel, tourism and related services supervisors",4,Unit group,631,6,63,631,6313
6314,Customer and information services supervisors,4,Unit group,631,6,63,631,6314
6315,Cleaning supervisors,4,Unit group,631,6,63,631,6315
6316,Other services supervisors,4,Unit group,631,6,63,631,6316
632,Chefs and cooks,3,Minor group,63,6,63,632,NA
6321,Chefs,4,Unit group,632,6,63,632,6321
6322,Cooks,4,Unit group,632,6,63,632,6322
633,Butchers and bakers,3,Minor group,63,6,63,633,NA
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",4,Unit group,633,6,63,633,6331
6332,Bakers,4,Unit group,633,6,63,633,6332
634,Specialized occupations in personal and customer services,3,Minor group,63,6,63,634,NA
6341,Hairstylists and barbers,4,Unit group,634,6,63,634,6341
6342,"Tailors, dressmakers, furriers and milliners",4,Unit group,634,6,63,634,6342
6343,Shoe repairers and shoemakers,4,Unit group,634,6,63,634,6343
6344,"Jewellers, jewellery and watch repairers and related occupations",4,Unit group,634,6,63,634,6344
6345,Upholsterers,4,Unit group,634,6,63,634,6345
