isco2008_code,isco2008_title,noc2011_code,noc2011_title,Explanatory_notes
2269,Health professionals not elsewhere classified,3144,Other professional occupations in therapy and assessment,
2310,University and higher education teachers,4011,University professors and lecturers,
2310,University and higher education teachers,4012,Post-secondary teaching and research assistants,
2310,University and higher education teachers,4021,College and other vocational instructors,College instructors (except vocational training)
2320,Vocational education teachers,4021,College and other vocational instructors,"Except non-vocational college instructors, language teachers, information technology trainers and company trainers"
2320,Vocational education teachers,4031,Secondary school teachers,Vocational high school teachers
2330,Secondary education teachers,4031,Secondary school teachers,Except special needs and vocational teachers
2341,Primary school teachers,4032,Elementary school and kindergarten teachers,Except special needs teachers
2342,Early childhood educators,4214,Early childhood educators and assistants,Early childhood educators
2351,Education methods specialists,4166,"Education policy researchers, consultants and program officers","Teaching consultants, curriculum consultants, program development specialists, education science specialists and school inspectors"
2352,Special needs teachers,4031,Secondary school teachers,Special needs teachers - secondary school
2352,Special needs teachers,4032,Elementary school and kindergarten teachers,Special needs teachers - elementary school
2352,Special needs teachers,4215,Instructors of persons with disabilities,
2353,Other language teachers,4021,College and other vocational instructors,Language school instructor
2354,Other music teachers,5133,Musicians and singers,Music teachers
2355,Other arts teachers,5134,Dancers,Dance teachers
2355,Other arts teachers,5135,Actors and comedians,Dramatic arts teachers - private or studio
2355,Other arts teachers,5136,"Painters, sculptors and other visual artists","Art teachers (except primary, secondary and post-secondary education)"
2356,Information technology trainers,4021,College and other vocational instructors,Information technology trainers
2359,Teaching professionals not elsewhere classified,4021,College and other vocational instructors,Company trainers
2359,Teaching professionals not elsewhere classified,4033,Educational counsellors,
2359,Teaching professionals not elsewhere classified,4216,Other instructors,Except driver's licence examiners and driving instructors
2359,Teaching professionals not elsewhere classified,5244,Artisans and craftspersons,Craft instructors (except in education)
2411,Accountants,1111,Financial auditors and accountants,
2412,Financial and investment advisers,1114,Other financial officers,Financial and investment advisers
2413,Financial analysts,1112,Financial and investment analysts,
2413,Financial analysts,1114,Other financial officers,"Except financial and investment advisers, other financial brokers, mortgage underwriters and credit adjudicators"
2421,Management and organization analysts,1122,Professional occupations in business management consulting,Except records management specialists
2422,Policy administration professionals,4161,"Natural and applied science policy researchers, consultants and program officers",Natural and applied science policy advisors and program officers
2422,Policy administration professionals,4162,Economists and economic policy researchers and analysts,Economic policy researchers and analysts
2422,Policy administration professionals,4163,Business development officers and marketing researchers and consultants,Business development officers
2422,Policy administration professionals,4164,"Social policy researchers, consultants and program officers",
2422,Policy administration professionals,4165,"Health policy researchers, consultants and program officers",Except coroners
2422,Policy administration professionals,4166,"Education policy researchers, consultants and program officers",Education policy researchers and program officers
2422,Policy administration professionals,4167,"Recreation, sports and fitness policy researchers, consultants and program officers",
2422,Policy administration professionals,4168,Program officers unique to government,
2423,Personnel and careers professionals,1121,Human resources professionals,Except staff training and development professionals
2423,Personnel and careers professionals,4156,Employment counsellors,
2424,Training and staff development professionals,1121,Human resources professionals,Staff training and development professionals
2431,Advertising and marketing professionals,1123,"Professional occupations in advertising, marketing and public relations",Professional occupations in advertising and marketing
2431,Advertising and marketing professionals,4163,Business development officers and marketing researchers and consultants,Marketing analysts and consultants
2431,Advertising and marketing professionals,5121,Authors and writers,Advertising writers
2432,Public relations professionals,1123,"Professional occupations in advertising, marketing and public relations",Professional occupations in public relations
2433,Technical and medical sales professionals (excluding ICT),6221,Technical sales specialists - wholesale trade,Except technical sales specialists - information and communication technology
2434,Information and communications technology sales professionals,6221,Technical sales specialists - wholesale trade,Technical sales specialists - information and communication technology
2511,Systems analysts,2171,Information systems analysts and consultants,Except quality assurance and security analysts
2512,Software developers,2173,Software engineers and designers,
2512,Software developers,2174,Computer programmers and interactive media developers,Programmer analysts
2513,Web and multimedia developers,2174,Computer programmers and interactive media developers,Interactive media developers
2513,Web and multimedia developers,2175,Web designers and developers,Web site developers
2514,Applications programmers,2174,Computer programmers and interactive media developers,Computer programmers (except interactive media developers and programmer analysts)
2519,Software and applications developers and analysts not elsewhere classified,2171,Information systems analysts and consultants,Systems quality assurance analysts
2519,Software and applications developers and analysts not elsewhere classified,2283,Information systems testing technicians,
2521,Database designers and administrators,2172,Database analysts and data administrators,
2522,Systems administrators,2281,Computer network technicians,Systems and network administrators
2523,Computer network professionals,2147,Computer engineers (except software engineers and designers),Network specialists - computer systems
2529,Database and network professionals not elsewhere classified,2171,Information systems analysts and consultants,Systems security analysts
2611,Lawyers,4112,Lawyers and Quebec notaries,Lawyers
2612,Judges,4111,Judges,
2619,Legal professionals not elsewhere classified,4112,Lawyers and Quebec notaries,"Quebec notaries, legal advisors and legal officers (except lawyers)"
2619,Legal professionals not elsewhere classified,4165,"Health policy researchers, consultants and program officers",Coroners
2621,Archivists and curators,1122,Professional occupations in business management consulting,Records management specialists
2621,Archivists and curators,5112,Conservators and curators,
2621,Archivists and curators,5113,Archivists,
2622,Librarians and related information professionals,5111,Librarians,
2631,Economists,4162,Economists and economic policy researchers and analysts,
2632,"Sociologists, anthropologists and related professionals",4169,"Other professional occupations in social science, n.e.c.","Sociologists, anthropologists, archaeologists and geographers"
2633,"Philosophers, historians and political scientists",4169,"Other professional occupations in social science, n.e.c.","Philosophers, historians and political scientists"
2634,Psychologists,4151,Psychologists,
2634,Psychologists,4169,"Other professional occupations in social science, n.e.c.",Psychometrists
2635,Social work and counselling professionals,4152,Social workers,
2635,Social work and counselling professionals,4153,"Family, marriage and other related counsellors",
2635,Social work and counselling professionals,4155,Probation and parole officers and related occupations,
2636,Religious professionals,4154,Professional occupations in religion,
2641,Authors and related writers,5121,Authors and writers,Except advertising and public relations writers and lexicographers
2641,,5122,Editors,Book editors
2642,Journalists,5122,Editors,"Newspaper editors, sub-editors and copy editors"
2642,Journalists,5123,Journalists,
2642,Journalists,5131,"Producers, directors, choreographers and related occupations",Television news producers
2643,"Translators, interpreters and other linguists",4169,"Other professional occupations in social science, n.e.c.",Linguists and philologists
2643,"Translators, interpreters and other linguists",5121,Authors and writers,Lexicographers
2643,"Translators, interpreters and other linguists",5125,"Translators, terminologists and interpreters",
2651,Visual artists,5136,"Painters, sculptors and other visual artists",Except art teachers and decorations painters- visual arts
2651,Visual artists,5244,Artisans and craftspersons,Ceramic artists
2652,"Musicians, singers and composers",5132,"Conductors, composers and arrangers",
2652,"Musicians, singers and composers",5133,Musicians and singers,Except music teachers
2653,Dancers and choreographers,5131,"Producers, directors, choreographers and related occupations",Choreographers
2653,Dancers and choreographers,5134,Dancers,Except dance teachers
2653,Dancers and choreographers,5232,"Other performers, n.e.c.",Exotic dancers
2654,"Film, stage and related directors and producers",5131,"Producers, directors, choreographers and related occupations",Except choreographers and television news producers
2655,Actors,5135,Actors and comedians,Actors
2656,"Announcers on radio, television and other media",5231,Announcers and other broadcasters,
2659,Creative and performing artists not elsewhere classified,5135,Actors and comedians,Comedians and humorists - performing arts
2659,Creative and performing artists not elsewhere classified,5232,"Other performers, n.e.c.","Except exotic dancers, stuntmen/women and fashion models"
3111,Chemical and physical science technicians,2211,Chemical technologists and technicians,"Except chemical engineering technicians, forensic laboratory technicians and biochemistry technicians and technologists"
3111,Chemical and physical science technicians,2212,Geological and mineral technologists and technicians,Geological technicians
3111,Chemical and physical science technicians,2255,Technical occupations in geomatics and meteorology,Technical occupations in meteorology
3112,Civil engineering technicians,2231,Civil engineering technologists and technicians,
3112,Civil engineering technicians,2234,Construction estimators,
3112,Civil engineering technicians,2254,Land survey technologists and technicians,Land survey technicians
3112,Civil engineering technicians,2264,Construction inspectors,
3112,Civil engineering technicians,4312,Firefighters,Fire inspectors and fire prevention specialists
3113,Electrical engineering technicians,2241,Electrical and electronics engineering technologists and technicians,Electrical engineering technologists and technicians
3114,Electronics engineering technicians,2241,Electrical and electronics engineering technologists and technicians,Electronics engineering technologists and technicians
3114,Electronics engineering technicians,2243,Industrial instrument technicians and mechanics,"Instrumentation technicians, industrial"
3115,Mechanical engineering technicians,2232,Mechanical engineering technologists and technicians,Except robotics technicians
3116,Chemical engineering technicians,2211,Chemical technologists and technicians,Chemical engineering technologists and technicians
3116,Chemical engineering technicians,2212,Geological and mineral technologists and technicians,Petroleum engineering technicians
3117,Mining and metallurgical technicians,2212,Geological and mineral technologists and technicians,Mining and metallurgical technicians and technologists
3118,Draughtspersons,2253,Drafting technologists and technicians,
3118,Draughtspersons,2254,Land survey technologists and technicians,Cartographic draftsmen/women
3119,Physical and engineering science technicians not elsewhere classified,2211,Chemical technologists and technicians,Forensic laboratory technicians
3119,Physical and engineering science technicians not elsewhere classified,2232,Mechanical engineering technologists and technicians,Robotics technicians
3119,Physical and engineering science technicians not elsewhere classified,2233,Industrial engineering and manufacturing technologists and technicians,
3119,Physical and engineering science technicians not elsewhere classified,2251,Architectural technologists and technicians,
3119,Physical and engineering science technicians not elsewhere classified,2261,Non-destructive testers and inspection technicians,
3119,Physical and engineering science technicians not elsewhere classified,2262,Engineering inspectors and regulatory officers,Except weights and measures inspectors
3119,Physical and engineering science technicians not elsewhere classified,4312,Firefighters,Fire investigators
3121,Mining supervisors,8221,"Supervisors, mining and quarrying",
3121,Mining supervisors,8222,"Contractors and supervisors, oil and gas drilling and services",
3122,Manufacturing supervisors,9211,"Supervisors, mineral and metal processing",
3122,Manufacturing supervisors,9212,"Supervisors, petroleum, gas and chemical processing and utilities",
3122,Manufacturing supervisors,9213,"Supervisors, food, beverage and associated products processing",
3122,Manufacturing supervisors,9214,"Supervisors, plastic and rubber products manufacturing",
3122,Manufacturing supervisors,9215,"Supervisors, forest products processing",
3122,Manufacturing supervisors,9217,"Supervisors, textile, fabric, fur and leather products processing and manufacturing",
3122,Manufacturing supervisors,9221,"Supervisors, motor vehicle assembling",
3122,Manufacturing supervisors,9222,"Supervisors, electronics manufacturing",
3122,Manufacturing supervisors,9223,"Supervisors, electrical products manufacturing",
3122,Manufacturing supervisors,9224,"Supervisors, furniture and fixtures manufacturing",
3122,Manufacturing supervisors,9226,"Supervisors, other mechanical and metal products manufacturing",
3122,Manufacturing supervisors,9227,"Supervisors, other products manufacturing and assembly",
3123,Construction supervisors,7203,"Contractors and supervisors, pipefitting trades",
3123,Construction supervisors,7204,"Contractors and supervisors, carpentry trades","Except foremen/women, cabinetmakers"
3123,Construction supervisors,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers","Construction supervisors, except contractors and supervisors, pipefitting and carpentry trades and general foremen/women building construction"
3131,Power production plant operators,9241,Power engineers and power systems operators,Except stationary engineers and steam plant and boiler operators
3132,Incinerator and water treatment plant operators,9243,Water and waste treatment plant operators,
3133,Chemical processing plant controllers,9232,"Petroleum, gas and chemical process operators",Chemical process operators
3134,Petroleum and natural gas refining plant operators,9232,"Petroleum, gas and chemical process operators",Petroleum and gas process operators
3135,Metal production process controllers,9231,"Central control and process operators, mineral and metal processing","Central control and process operators, metal processing"
3139,Process control technicians not elsewhere classified,2243,Industrial instrument technicians and mechanics,"Control technicians, nuclear generating station and heavy water plant"
3139,Process control technicians not elsewhere classified,9231,"Central control and process operators, mineral and metal processing","Central control and process operators, mineral processing"
3139,Process control technicians not elsewhere classified,9235,"Pulping, papermaking and coating control operators",
3141,Life science technicians (excluding medical),2211,Chemical technologists and technicians,Biochemistry technicians and technologists (except medical)
3141,Life science technicians (excluding medical),2221,Biological technologists and technicians,"Except agriculture, aquaculture and fish hatchery technicians"
3142,Agricultural technicians,2221,Biological technologists and technicians,Agricultural technicians (except horticultural technicians and technologists)
3142,Agricultural technicians,2225,Landscape and horticulture technicians and specialists,Horticultural technicians and technologists
3143,Forestry technicians,2223,Forestry technologists and technicians,Except silviculturists and timber cruisers
3151,Ships' engineers,2274,"Engineer officers, water transport",
3152,Ships' deck officers and pilots,2273,"Deck officers, water transport",
3153,Aircraft pilots and related associate professionals,2271,"Air pilots, flight engineers and flying instructors",
3154,Air traffic controllers,2272,Air traffic controllers and related occupations,
3155,Air traffic safety electronics technicians,2241,Electrical and electronics engineering technologists and technicians,Air traffic safety electronics technicians
3211,Medical imaging and therapeutic equipment technicians,3215,Medical radiation technologists,
3211,Medical imaging and therapeutic equipment technicians,3216,Medical sonographers,
3211,Medical imaging and therapeutic equipment technicians,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",
3212,Medical and pathology laboratory technicians,3211,Medical laboratory technologists,
3212,Medical and pathology laboratory technicians,3212,Medical laboratory technicians and pathologists' assistants,Except phlebotomists
3213,Pharmaceutical technicians and assistants,3219,Other medical technologists and technicians (except dental health),Pharmacy technicians
3214,Medical and dental prosthetic technicians,3219,Other medical technologists and technicians (except dental health),"Ocularists, orthotists, prosthetists and ocularist, orthotic and prosthetic technicians (except dental health)"
3214,Medical and dental prosthetic technicians,3221,Denturists,
3214,Medical and dental prosthetic technicians,3223,"Dental technologists, technicians and laboratory assistants",
3214,Medical and dental prosthetic technicians,3237,Other technical occupations in therapy and assessment,Hearing aid technicians
3221,Nursing associate professionals,3233,Licensed practical nurses,Except surgical technicians
3222,Midwifery associate professionals,9999,Not in NOC,
3230,Traditional and complementary medicine associate professionals,3232,Practitioners of natural healing,Herbalists and shamans
3240,Veterinary technicians and assistants,3213,Animal health technologists and veterinary technicians,
3251,Dental assistants and therapists,3222,Dental hygienists and dental therapists,
3251,Dental assistants and therapists,3411,Dental assistants,Except dental aides
3252,Medical records and health information technicians,1252,Health information management occupations,
3252,Medical records and health information technicians,1411,General office support workers,Medical records clerks and health information clerks
3253,Community health workers,4212,Social and community service workers,Community health workers
3254,Dispensing opticians,3231,Opticians,
3255,Physiotherapy technicians and assistants,3232,Practitioners of natural healing,Acupressure therapists and reflexologists
3255,Physiotherapy technicians and assistants,3236,Massage therapists,
3255,Physiotherapy technicians and assistants,3237,Other technical occupations in therapy and assessment,Physiotherapy and physical rehabilitation technicians and assistants
3256,Medical assistants,3237,Other technical occupations in therapy and assessment,Ophthalmic assistants
3256,Medical assistants,3414,Other assisting occupations in support of health services,Medical clinic assistants
3257,Environmental and occupational health inspectors and associates,2263,Inspectors in public and environmental health and occupational health and safety,
3258,Ambulance workers,3234,Paramedical occupations,
3259,Health associate professionals not elsewhere classified,3122,Chiropractors,
3259,Health associate professionals not elsewhere classified,3125,Other professional occupations in health diagnosing and treating,Osteopaths
3259,Health associate professionals not elsewhere classified,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",
3259,Health associate professionals not elsewhere classified,3219,Other medical technologists and technicians (except dental health),"Other medical technologists and technicians, n.e.c."
3259,Health associate professionals not elsewhere classified,3237,Other technical occupations in therapy and assessment,"Other technical occupations in therapy and assessment, n.e.c."
3311,Securities and finance dealers and brokers,1113,"Securities agents, investment dealers and brokers",Except commodity brokers
3311,Securities and finance dealers and brokers,1114,Other financial officers,Other financial brokers
3312,Credit and loans officers,1114,Other financial officers,Mortgage underwriters and credit adjudicators
3312,Credit and loans officers,6235,Financial sales representatives,
3313,Accounting associate professionals,1311,Accounting technicians and bookkeepers,
3314,"Statistical, mathematical and related associate professionals",1254,Statistical officers and related research support occupations,
3315,Valuers and loss assessors,1312,Insurance adjusters and claims examiners,
3315,Valuers and loss assessors,1314,"Assessors, valuators and appraisers",
3321,Insurance representatives,1313,Insurance underwriters,
3321,Insurance representatives,6231,Insurance agents and brokers,
3322,Commercial sales representatives,6411,Sales and account representatives - wholesale trade (non-technical),"Except auctioneers, advertising agents and freight sales agents"
3323,Buyers,1225,Purchasing agents and officers,
3323,Buyers,6222,Retail and wholesale buyers,
3324,Trade brokers,1113,"Securities agents, investment dealers and brokers",Commodity brokers
3324,Trade brokers,1315,"Customs, ship and other brokers",Except customs brokers
3331,Clearing and forwarding agents,1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","Freight forwarding logisticians, shipping and receiving supervisors"
3331,Clearing and forwarding agents,1315,"Customs, ship and other brokers",Customs brokers
3331,Clearing and forwarding agents,1521,Shippers and receivers,Shipping agents and freight shippers-receivers
3332,Conference and event planners,1226,Conference and event planners,
3333,Employment agents and contractors,1223,Human resources and recruitment officers,
3334,Real estate agents and property managers,1224,Property administrators,
3334,Real estate agents and property managers,6232,Real estate agents and salespersons,
3339,Business services agents not elsewhere classified,1123,"Professional occupations in advertising, marketing and public relations","Literary agents, performers agents and sports agents"
3339,Business services agents not elsewhere classified,6411,Sales and account representatives - wholesale trade (non-technical),"Auctioneers, advertising agents and freight sales agents"
