noc2016_code,soc2010_code
3212,29-2012
3212,31-9097
3213,29-2056
3213,31-9096
3214,29-1126
3214,29-2031
3214,29-2054
3214,29-2099
3215,29-1124
3215,29-2033
3215,29-2034
3215,29-2035
3215,29-2099
3216,29-2032
3217,29-2031
3217,29-2054
3217,29-2099
3219,29-2051
3219,29-2052
3219,29-2053
3219,29-2054
3219,29-2091
3219,29-2099
3219,51-9082
3221,51-9081
3222,29-2021
3223,51-9081
3231,29-2081
3232,29-1199
3232,29-9099
3232,31-9011
3233,29-2055
3233,29-2061
3234,29-2041
3234,53-3011
3236,31-9011
3237,29-2057
3237,29-2092
3237,31-2011
3237,31-2021
3237,31-2022
3411,31-9091
3413,31-1013
3413,31-1014
3413,31-1015
3413,39-9021
3414,29-1071
3414,29-2055
3414,29-9099
3414,31-2012
3414,31-9092
3414,31-9093
3414,31-9095
3414,31-9099
3414,51-9083
4011,25-1011
4011,25-1021
4011,25-1022
4011,25-1031
4011,25-1032
4011,25-1041
4011,25-1042
4011,25-1043
4011,25-1051
4011,25-1052
4011,25-1053
4011,25-1054
4011,25-1061
4011,25-1062
4011,25-1063
4011,25-1064
4011,25-1065
4011,25-1066
4011,25-1067
4011,25-1069
4011,25-1071
4011,25-1072
4011,25-1081
4011,25-1082
4011,25-1111
4011,25-1112
4011,25-1113
4011,25-1121
4011,25-1122
4011,25-1123
4011,25-1124
4011,25-1125
4011,25-1126
4011,25-1192
4011,25-1193
4012,19-4061
4012,25-1191
4012,25-3099
4021,25-1011
4021,25-1021
4021,25-1022
4021,25-1031
4021,25-1032
4021,25-1041
4021,25-1042
4021,25-1043
4021,25-1052
4021,25-1053
4021,25-1054
4021,25-1061
4021,25-1062
4021,25-1063
4021,25-1064
4021,25-1065
4021,25-1066
4021,25-1067
4021,25-1069
4021,25-1071
4021,25-1072
4021,25-1111
4021,25-1112
4021,25-1113
4021,25-1121
4021,25-1122
4021,25-1123
4021,25-1124
4021,25-1125
4021,25-1126
4021,25-1192
4021,25-1193
4021,25-1194
4021,25-1199
4021,25-3011
4031,25-2031
4031,25-2032
4031,25-2054
4031,25-3099
4032,25-2012
4032,25-2021
4032,25-2022
4032,25-2023
4032,25-2052
4032,25-2053
4032,25-3099
4033,21-1012
4111,23-1023
4112,23-1011
4151,19-3031
4151,19-3032
4151,19-3039
