soc2010,soc2010_title,noc2011,noc2011_title
25-1042,"Biological Science Teachers, Postsecondary",4021,College and other vocational instructors
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",4011,University professors and lecturers
25-1043,"Forestry and Conservation Science Teachers, Postsecondary",4021,College and other vocational instructors
25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",4011,University professors and lecturers
25-1052,"Chemistry Teachers, Postsecondary",4011,University professors and lecturers
25-1052,"Chemistry Teachers, Postsecondary",4021,College and other vocational instructors
25-1053,"Environmental Science Teachers, Postsecondary",4011,University professors and lecturers
25-1053,"Environmental Science Teachers, Postsecondary",4021,College and other vocational instructors
25-1054,"Physics Teachers, Postsecondary",4011,University professors and lecturers
25-1054,"Physics Teachers, Postsecondary",4021,College and other vocational instructors
25-1061,"Anthropology and Archeology Teachers, Postsecondary",4011,University professors and lecturers
25-1061,"Anthropology and Archeology Teachers, Postsecondary",4021,College and other vocational instructors
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4011,University professors and lecturers
25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",4021,College and other vocational instructors
25-1063,"Economics Teachers, Postsecondary",4011,University professors and lecturers
25-1063,"Economics Teachers, Postsecondary",4021,College and other vocational instructors
25-1064,"Geography Teachers, Postsecondary",4011,University professors and lecturers
25-1064,"Geography Teachers, Postsecondary",4021,College and other vocational instructors
25-1065,"Political Science Teachers, Postsecondary",4011,University professors and lecturers
25-1065,"Political Science Teachers, Postsecondary",4021,College and other vocational instructors
25-1066,"Psychology Teachers, Postsecondary",4011,University professors and lecturers
25-1066,"Psychology Teachers, Postsecondary",4021,College and other vocational instructors
25-1067,"Sociology Teachers, Postsecondary",4011,University professors and lecturers
25-1067,"Sociology Teachers, Postsecondary",4021,College and other vocational instructors
25-1069,"Social Sciences Teachers, Postsecondary, All Other",4011,University professors and lecturers
25-1069,"Social Sciences Teachers, Postsecondary, All Other",4021,College and other vocational instructors
25-1071,"Health Specialties Teachers, Postsecondary",4011,University professors and lecturers
25-1071,"Health Specialties Teachers, Postsecondary",4021,College and other vocational instructors
25-1072,"Nursing Instructors and Teachers, Postsecondary",4011,University professors and lecturers
25-1072,"Nursing Instructors and Teachers, Postsecondary",4021,College and other vocational instructors
25-1081,"Education Teachers, Postsecondary",4011,University professors and lecturers
25-1082,"Library Science Teachers, Postsecondary",4011,University professors and lecturers
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4011,University professors and lecturers
25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",4021,College and other vocational instructors
25-1112,"Law Teachers, Postsecondary",4011,University professors and lecturers
25-1112,"Law Teachers, Postsecondary",4021,College and other vocational instructors
25-1113,"Social Work Teachers, Postsecondary",4011,University professors and lecturers
25-1113,"Social Work Teachers, Postsecondary",4021,College and other vocational instructors
25-1121,"Art, Drama, and Music Teachers, Postsecondary",4011,University professors and lecturers
25-1121,"Art, Drama, and Music Teachers, Postsecondary",4021,College and other vocational instructors
25-1122,"Communications Teachers, Postsecondary",4011,University professors and lecturers
25-1122,"Communications Teachers, Postsecondary",4021,College and other vocational instructors
25-1123,"English Language and Literature Teachers, Postsecondary",4011,University professors and lecturers
25-1123,"English Language and Literature Teachers, Postsecondary",4021,College and other vocational instructors
25-1124,"Foreign Language and Literature Teachers, Postsecondary",4011,University professors and lecturers
25-1124,"Foreign Language and Literature Teachers, Postsecondary",4021,College and other vocational instructors
25-1125,"History Teachers, Postsecondary",4011,University professors and lecturers
25-1125,"History Teachers, Postsecondary",4021,College and other vocational instructors
25-1126,"Philosophy and Religion Teachers, Postsecondary",4011,University professors and lecturers
25-1126,"Philosophy and Religion Teachers, Postsecondary",4021,College and other vocational instructors
25-1191,Graduate Teaching Assistants,1221,Administrative officers
25-1191,Graduate Teaching Assistants,4012,Post-secondary teaching and research assistants
25-1192,"Home Economics Teachers, Postsecondary",4011,University professors and lecturers
25-1192,"Home Economics Teachers, Postsecondary",4021,College and other vocational instructors
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",4011,University professors and lecturers
25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",4021,College and other vocational instructors
25-1194,"Vocational Education Teachers, Postsecondary",4021,College and other vocational instructors
25-1199,"Postsecondary Teachers, All Other",4021,College and other vocational instructors
25-2011,"Preschool Teachers, Except Special Education",4214,Early childhood educators and assistants
25-2012,"Kindergarten Teachers, Except Special Education",4032,Elementary school and kindergarten teachers
25-2021,"Elementary School Teachers, Except Special Education",4032,Elementary school and kindergarten teachers
25-2022,"Middle School Teachers, Except Special and Career/Technical Education",4032,Elementary school and kindergarten teachers
25-2023,"Career/Technical Education Teachers, Middle School",4032,Elementary school and kindergarten teachers
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",4031,Secondary school teachers
25-2032,"Career/Technical Education Teachers, Secondary School",4031,Secondary school teachers
25-2051,"Special Education Teachers, Preschool",4215,Instructors of persons with disabilities
25-2052,"Special Education Teachers, Kindergarten and Elementary School",4032,Elementary school and kindergarten teachers
25-2053,"Special Education Teachers, Middle School",4032,Elementary school and kindergarten teachers
25-2054,"Special Education Teachers, Secondary School",4031,Secondary school teachers
25-2059,"Special Education Teachers, All Other",4215,Instructors of persons with disabilities
25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,4021,College and other vocational instructors
25-3021,Self-Enrichment Education Teachers,4216,Other instructors
25-3099,"Teachers and Instructors, All Other",4012,Post-secondary teaching and research assistants
25-3099,"Teachers and Instructors, All Other",4031,Secondary school teachers
25-3099,"Teachers and Instructors, All Other",4032,Elementary school and kindergarten teachers
25-3099,"Teachers and Instructors, All Other",4216,Other instructors
25-4011,Archivists,5113,Archivists
25-4012,Curators,5112,Conservators and curators
25-4013,Museum Technicians and Conservators,5112,Conservators and curators
25-4013,Museum Technicians and Conservators,5212,Technical occupations related to museums and art galleries
25-4021,Librarians,5111,Librarians
25-4031,Library Technicians,5211,Library and public archive technicians
25-9011,Audio-Visual and Multimedia Collections Specialists,5111,Librarians
25-9021,Farm and Home Management Advisors,2123,"Agricultural representatives, consultants and specialists"
25-9021,Farm and Home Management Advisors,4164,"Social policy researchers, consultants and program officers"
25-9031,Instructional Coordinators,4166,"Education policy researchers, consultants and program officers"
25-9041,Teacher Assistants,4214,Early childhood educators and assistants
25-9041,Teacher Assistants,4413,Elementary and secondary school teacher assistants
25-9099,"Education, Training, and Library Workers, All Other",4216,Other instructors
27-1011,Art Directors,5241,Graphic designers and illustrators
27-1012,Craft Artists,5244,Artisans and craftspersons
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",5136,"Painters, sculptors and other visual artists"
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",5241,Graphic designers and illustrators
27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",5244,Artisans and craftspersons
27-1014,Multimedia Artists and Animators,5223,Graphic arts technicians
27-1014,Multimedia Artists and Animators,5241,Graphic designers and illustrators
