nocs2006,nocs2006_title,noc2011,noc2011_title
B563,"Couriers, messengers and door-to-door distributors",1513,"Couriers, messengers and door-to-door distributors"
B57,"Recording, scheduling and distributing occupations",152,"Supply chain logistics, tracking and scheduling co-ordination occupations"
B571,Shippers and receivers,1521,Shippers and receivers
B572,Storekeepers and parts clerks,1522,Storekeepers and partspersons
B573,Production clerks,1523,Production logistics co-ordinators
B574,Purchasing and inventory clerks,1524,Purchasing and inventory control workers
B575,Dispatchers and radio operators,1525,Dispatchers
B576,Transportation route and crew schedulers,1526,Transportation route and crew schedulers
C,Natural and applied sciences and related occupations,1,"Business, finance and administration occupations"
C,Natural and applied sciences and related occupations,2,Natural and applied sciences and related occupations
C0,Professional occupations in natural and applied sciences,12,Administrative and financial supervisors and administrative occupations
C0,Professional occupations in natural and applied sciences,21,Professional occupations in natural and applied sciences
C01,Physical science professionals,211,Physical science professionals
C011,Physicists and astronomers,2111,Physicists and astronomers
C012,Chemists,2112,Chemists
C013,"Geologists, geochemists and geophysicists",2113,Geoscientists and oceanographers
C014,Meteorologists,2111,Physicists and astronomers
C014,Meteorologists,2114,Meteorologists and climatologists
C015,Other professional occupations in physical sciences,2115,Other professional occupations in physical sciences
C02,Life science professionals,212,Life science professionals
C021,Biologists and related scientists,2121,Biologists and related scientists
C022,Forestry professionals,2122,Forestry professionals
C023,"Agricultural representatives, consultants and specialists",2123,"Agricultural representatives, consultants and specialists"
C03,"Civil, mechanical, electrical and chemical engineers",213,"Civil, mechanical, electrical and chemical engineers"
C031,Civil engineers,2131,Civil engineers
C032,Mechanical engineers,2132,Mechanical engineers
C033,Electrical and electronics engineers,2133,Electrical and electronics engineers
C034,Chemical engineers,2134,Chemical engineers
C04,Other engineers,214,Other engineers
C041,Industrial and manufacturing engineers,2141,Industrial and manufacturing engineers
C042,Metallurgical and materials engineers,2142,Metallurgical and materials engineers
C043,Mining engineers,2143,Mining engineers
C044,Geological engineers,2144,Geological engineers
C045,Petroleum engineers,2145,Petroleum engineers
C046,Aerospace engineers,2146,Aerospace engineers
C047,Computer engineers (except software engineers and designers),2147,Computer engineers (except software engineers and designers)
C048,"Other professional engineers, n.e.c.",2148,"Other professional engineers, n.e.c."
C05,"Architects, urban planners and land surveyors",215,"Architects, urban planners and land surveyors"
C051,Architects,2151,Architects
C052,Landscape architects,2152,Landscape architects
C053,Urban and land use planners,2153,Urban and land use planners
C054,Land surveyors,2154,Land surveyors
C06,"Mathematicians, statisticians and actuaries",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
C06,"Mathematicians, statisticians and actuaries",216,"Mathematicians, statisticians and actuaries"
C061,"Mathematicians, statisticians and actuaries",1254,Statistical officers and related research support occupations
C061,"Mathematicians, statisticians and actuaries",2161,"Mathematicians, statisticians and actuaries"
C07,Computer and information systems professionals,217,Computer and information systems professionals
C071,Information systems analysts and consultants,2171,Information systems analysts and consultants
C072,Database analysts and data administrators,2172,Database analysts and data administrators
C073,Software engineers and designers,2173,Software engineers and designers
C074,Computer programmers and interactive media developers,2174,Computer programmers and interactive media developers
C075,Web designers and developers,2175,Web designers and developers
C1,Technical occupations related to natural and applied sciences,22,Technical occupations related to natural and applied sciences
C11,Technical occupations in physical sciences,221,Technical occupations in physical sciences
C11,Technical occupations in physical sciences,225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology"
C111,Chemical technologists and technicians,2211,Chemical technologists and technicians
C112,Geological and mineral technologists and technicians,2212,Geological and mineral technologists and technicians
C113,Meteorological technicians,2255,Technical occupations in geomatics and meteorology
C12,Technical occupations in life sciences,222,Technical occupations in life sciences
C121,Biological technologists and technicians,2221,Biological technologists and technicians
C122,Agricultural and fish products inspectors,2222,Agricultural and fish products inspectors
C123,Forestry technologists and technicians,2223,Forestry technologists and technicians
C124,Conservation and fishery officers,2224,Conservation and fishery officers
C125,Landscape and horticulture technicians and specialists,2225,Landscape and horticulture technicians and specialists
C13,"Technical occupations in civil, mechanical and industrial engineering",223,"Technical occupations in civil, mechanical and industrial engineering"
C131,Civil engineering technologists and technicians,2231,Civil engineering technologists and technicians
C132,Mechanical engineering technologists and technicians,2232,Mechanical engineering technologists and technicians
C133,Industrial engineering and manufacturing technologists and technicians,2233,Industrial engineering and manufacturing technologists and technicians
C134,Construction estimators,2234,Construction estimators
C14,Technical occupations in electronics and electrical engineering,224,Technical occupations in electronics and electrical engineering
C141,Electrical and electronics engineering technologists and technicians,2241,Electrical and electronics engineering technologists and technicians
C142,Electronic service technicians (household and business equipment),2242,Electronic service technicians (household and business equipment)
C143,Industrial instrument technicians and mechanics,2243,Industrial instrument technicians and mechanics
C144,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors"
C15,"Technical occupations in architecture, drafting, surveying and mapping",225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology"
C151,Architectural technologists and technicians,2251,Architectural technologists and technicians
C152,Industrial designers,2252,Industrial designers
C153,Drafting technologists and technicians,2253,Drafting technologists and technicians
C154,Land survey technologists and technicians,2254,Land survey technologists and technicians
C155,Mapping and related technologists and technicians,2255,Technical occupations in geomatics and meteorology
C16,Other technical inspectors and regulatory officers,226,Other technical inspectors and regulatory officers
C161,Non-destructive testers and inspectors,2261,Non-destructive testers and inspection technicians
C162,Engineering inspectors and regulatory officers,2262,Engineering inspectors and regulatory officers
C163,Inspectors in public and environmental health and occupational health and safety,2263,Inspectors in public and environmental health and occupational health and safety
C164,Construction inspectors,2264,Construction inspectors
C17,Transportation officers and controllers,227,Transportation officers and controllers
C171,"Air pilots, flight engineers and flying instructors",2271,"Air pilots, flight engineers and flying instructors"
C172,Air traffic control and related occupations,2272,Air traffic controllers and related occupations
C173,"Deck officers, water transport",2273,"Deck officers, water transport"
C174,"Engineer officers, water transport",2274,"Engineer officers, water transport"
C175,Railway traffic controllers and marine traffic regulators,2275,Railway traffic controllers and marine traffic regulators
C18,Technical occupations in computer and information systems,228,Technical occupations in computer and information systems
C181,Computer network technicians,2281,Computer network technicians
C182,User support technicians,2282,User support technicians
C183,Systems testing technicians,2283,Information systems testing technicians
D,Health occupations,3,Health occupations
D0,Professional occupations in health,31,Professional occupations in health (except nursing)
D01,"Physicians, dentists and veterinarians",311,"Physicians, dentists and veterinarians"
D011,Specialist physicians,3111,Specialist physicians
D012,General practitioners and family physicians,3112,General practitioners and family physicians
D013,Dentists,3113,Dentists
D014,Veterinarians,3114,Veterinarians
D02,"Optometrists, chiropractors and other health diagnosing and treating professionals",312,"Optometrists, chiropractors and other health diagnosing and treating professionals"
D021,Optometrists,3121,Optometrists
D022,Chiropractors,3122,Chiropractors
D023,Other professional occupations in health diagnosing and treating,3125,Other professional occupations in health diagnosing and treating
D03,"Pharmacists, dietitians and nutritionists",313,"Pharmacists, dietitians and nutritionists"
D031,Pharmacists,3131,Pharmacists
D032,Dietitians and nutritionists,3132,Dietitians and nutritionists
D04,Therapy and assessment professionals,314,Therapy and assessment professionals
D041,Audiologists and speech-language pathologists,3141,Audiologists and speech-language pathologists
D042,Physiotherapists,3142,Physiotherapists
D043,Occupational therapists,3143,Occupational therapists
D044,Other professional occupations in therapy and assessment,3144,Other professional occupations in therapy and assessment
D1,Nurse supervisors and registered nurses,30,Professional occupations in nursing
D1,Nurse supervisors and registered nurses,31,Professional occupations in health (except nursing)
D11,Nurse supervisors and registered nurses,301,Professional occupations in nursing
D11,Nurse supervisors and registered nurses,312,"Optometrists, chiropractors and other health diagnosing and treating professionals"
D111,Head nurses and supervisors,3011,Nursing co-ordinators and supervisors
D112,Registered nurses,3012,Registered nurses and registered psychiatric nurses
D112,Registered nurses,3124,Allied primary health practitioners
D2,Technical and related occupations in health,31,Professional occupations in health (except nursing)
D2,Technical and related occupations in health,32,Technical occupations in health
D2,Technical and related occupations in health,34,Assisting occupations in support of health services
D21,Medical technologists and technicians (except dental health),321,Medical technologists and technicians (except dental health)
D211,Medical laboratory technologists and pathologists' assistants,3211,Medical laboratory technologists
D211,Medical laboratory technologists and pathologists' assistants,3212,Medical laboratory technicians and pathologists' assistants
D212,Medical laboratory technicians,3212,Medical laboratory technicians and pathologists' assistants
D213,Veterinary and animal health technologists and technicians,3213,Animal health technologists and veterinary technicians
D214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
D215,Medical radiation technologists,3215,Medical radiation technologists
D216,Medical sonographers,3216,Medical sonographers
D217,Cardiology technologists,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
D218,"Electroencephalographic and other diagnostic technologists, n.e.c.",3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
D219,Other medical technologists and technicians (except dental health),3219,Other medical technologists and technicians (except dental health)
D22,Technical occupations in dental health care,322,Technical occupations in dental health care
D221,Denturists,3221,Denturists
D222,Dental hygienists and dental therapists,3222,Dental hygienists and dental therapists
D223,"Dental technologists, technicians and laboratory bench workers",3223,"Dental technologists, technicians and laboratory assistants"
D23,Other technical occupations in health care (except dental),312,"Optometrists, chiropractors and other health diagnosing and treating professionals"
D23,Other technical occupations in health care (except dental),323,Other technical occupations in health care
D23,Other technical occupations in health care (except dental),341,Assisting occupations in support of health services
D231,Opticians,3231,Opticians
D232,Midwives and practitioners of natural healing,3124,Allied primary health practitioners
D232,Midwives and practitioners of natural healing,3232,Practitioners of natural healing
D233,Licensed practical nurses,3233,Licensed practical nurses
D234,Ambulance attendants and other paramedical occupations,3234,Paramedical occupations
D234,Ambulance attendants and other paramedical occupations,3413,"Nurse aides, orderlies and patient service associates"
D235,Other technical occupations in therapy and assessment,3236,Massage therapists
D235,Other technical occupations in therapy and assessment,3237,Other technical occupations in therapy and assessment
D3,Assisting occupations in support of health services,32,Technical occupations in health
D3,Assisting occupations in support of health services,34,Assisting occupations in support of health services
D31,Assisting occupations in support of health services,321,Medical technologists and technicians (except dental health)
D31,Assisting occupations in support of health services,323,Other technical occupations in health care
D31,Assisting occupations in support of health services,341,Assisting occupations in support of health services
D311,Dental assistants,3411,Dental assistants
D312,"Nurse aides, orderlies and patient service associates",3413,"Nurse aides, orderlies and patient service associates"
D313,Other assisting occupations in support of health services,3219,Other medical technologists and technicians (except dental health)
D313,Other assisting occupations in support of health services,3237,Other technical occupations in therapy and assessment
D313,Other assisting occupations in support of health services,3414,Other assisting occupations in support of health services
E,"Occupations in social science, education, government service and religion",1,"Business, finance and administration occupations"
E,"Occupations in social science, education, government service and religion",3,Health occupations
E,"Occupations in social science, education, government service and religion",4,"Occupations in education, law and social, community and government services"
E,"Occupations in social science, education, government service and religion",5,"Occupations in art, culture, recreation and sport"
E0,"Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",11,Professional occupations in business and finance
E0,"Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",12,Administrative and financial supervisors and administrative occupations
E0,"Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",31,Professional occupations in health (except nursing)
E0,"Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",41,"Professional occupations in law and social, community and government services"
E0,"Judges, lawyers, psychologists, social workers, ministers of religion, and policy and program officers",52,"Technical occupations in art, culture, recreation and sport"
E01,"Judges, lawyers and Quebec notaries",411,"Judges, lawyers and Quebec notaries"
E011,Judges,4111,Judges
E012,Lawyers and Quebec notaries,4112,Lawyers and Quebec notaries
E02,"Psychologists, social workers, counsellors, clergy and probation officers",415,Social and community service professionals
E021,Psychologists,4151,Psychologists
E022,Social workers,4152,Social workers
E023,"Family, marriage and other related counsellors",4153,"Family, marriage and other related counsellors"
E024,Ministers of religion,4154,Professional occupations in religion
E025,Probation and parole officers and related occupations,4155,Probation and parole officers and related occupations
E03,"Policy and program officers, researchers and consultants",112,Human resources and business service professionals
E03,"Policy and program officers, researchers and consultants",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
E03,"Policy and program officers, researchers and consultants",314,Therapy and assessment professionals
E03,"Policy and program officers, researchers and consultants",416,"Policy and program researchers, consultants and officers"
E03,"Policy and program officers, researchers and consultants",525,"Athletes, coaches, referees and related occupations"
E031,"Natural and applied science policy researchers, consultants and program officers",4161,"Natural and applied science policy researchers, consultants and program officers"
E032,Economists and economic policy researchers and analysts,4162,Economists and economic policy researchers and analysts
E033,Business development officers and marketing researchers and consultants,1123,"Professional occupations in advertising, marketing and public relations"
E033,Business development officers and marketing researchers and consultants,4163,Business development officers and marketing researchers and consultants
E034,"Social policy researchers, consultants and program officers",1254,Statistical officers and related research support occupations
E034,"Social policy researchers, consultants and program officers",4164,"Social policy researchers, consultants and program officers"
E035,"Education policy researchers, consultants and program officers",4166,"Education policy researchers, consultants and program officers"
E036,"Recreation, sports and fitness program supervisors and consultants",3144,Other professional occupations in therapy and assessment
E036,"Recreation, sports and fitness program supervisors and consultants",4167,"Recreation, sports and fitness policy researchers, consultants and program officers"
E036,"Recreation, sports and fitness program supervisors and consultants",5254,"Program leaders and instructors in recreation, sport and fitness"
E037,Program officers unique to government,4168,Program officers unique to government
E038,"Other professional occupations in social science, n.e.c.",4169,"Other professional occupations in social science, n.e.c."
E039,"Health policy researchers, consultants and program officers",4165,"Health policy researchers, consultants and program officers"
E1,Teachers and professors,40,Professional occupations in education services
E1,Teachers and professors,52,"Technical occupations in art, culture, recreation and sport"
E11,University professors and assistants,401,University professors and post-secondary assistants
E111,University professors,4011,University professors and lecturers
E112,Post-secondary teaching and research assistants,4011,University professors and lecturers
E112,Post-secondary teaching and research assistants,4012,Post-secondary teaching and research assistants
E12,College and other vocational instructors,402,College and other vocational instructors
E121,College and other vocational instructors,4021,College and other vocational instructors
E13,Secondary and elementary school teachers and educational counsellors,403,Secondary and elementary school teachers and educational counsellors
E13,Secondary and elementary school teachers and educational counsellors,521,"Technical occupations in libraries, public archives, museums and art galleries"
E131,Secondary school teachers,4031,Secondary school teachers
E131,Secondary school teachers,5211,Library and public archive technicians
E132,Elementary school and kindergarten teachers,4032,Elementary school and kindergarten teachers
E132,Elementary school and kindergarten teachers,5211,Library and public archive technicians
E133,Educational counsellors,4033,Educational counsellors
E2,"Paralegals, social services workers and occupations in education and religion, n.e.c.",12,Administrative and financial supervisors and administrative occupations
E2,"Paralegals, social services workers and occupations in education and religion, n.e.c.",41,"Professional occupations in law and social, community and government services"
E2,"Paralegals, social services workers and occupations in education and religion, n.e.c.",42,"Paraprofessional occupations in legal, social, community and education services"
E21,"Paralegals, social services workers and occupations in education and religion, n.e.c.",124,"Office administrative assistants - general, legal and medical"
E21,"Paralegals, social services workers and occupations in education and religion, n.e.c.",415,Social and community service professionals
E21,"Paralegals, social services workers and occupations in education and religion, n.e.c.",421,"Paraprofessional occupations in legal, social, community and education services"
E211,Paralegal and related occupations,1242,Legal administrative assistants
E211,Paralegal and related occupations,4211,Paralegal and related occupations
E212,Community and social service workers,4212,Social and community service workers
E213,Employment counsellors,4156,Employment counsellors
E214,Instructors and teachers of persons with disabilities,4215,Instructors of persons with disabilities
E215,Other instructors,4216,Other instructors
E216,Other religious occupations,4217,Other religious occupations
E217,Early childhood educators and assistants,4214,Early childhood educators and assistants
F,"Occupations in art, culture, recreation and sport",1,"Business, finance and administration occupations"
F,"Occupations in art, culture, recreation and sport",5,"Occupations in art, culture, recreation and sport"
F0,Professional occupations in art and culture,11,Professional occupations in business and finance
F0,Professional occupations in art and culture,51,Professional occupations in art and culture
F01,"Librarians, archivists, conservators and curators",511,"Librarians, archivists, conservators and curators"
F011,Librarians,5111,Librarians
F012,Conservators and curators,5112,Conservators and curators
F013,Archivists,5113,Archivists
F02,"Writing, translating and public relations professionals",112,Human resources and business service professionals
F02,"Writing, translating and public relations professionals",512,"Writing, translating and related communications professionals"
F021,Authors and writers,5121,Authors and writers
F022,Editors,5122,Editors
F023,Journalists,5123,Journalists
F024,Professional occupations in public relations and communications,1123,"Professional occupations in advertising, marketing and public relations"
F025,"Translators, terminologists and interpreters",5125,"Translators, terminologists and interpreters"
F03,Creative and performing artists,513,Creative and performing artists
F031,"Producers, directors, choreographers and related occupations",5131,"Producers, directors, choreographers and related occupations"
F032,"Conductors, composers and arrangers",5132,"Conductors, composers and arrangers"
F033,Musicians and singers,5133,Musicians and singers
F034,Dancers,5134,Dancers
F035,Actors and comedians,5135,Actors and comedians
F036,"Painters, sculptors and other visual artists",5136,"Painters, sculptors and other visual artists"
F1,"Technical occupations in art, culture, recreation and sport",14,Office support occupations
F1,"Technical occupations in art, culture, recreation and sport",52,"Technical occupations in art, culture, recreation and sport"
