noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
3237,Other technical occupations in therapy and assessment,3259,Health associate professionals not elsewhere classified,Remaining technical occupations in therapy and assessment
3411,Dental assistants,3251,Dental assistants and therapists,Dental assistants
3411,Dental assistants,5329,Personal care workers in health services not elsewhere classified,Dental aides
3413,"Nurse aides, orderlies and patient service associates",5321,Health care assistants,
3414,Other assisting occupations in support of health services,3256,Medical assistants,Medical clinic assistants
3414,Other assisting occupations in support of health services,5329,Personal care workers in health services not elsewhere classified,Except phlebotomists and dental aides
3414,Other assisting occupations in support of health services,7549,Craft and related workers not elsewhere classified,Optical lens grinders and polishers
4011,University professors and lecturers,2310,University and higher education teachers,University professors and lecturers
4012,Post-secondary teaching and research assistants,2310,University and higher education teachers,Post-secondary teaching and research assistants
4021,College and other vocational instructors,2310,University and higher education teachers,College instructors (except vocational training)
4021,College and other vocational instructors,2320,Vocational education teachers,Except vocational high school teachers
4021,College and other vocational instructors,2353,Other language teachers,
4021,College and other vocational instructors,2356,Information technology trainers,
4021,College and other vocational instructors,2359,Teaching professionals not elsewhere classified,Company trainers
4031,Secondary school teachers,2320,Vocational education teachers,Vocational high school teachers
4031,Secondary school teachers,2330,Secondary education teachers,
4031,Secondary school teachers,2352,Special needs teachers,Special needs teachers - secondary school
4032,Elementary school and kindergarten teachers,2341,Primary school teachers,
4032,Elementary school and kindergarten teachers,2352,Special needs teachers,Special needs teachers - elementary school
4033,Educational counsellors,2359,Teaching professionals not elsewhere classified,Educational counsellors
4111,Judges,2612,Judges,
4112,Lawyers and Quebec notaries,2611,Lawyers,
4112,Lawyers and Quebec notaries,2619,Legal professionals not elsewhere classified,"Quebec notaries, legal advisors and legal officers (except lawyers)"
4151,Psychologists,2634,Psychologists,Except psychometrists
4152,Social workers,2635,Social work and counselling professionals,Social workers
4153,"Family, marriage and other related counsellors",2635,Social work and counselling professionals,"Family, marriage and other related counsellors"
4154,Professional occupations in religion,2636,Religious professionals,
4155,Probation and parole officers and related occupations,2635,Social work and counselling professionals,Probation and parole officers and related occupations
4156,Employment counsellors,2423,Personnel and careers professionals,Employment counsellors
4161,"Natural and applied science policy researchers, consultants and program officers",2132,"Farming, forestry and fisheries advisers",Fisheries analysts
4161,"Natural and applied science policy researchers, consultants and program officers",2133,Environmental protection professionals,Environmental consultants
4161,"Natural and applied science policy researchers, consultants and program officers",2263,Environmental and occupational health and hygiene professionals,
4161,"Natural and applied science policy researchers, consultants and program officers",2422,Policy administration professionals,Natural and applied science policy advisors and program officers
4162,Economists and economic policy researchers and analysts,2422,Policy administration professionals,Economic policy researchers and analysts
4162,Economists and economic policy researchers and analysts,2631,Economists,
4163,Business development officers and marketing researchers and consultants,2422,Policy administration professionals,Business development officers
4163,Business development officers and marketing researchers and consultants,2431,Advertising and marketing professionals,Marketing analysts and consultants
4164,"Social policy researchers, consultants and program officers",2422,Policy administration professionals,"Social policy researchers, consultants and program officers"
4165,"Health policy researchers, consultants and program officers",2422,Policy administration professionals,"Health policy researchers, consultants and program officers (except coroners)"
4165,"Health policy researchers, consultants and program officers",2619,Legal professionals not elsewhere classified,Coroners
4166,"Education policy researchers, consultants and program officers",2351,Education methods specialists,
4166,"Education policy researchers, consultants and program officers",2422,Policy administration professionals,Education policy researchers and program officers
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",2422,Policy administration professionals,"Recreation, sports and fitness policy researchers, consultants and program officers"
4168,Program officers unique to government,2422,Policy administration professionals,Program officers unique to government
4169,"Other professional occupations in social science, n.e.c.",2632,"Sociologists, anthropologists and related professionals",
4169,"Other professional occupations in social science, n.e.c.",2633,"Philosophers, historians and political scientists",
4169,"Other professional occupations in social science, n.e.c.",2634,Psychologists,Psychometrists
4169,"Other professional occupations in social science, n.e.c.",2643,"Translators, interpreters and other linguists",Linguists and philologists
4211,Paralegal and related occupations,3411,Legal and related associate professionals,Paralegal and related occupations
4212,Social and community service workers,3253,Community health workers,
4212,Social and community service workers,3353,Government social benefits officials,Social services officers
4212,Social and community service workers,3412,Social work associate professionals,
4214,Early childhood educators and assistants,2342,Early childhood educators,
4214,Early childhood educators and assistants,5311,Child care workers,Except home child care providers
4215,Instructors of persons with disabilities,2352,Special needs teachers,Instructors of persons with disabilities
4216,Other instructors,2359,Teaching professionals not elsewhere classified,"Except company trainers, educational counsellors and craft instructors (except education)"
4216,Other instructors,3354,Government licensing officials,Driver's licence examiners and driving examiners
4216,Other instructors,5165,Driving instructors,
4217,Other religious occupations,3413,Religious associate professionals,
4311,Police officers (except commissioned),3355,Police inspectors and detectives,Detectives and investigators - police
4311,Police officers (except commissioned),5412,Police officers,
4312,Firefighters,3112,Civil engineering technicians,Fire inspectors and fire prevention specialists
4312,Firefighters,3119,Physical and engineering science technicians not elsewhere classified,Fire investigators
4312,Firefighters,5411,Fire fighters,Except forest firefighters
4313,Non-commissioned ranks of the Canadian Forces,0210,Non-commissioned armed forces officers,
4313,Non-commissioned ranks of the Canadian Forces,0310,"Armed forces occupations, other ranks",
4411,Home child care providers,5311,Child care workers,Home child care providers
4412,"Home support workers, housekeepers and related occupations",5152,Domestic housekeepers,"Except bed and breakfast operators, butlers and housekeeping supervisors"
4412,"Home support workers, housekeepers and related occupations",5322,Home-based personal care workers,
4413,Elementary and secondary school teacher assistants,5312,Teachers' aides,
4421,Sheriffs and bailiffs,3411,Legal and related associate professionals,Sheriffs and bailiffs
4422,Correctional service officers,5413,Prison guards,
4423,"By-law enforcement and other regulatory officers, n.e.c.",5419,Protective services workers not elsewhere classified,"By-law enforcement and other regulatory officers, n.e.c."
5111,Librarians,2622,Librarians and related information professionals,
5112,Conservators and curators,2621,Archivists and curators,Conservators and curators
5113,Archivists,2621,Archivists and curators,Archivists
5121,Authors and writers,2431,Advertising and marketing professionals,Advertising writers
5121,Authors and writers,2641,Authors and related writers,Except book editors
5121,Authors and writers,2643,"Translators, interpreters and other linguists",Lexicographers
5122,Editors,2641,Authors and related writers,Book editors
5122,Editors,2642,Journalists,"Newspaper editors, sub-editors and copy editors"
5123,Journalists,2642,Journalists,"Except newspaper editors, sub-editors and copy editors and television news producers"
5125,"Translators, terminologists and interpreters",2643,"Translators, interpreters and other linguists","Except linguists, philologists and lexicographers"
5131,"Producers, directors, choreographers and related occupations",2642,Journalists,Television news producers
5131,"Producers, directors, choreographers and related occupations",2653,Dancers and choreographers,Choreographers
5131,"Producers, directors, choreographers and related occupations",2654,"Film, stage and related directors and producers",
5132,"Conductors, composers and arrangers",2652,"Musicians, singers and composers","Conductors, composers and arrangers"
5133,Musicians and singers,2354,Other music teachers,
5133,Musicians and singers,2652,"Musicians, singers and composers","Except conductors, composers and arrangers"
5134,Dancers,2355,Other arts teachers,Dance teachers
5134,Dancers,2653,Dancers and choreographers,Except choreographers
5135,Actors and comedians,2355,Other arts teachers,Dramatic arts teachers - private or studio
5135,Actors and comedians,2655,Actors,
5135,Actors and comedians,2659,Creative and performing artists not elsewhere classified,Comedians and humorists - performing arts
5136,"Painters, sculptors and other visual artists",2355,Other arts teachers,Art teachers
5136,"Painters, sculptors and other visual artists",2651,Visual artists,Except ceramic artists
5136,"Painters, sculptors and other visual artists",7316,"Sign writers, decorative painters, engravers and etchers",Decorations painters - visual arts
5211,Library and public archive technicians,3433,"Gallery, museum and library technicians",Library and public archive technicians
5212,Technical occupations related to museums and art galleries,3433,"Gallery, museum and library technicians",Except library and public archive technicians
5212,Technical occupations related to museums and art galleries,5113,Travel guides,Interpretive guides - museum and historic site
5221,Photographers,3431,Photographers,
5222,Film and video camera operators,3521,Broadcasting and audio-visual technicians,Film and video camera operators
5223,Graphic arts technicians,2166,Graphic and multimedia designers,"Except Web designers, graphic designers and illustrators"
5223,Graphic arts technicians,7316,"Sign writers, decorative painters, engravers and etchers",Lettering artists and sign writers and painters
5224,Broadcast technicians,3521,Broadcasting and audio-visual technicians,Broadcast technicians
5225,Audio and video recording technicians,3521,Broadcasting and audio-visual technicians,Audio and video recording technicians
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",3435,Other artistic and cultural associate professionals,"Except support occupations, stuntmen/women and tattoo artists"
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",3435,Other artistic and cultural associate professionals,"Support occupations in motion pictures, broadcasting, photography and the performing arts (except film projectionists, production assistants, riggers and grips)"
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",3521,Broadcasting and audio-visual technicians,Film projectionists and production assistants - motion pictures and broadcasting
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",7215,Riggers and cable splicers,"Riggers and grips - motion pictures, broadcasting and performing arts"
5231,Announcers and other broadcasters,2656,"Announcers on radio, television and other media",
5232,"Other performers, n.e.c.",2653,Dancers and choreographers,Exotic dancers
5232,"Other performers, n.e.c.",2659,Creative and performing artists not elsewhere classified,"Other performers, n.e.c. (except exotic dancers, stuntmen/women and fashion models)"
5232,"Other performers, n.e.c.",3435,Other artistic and cultural associate professionals,Stuntmen/women
5232,"Other performers, n.e.c.",5241,Fashion and other models,
5241,Graphic designers and illustrators,2166,Graphic and multimedia designers,Graphic designers and illustrators
5242,Interior designers and interior decorators,3432,Interior designers and decorators,
5243,"Theatre, fashion, exhibit and other creative designers",2163,Product and garment designers,"Theatre, fashion, exhibit and other creative designers"
5244,Artisans and craftspersons,2359,Teaching professionals not elsewhere classified,Craft instructors
5244,Artisans and craftspersons,2651,Visual artists,Ceramic artists
5244,Artisans and craftspersons,7113,"Stonemasons, stone cutters, splitters and carvers",Hand stone carvers
5244,Artisans and craftspersons,7312,Musical instrument makers and tuners,Musical instrument makers - artisan
5244,Artisans and craftspersons,7313,Jewellery and precious-metal workers,"Goldsmiths, silversmiths, jewellery engravers and jewellery artisans (hand)"
5244,Artisans and craftspersons,7314,Potters and related workers,Potters and ceramists
5244,Artisans and craftspersons,7315,"Glass makers, cutters, grinders and finishers","Glass blowers, cutters, grinders and finishers"
5244,Artisans and craftspersons,7316,"Sign writers, decorative painters, engravers and etchers",Decorative engravers
5244,Artisans and craftspersons,7317,"Handicraft workers in wood, basketry and related materials",
5244,Artisans and craftspersons,7318,"Handicraft workers in textile, leather and related materials",
5244,Artisans and craftspersons,7319,Handicraft workers not elsewhere classified,
5244,Artisans and craftspersons,7533,"Sewing, embroidery and related workers",Hand embroiderers
5245,"Patternmakers - textile, leather and fur products",7532,Garment and related pattern-makers and cutters,"Except fabric, fur and leather cutters"
5251,Athletes,3421,Athletes and sports players,
5252,Coaches,3422,"Sports coaches, instructors and officials",Coaches
5253,Sports officials and referees,3422,"Sports coaches, instructors and officials",Sports officials and referees
5254,"Program leaders and instructors in recreation, sport and fitness",3422,"Sports coaches, instructors and officials",Sports instructors
5254,"Program leaders and instructors in recreation, sport and fitness",3423,Fitness and recreation instructors and program leaders,
5254,"Program leaders and instructors in recreation, sport and fitness",5419,Protective services workers not elsewhere classified,Lifeguards
6211,Retail sales supervisors,5222,Shop supervisors,
6221,Technical sales specialists - wholesale trade,2433,Technical and medical sales professionals (excluding ICT),
6221,Technical sales specialists - wholesale trade,2434,Information and communications technology sales professionals,
6222,Retail and wholesale buyers,3323,Buyers,Except purchasing agents and officers
6231,Insurance agents and brokers,3321,Insurance representatives,Except Insurance underwriters
6232,Real estate agents and salespersons,3334,Real estate agents and property managers,Real estate agents and salespersons
6235,Financial sales representatives,3312,Credit and loans officers,Except mortgage underwriters and credit adjudicators
6311,Food service supervisors,5131,Waiters,"Except maîtres d'hôtel, hosts/hostesses and food and beverage servers"
6311,Food service supervisors,5246,Food service counter attendants,"Canteen, cafeteria and food concession supervisors"
6311,Food service supervisors,9411,Fast food preparers,"Food assembly supervisors and shift managers, fast food restaurant"
6312,Executive housekeepers,5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",Executive housekeepers
6313,"Accommodation, travel, tourism and related services supervisors",4212,"Bookmakers, croupiers and related gaming workers",Supervisors of casino occupations
6313,"Accommodation, travel, tourism and related services supervisors",4221,Travel consultants and clerks,"Supervisors - travel clerks, airline sales and service agents, ground and water transport ticket agents, cargo service representatives and related clerks and passenger service attendants"
6313,"Accommodation, travel, tourism and related services supervisors",4224,Hotel receptionists,Hotel front desk clerks supervisors
6313,"Accommodation, travel, tourism and related services supervisors",5111,Travel attendants and travel stewards,Pursers and flight attendants supervisors
6313,"Accommodation, travel, tourism and related services supervisors",5113,Travel guides,"Supervisors, tour, travel and outdoor sport and recreational guides"
6313,"Accommodation, travel, tourism and related services supervisors",9621,"Messengers, package deliverers and luggage porters",Baggage porter supervisors
6314,Customer and information services supervisors,3341,Office supervisors,Customer and information services supervisors
6315,Cleaning supervisors,5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments",Building cleaning supervisors
6315,Cleaning supervisors,5152,Domestic housekeepers,Housekeeping supervisors
6315,Cleaning supervisors,5153,Building caretakers,"Supervisors, janitors"
6315,Cleaning supervisors,7133,Building structure cleaners,"Supervisors, building exterior cleaners"
6315,Cleaning supervisors,9112,"Cleaners and helpers in offices, hotels and other establishments","Supervisors, bus, railway car and related vehicle cleaners"
6315,Cleaning supervisors,9122,Vehicle cleaners,"Supervisors, vehicle cleaners"
6315,Cleaning supervisors,9123,Window cleaners,"Supervisors, window cleaners"
6315,Cleaning supervisors,9129,Other cleaning workers,"Supervisors, specialized cleaners (except vehicle and window cleaners)"
6316,Other services supervisors,5414,Security guards,"Supervisors, security guards"
6316,Other services supervisors,8157,Laundry machine operators,Production supervisors - laundry and dry cleaning
6316,Other services supervisors,9629,Elementary workers not elsewhere classified,Other services supervisors (except security guards supervisors and supervisors in laundry and dry cleaning)
6321,Chefs,3434,Chefs,
6322,Cooks,5120,Cooks,
6322,Cooks,7512,"Bakers, pastry-cooks and confectionery makers",Pastry cooks
6322,Cooks,9411,Fast food preparers,Short order cooks
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",7511,"Butchers, fishmongers and related food preparers","Except meat salters, fish cutters - fish processing, industrial butchers and meat cutters, poultry preparers and related workers"
6332,Bakers,7512,"Bakers, pastry-cooks and confectionery makers",Bakers
6341,Hairstylists and barbers,5141,Hairdressers,
6342,"Tailors, dressmakers, furriers and milliners",7531,"Tailors, dressmakers, furriers and hatters",Except fur graders
6343,Shoe repairers and shoemakers,7536,Shoemakers and related workers,
6344,"Jewellers, jewellery and watch repairers and related occupations",7311,Precision-instrument makers and repairers,Watchmakers and watch repairers
6344,"Jewellers, jewellery and watch repairers and related occupations",7313,Jewellery and precious-metal workers,"Except goldsmiths, silversmiths, jewellery engravers and jewellery artisans (hand)"
6345,Upholsterers,7534,Upholsterers and related workers,Except mattress makers
6346,Funeral directors and embalmers,5163,Undertakers and embalmers,
6411,Sales and account representatives - wholesale trade (non-technical),3322,Commercial sales representatives,
6411,Sales and account representatives - wholesale trade (non-technical),3339,Business services agents not elsewhere classified,"Auctioneers, advertising agents and freight sales agents"
6421,Retail salespersons,5211,Stall and market salespersons,
6421,Retail salespersons,5223,Shop sales assistants,
6421,Retail salespersons,5249,Sales workers not elsewhere classified,Rental agents - retail
6511,Maîtres d'hôtel and hosts/hostesses,5131,Waiters,Maîtres d'hôtel and hosts/hostesses
6512,Bartenders,5132,Bartenders,
6513,Food and beverage servers,5131,Waiters,Food and beverage servers
6521,Travel counsellors,4221,Travel consultants and clerks,"Except travel clerk supervisors and airline, ground and water transport ticket agents and service representatives"
6522,Pursers and flight attendants,5111,Travel attendants and travel stewards,Pursers and flight attendants
6523,Airline ticket and service agents,4221,Travel consultants and clerks,Airline ticket and service agents
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",4221,Travel consultants and clerks,"Ground and water transport ticket agents, cargo service representatives and related clerks"
6525,Hotel front desk clerks,4224,Hotel receptionists,Except hotel front desk clerks supervisors
6531,Tour and travel guides,5113,Travel guides,"Except interpretive guides, outdoor sport and recreational guides and guides supervisors"
6531,Tour and travel guides,9332,Drivers of animal-drawn vehicles and machinery,"Tour guides who drive animal-drawn vehicles, for example calèche drivers"
6532,Outdoor sport and recreational guides,5113,Travel guides,Outdoor sport and recreational guides
6533,Casino occupations,4212,"Bookmakers, croupiers and related gaming workers",Except supervisors of casino occupations
6541,Security guards and related security service occupations,3411,Legal and related associate professionals,Private detectives
6541,Security guards and related security service occupations,5414,Security guards,"Except supervisors, security guards"
6541,Security guards and related security service occupations,5419,Protective services workers not elsewhere classified,Crossing guards
6551,Customer services representatives - financial institutions,4211,Bank tellers and related clerks,Except postal counter clerks
6552,Other customer and information services representatives,4222,Contact centre information clerks,
6552,Other customer and information services representatives,4225,Enquiry clerks,
6561,"Image, social and other personal consultants",5142,Beauticians and related workers,"Image, social and other personal consultants"
6562,"Estheticians, electrologists and related occupations",3435,Other artistic and cultural associate professionals,Tattoo artists
6562,"Estheticians, electrologists and related occupations",5142,Beauticians and related workers,"Except image, social and other personal consultants"
6563,Pet groomers and animal care workers,5164,Pet groomers and animal care workers,Except horse trainers and horse breakers
6563,Pet groomers and animal care workers,9332,Drivers of animal-drawn vehicles and machinery,"Except tour guides who drive animal-drawn vehicles, for example calèche drivers"
6564,Other personal service occupations,5161,"Astrologers, fortune-tellers and related workers",
6564,Other personal service occupations,5169,Personal services workers not elsewhere classified,
6611,Cashiers,5230,Cashiers and ticket clerks,
6621,Service station attendants,5245,Service station attendants,
6622,"Store shelf stockers, clerks and order fillers",9334,Shelf fillers,
6623,Other sales related occupations,5242,Sales demonstrators,
6623,Other sales related occupations,5243,Door to door salespersons,
6623,Other sales related occupations,5244,Contact centre salespersons,
6623,Other sales related occupations,5249,Sales workers not elsewhere classified,Except rental agents - retail
6623,Other sales related occupations,9520,Street vendors (excluding food),
6711,"Food counter attendants, kitchen helpers and related support occupations",5212,Street food salespersons,
6711,"Food counter attendants, kitchen helpers and related support occupations",5246,Food service counter attendants,"Except canteen, cafeteria and food concession supervisors"
6711,"Food counter attendants, kitchen helpers and related support occupations",9411,Fast food preparers,"Except short order cooks and supervisors, fast food restaurants"
6711,"Food counter attendants, kitchen helpers and related support occupations",9412,Kitchen helpers,
6721,"Support occupations in accommodation, travel and facilities set-up services",5111,Travel attendants and travel stewards,Passenger service attendants and hotel guest services attendants
6721,"Support occupations in accommodation, travel and facilities set-up services",9621,"Messengers, package deliverers and luggage porters",Baggage porters
6721,"Support occupations in accommodation, travel and facilities set-up services",9629,Elementary workers not elsewhere classified,Hotel doorkeepers and facilities porters
6722,"Operators and attendants in amusement, recreation and sport",8342,Earthmoving and related plant operators,Zamboni drivers
6722,"Operators and attendants in amusement, recreation and sport",8343,"Crane, hoist and related plant operators","Cable car, ski lift and amusement ride operators"
6722,"Operators and attendants in amusement, recreation and sport",9629,Elementary workers not elsewhere classified,"Attendants in amusement, recreation and sport"
6731,Light duty cleaners,9111,Domestic cleaners and helpers,
6731,Light duty cleaners,9112,"Cleaners and helpers in offices, hotels and other establishments","Except aircraft, bus, railway car and related vehicle cleaners and supervisors"
6731,Light duty cleaners,9613,Sweepers and related labourers,Except street and park sweepers
6732,Specialized cleaners,7133,Building structure cleaners,"Chimney sweeps, sandblasting building cleaners and building exterior cleaners"
6732,Specialized cleaners,9112,"Cleaners and helpers in offices, hotels and other establishments","Bus, railway car and related vehicle cleaners"
6732,Specialized cleaners,9122,Vehicle cleaners,Except supervisors
6732,Specialized cleaners,9123,Window cleaners,Except supervisors
6732,Specialized cleaners,9129,Other cleaning workers,"Specialized cleaners (except window, vehicle and building structure cleaners)"
6733,"Janitors, caretakers and building superintendents",5153,Building caretakers,Except supervisors
6733,"Janitors, caretakers and building superintendents",9622,Odd job persons,
6741,"Dry cleaning, laundry and related occupations",8157,Laundry machine operators,Except supervisors
6741,"Dry cleaning, laundry and related occupations",9121,Hand launderers and pressers,
6742,"Other service support occupations, n.e.c.",5152,Domestic housekeepers,Butlers
6742,"Other service support occupations, n.e.c.",5162,Companions and valets,Valets and personal servants
6742,"Other service support occupations, n.e.c.",8322,"Car, taxi and van drivers",Motor vehicle jockeys
6742,"Other service support occupations, n.e.c.",9331,Hand and pedal vehicle drivers,
6742,"Other service support occupations, n.e.c.",9510,Street and related service workers,
6742,"Other service support occupations, n.e.c.",9629,Elementary workers not elsewhere classified,"Service support occupations (except butlers, valets, personal servants, motor vehicle jockeys, hand and pedal vehicle drivers and street and related service workers)"
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7212,Welders and flamecutters,"Contractors and supervisors, welding"
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7213,Sheet-metal workers,Sheet metal workers contractors and boilermakers foremen/women
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7214,Structural-metal preparers and erectors,"Ironwork contractors and foremen/women, metal fabricators, metal fitters and platework fabricators"
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7215,Riggers and cable splicers,Ship riggers foremen/women
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7221,"Blacksmiths, hammersmiths and forging press workers","Foremen/women, blacksmiths"
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7222,Toolmakers and related workers,"Foremen/women, tool and die makers, metal mould and metal patternmakers"
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7223,Metal working machine tool setters and operators,"Foremen/women, machinists and machine tool set-up operators"
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7224,"Metal polishers, wheel grinders and tool sharpeners",Machine tool grinding foremen/women
7201,"Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations",7543,Product graders and testers (excluding foods and beverages),"Foremen/women, machine shop inspectors"
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",7411,Building and related electricians,Electrical contractors and supervisors and chief electrician (except power system electricians and power line and cable workers)
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",7412,Electrical mechanics and fitters,"Contractors and supervisors, power system electricians and electrical equipment installation and repair"
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",7413,Electrical line installers and repairers,"Contractors and supervisors, electrical power line and cable workers"
7202,"Contractors and supervisors, electrical trades and telecommunications occupations",7422,Information and communications technology installers and servicers,"Contractors and supervisors,  cable and line installation and repair workers - telecommunications"
7203,"Contractors and supervisors, pipefitting trades",3123,Construction supervisors,"Contractors and supervisors, pipefitting trades"
7204,"Contractors and supervisors, carpentry trades",3123,Construction supervisors,Carpentry contractors and supervisors and general foremen/women - building construction
7204,"Contractors and supervisors, carpentry trades",7522,Cabinet-makers and related workers,"Foremen/women, cabinetmakers"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",3123,Construction supervisors,"Except contractors and supervisors, pipefitting and carpentry trades and general foremen/women building construction"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7234,Bicycle and related repairers,"Contractors and supervisors, bicycle repair shop"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7311,Precision-instrument makers and repairers,"Contractors and supervisors, surveying instrument, precision instrument repairers"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7312,Musical instrument makers and tuners,"Contractors and supervisors, musical instrument repair"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7412,Electrical mechanics and fitters,"Contractors and supervisors, installers, servicers and repairers - electrical appliances"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7422,Information and communications technology installers and servicers,"Contractors and supervisors, residential and commercial installers and servicers - communication equipment"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7544,Fumigators and other pest and weed controllers,"Contractors and supervisors, pest control and fumigation"
7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers",7549,Craft and related workers not elsewhere classified,"Contractors and supervisors, other repairers, installers and servicers, n.e.c."
7231,Machinists and machining and tooling inspectors,7223,Metal working machine tool setters and operators,Machinists
7231,Machinists and machining and tooling inspectors,7543,Product graders and testers (excluding foods and beverages),Machining and tooling inspectors
7232,Tool and die makers,7222,Toolmakers and related workers,"Except locksmiths, gunsmiths and foremen/women, tool and die makers, metal mould and metal patternmakers"
7233,Sheet metal workers,7213,Sheet-metal workers,"Except contractors and supervisors, boilermakers and motor vehicle body repairers"
7234,Boilermakers,7213,Sheet-metal workers,Boilermakers
7235,Structural metal and platework fabricators and fitters,7214,Structural-metal preparers and erectors,"Except ironwork contractors and foremen/women, metal fabricators, metal fitters, platework fabricators and ironworkers"
7236,Ironworkers,7214,Structural-metal preparers and erectors,Ironworkers
7237,Welders and related machine operators,7212,Welders and flamecutters,"Except flame cutting machine operators and contractors and supervisors, welding"
7241,Electricians (except industrial and power system),7411,Building and related electricians,Except contractors and supervisors and industrial electricians
7242,Industrial electricians,7411,Building and related electricians,Industrial electricians
7243,Power system electricians,7412,Electrical mechanics and fitters,Power system electricians
7244,Electrical power line and cable workers,7413,Electrical line installers and repairers,Except contractors and supervisors
7245,Telecommunications line and cable workers,7422,Information and communications technology installers and servicers,Telecommunications line and cable workers
7246,Telecommunications installation and repair workers,7422,Information and communications technology installers and servicers,Telecommunications installation and repair workers
7247,Cable television service and maintenance technicians,7422,Information and communications technology installers and servicers,Cable television service and maintenance technicians
7251,Plumbers,7126,Plumbers and pipe fitters,Plumbers
7252,"Steamfitters, pipefitters and sprinkler system installers",7126,Plumbers and pipe fitters,"Steamfitters, pipefitters and sprinkler system installers"
7253,Gas fitters,7126,Plumbers and pipe fitters,Gas fitters
7271,Carpenters,7115,Carpenters and joiners,"Except residential and commercial installers and servicers - doors, windows and other wood products"
7272,Cabinetmakers,7522,Cabinet-makers and related workers,"Except foremen/women, cabinetmakers"
7281,Bricklayers,7112,Bricklayers and related workers,Except interlocking stone installers
7281,Bricklayers,7113,"Stonemasons, stone cutters, splitters and carvers",Stonemasons and stonecutters
7282,Concrete finishers,7114,"Concrete placers, concrete finishers and related workers",Except terrazzo workers and model and mould makers - concrete products
7283,Tilesetters,7114,"Concrete placers, concrete finishers and related workers",Terrazzo workers
7283,Tilesetters,7122,Floor layers and tile setters,Tilesetters
7284,"Plasterers, drywall installers and finishers and lathers",7123,Plasterers,
7284,"Plasterers, drywall installers and finishers and lathers",7124,Insulation workers,Acoustic tile installers
7291,Roofers and shinglers,7121,Roofers,
7292,Glaziers,7125,Glaziers,Except automotive glass technicians
7293,Insulators,7124,Insulation workers,Except acoustic tile and weather strip installers
7294,Painters and decorators (except interior decorators),7131,Painters and related workers,
7295,Floor covering installers,7122,Floor layers and tile setters,Floor covering installers
7301,"Contractors and supervisors, mechanic trades",7127,Air conditioning and refrigeration mechanics,"Contractors and supervisors, heating systems, air conditioning and refrigeration mechanics"
7301,"Contractors and supervisors, mechanic trades",7213,Sheet-metal workers,"Contractors and supervisors, automotive body shop"
7301,"Contractors and supervisors, mechanic trades",7231,Motor vehicle mechanics and repairers,"Contractors and supervisors, motor vehicle mechanics and repairers"
7301,"Contractors and supervisors, mechanic trades",7232,Aircraft engine mechanics and repairers,"Contractors and supervisors, aircraft engine mechanics and repairers"
7301,"Contractors and supervisors, mechanic trades",7233,Agricultural and industrial machinery mechanics and repairers,"Contractors and supervisors, agricultural, industrial, construction millwrights and heavy-duty machinery mechanics and repairers"
7301,"Contractors and supervisors, mechanic trades",7412,Electrical mechanics and fitters,"Contractors and supervisors, electrical mechanics and fitters"
7302,"Contractors and supervisors, heavy equipment operator crews",7119,Building frame and related trades workers not elsewhere classified,"Foremen/women, building wrecking"
7302,"Contractors and supervisors, heavy equipment operator crews",7542,Shotfirers and blasters,"Foremen/women, blasters - construction"
7302,"Contractors and supervisors, heavy equipment operator crews",8113,Well drillers and borers and related workers,Well drilling foremen/women
7302,"Contractors and supervisors, heavy equipment operator crews",8312,"Railway brake, signal and switch operators",Railwaymen/women foremen/women
