noc2011_code,noc2011_title,isco2008_code,isco2008_title,Explanatory_notes
0821,Managers in agriculture,1311,Agricultural and forestry production managers,Large scale agricultural operation managers
0821,Managers in agriculture,6111,Field crop and vegetable growers,"Except contractors, supervisors and general farm workers"
0821,Managers in agriculture,6112,Tree and shrub crop growers,"Except contractors, supervisors and general farm workers"
0821,Managers in agriculture,6113,"Gardeners, horticultural and nursery growers",Market gardeners
0821,Managers in agriculture,6114,Mixed crop growers,"Except contractors, supervisors and general farm workers"
0821,Managers in agriculture,6121,Livestock and dairy producers,"Except contractors, supervisors and general farm workers"
0821,Managers in agriculture,6122,Poultry producers,"Except contractors, supervisors and general farm workers"
0821,Managers in agriculture,6123,Apiarists and sericulturists,"Except contractors, supervisors and general farm workers"
0821,Managers in agriculture,6129,Animal producers not elsewhere classified,"Except contractors, supervisors and general farm workers"
0821,Managers in agriculture,6130,Mixed crop and animal producers,"Except contractors, supervisors and general farm workers"
0822,Managers in horticulture,6113,"Gardeners, horticultural and nursery growers",Managers in horticulture
0823,Managers in aquaculture,1312,Aquaculture and fisheries production managers,Aquaculture managers
0823,Managers in aquaculture,6221,Aquaculture workers,Fish and oyster farmers
0911,Manufacturing managers,1321,Manufacturing managers,Except power plant and water and waste treatment managers
0912,Utilities managers,1321,Manufacturing managers,Power plant and water and waste treatment managers
0912,Utilities managers,1324,"Supply, distribution and related managers","Directors, distribution systems - utilities"
1111,Financial auditors and accountants,2411,Accountants,
1112,Financial and investment analysts,2413,Financial analysts,Financial and investment analysts
1113,"Securities agents, investment dealers and brokers",3311,Securities and finance dealers and brokers,"Securities agents, investment dealers and brokers (except commodity brokers)"
1113,"Securities agents, investment dealers and brokers",3324,Trade brokers,Commodity brokers
1114,Other financial officer,2412,Financial and investment advisers,
1114,Other financial officer,2413,Financial analysts,"Other financial officers (except financial and investment advisers, other financial brokers, mortgage underwriters and credit adjudicators)"
1114,Other financial officer,3311,Securities and finance dealers and brokers,Other financial brokers
1114,Other financial officer,3312,Credit and loans officers,Mortgage underwriters and credit adjudicators
1121,Human resources professionals,2423,Personnel and careers professionals,Human resources professionals (except staff training and development professionals)
1121,Human resources professionals,2424,Training and staff development professionals,
1122,Professional occupations in business management consulting,2421,Management and organization analysts,
1122,Professional occupations in business management consulting,2621,Archivists and curators,Records management specialists
1123,"Professional occupations in advertising, marketing and public relations",2431,Advertising and marketing professionals,Professional occupations in advertising and marketing
1123,"Professional occupations in advertising, marketing and public relations",2432,Public relations professionals,
1123,"Professional occupations in advertising, marketing and public relations",3339,Business services agents not elsewhere classified,"Literary agents, performers agents and sports agents"
1211,"Supervisors, general office and administrative support workers",3341,Office supervisors,"Supervisors, general office and administrative support workers"
1211,"Supervisors, general office and administrative support workers",7321,Pre-press technicians,"Supervisors, desktop publishing operators and related occupations"
1212,"Supervisors, finance and insurance office workers",3341,Office supervisors,"Supervisors, finance and insurance office workers"
1213,"Supervisors, library, correspondence and related information workers",3341,Office supervisors,"Supervisors, library, correspondence and related information workers"
