noc2006,noc2006_title,noc2011,noc2011_title
061,"Sales, Marketing and Advertising Managers",012,Managers in financial and business services
061,"Sales, Marketing and Advertising Managers",060,Corporate sales managers
061,"Sales, Marketing and Advertising Managers",062,Retail and wholesale trade managers
061,"Sales, Marketing and Advertising Managers",112,Human resources and business service professionals
062,Managers in Retail Trade,062,Retail and wholesale trade managers
064,Managers in Protective Service,043,Managers in public protection services
065,Managers in Other Services,065,"Managers in customer and personal services, n.e.c."
071,Managers in Construction and Transportation,071,Managers in construction and facility operation and maintenance
071,Managers in Construction and Transportation,073,Managers in transportation
072,Facility Operation and Maintenance Managers,071,Managers in construction and facility operation and maintenance
072,Facility Operation and Maintenance Managers,073,Managers in transportation
081,Managers in Primary Production (Except Agriculture),081,Managers in natural resources production and fishing
081,Managers in Primary Production (Except Agriculture),082,"Managers in agriculture, horticulture and aquaculture"
112,Human Resources and Business Service Professionals,112,Human resources and business service professionals
121,Clerical Supervisors,121,Administrative services supervisors
121,Clerical Supervisors,125,"Court reporters, transcriptionists, records management technicians and statistical officers"
121,Clerical Supervisors,631,Service supervisors
123,Finance and Insurance Administrative Occupations,131,"Finance, insurance and related business administrative occupations"
123,Finance and Insurance Administrative Occupations,623,"Insurance, real estate and financial sales occupations"
124,"Secretaries, Recorders and Transcriptionists",124,"Office administrative assistants - general, legal and medical"
124,"Secretaries, Recorders and Transcriptionists",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
124,"Secretaries, Recorders and Transcriptionists",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
124,"Secretaries, Recorders and Transcriptionists",131,"Finance, insurance and related business administrative occupations"
141,"Clerical Occupations, General Office Skills",124,"Office administrative assistants - general, legal and medical"
141,"Clerical Occupations, General Office Skills",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
141,"Clerical Occupations, General Office Skills",141,General office workers
141,"Clerical Occupations, General Office Skills",145,"Library, correspondence and other clerks"
142,Office Equipment Operators,141,General office workers
142,Office Equipment Operators,142,Office equipment operators
143,Finance and Insurance Clerks,143,"Financial, insurance and related administrative support workers"
143,Finance and Insurance Clerks,655,Customer and information services representatives
144,Administrative Support Clerks,141,General office workers
144,Administrative Support Clerks,145,"Library, correspondence and other clerks"
145,"Library, Correspondence and Related Information Clerks",145,"Library, correspondence and other clerks"
145,"Library, Correspondence and Related Information Clerks",655,Customer and information services representatives
146,Mail and Message Distribution Occupations,151,Mail and message distribution occupations
147,"Recording, Scheduling and Distributing Occupations",152,"Supply chain logistics, tracking and scheduling co-ordination occupations"
216,"Mathematicians, Statisticians and Actuaries",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
216,"Mathematicians, Statisticians and Actuaries",216,"Mathematicians, statisticians and actuaries"
221,Technical Occupations in Physical Sciences,221,Technical occupations in physical sciences
221,Technical Occupations in Physical Sciences,225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology"
225,"Technical Occupations in Architecture, Drafting, Surveying and Mapping",225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology"
225,"Technical Occupations in Architecture, Drafting, Surveying and Mapping",301,Professional occupations in nursing
312,"Optometrists, Chiropractors and Other Health Diagnosing and Treating Professionals",312,"Optometrists, chiropractors and other health diagnosing and treating professionals"
314,Therapy and Assessment Professionals,314,Therapy and assessment professionals
315,Nurse Supervisors and Registered Nurses,301,Professional occupations in nursing
315,Nurse Supervisors and Registered Nurses,312,"Optometrists, chiropractors and other health diagnosing and treating professionals"
321,Medical Technologists and Technicians (Except Dental Health),321,Medical technologists and technicians (except dental health)
323,Other Technical Occupations in Health Care (Except Dental),312,"Optometrists, chiropractors and other health diagnosing and treating professionals"
323,Other Technical Occupations in Health Care (Except Dental),323,Other technical occupations in health care
323,Other Technical Occupations in Health Care (Except Dental),341,Assisting occupations in support of health services
341,Assisting Occupations in Support of Health Services,321,Medical technologists and technicians (except dental health)
341,Assisting Occupations in Support of Health Services,323,Other technical occupations in health care
341,Assisting Occupations in Support of Health Services,341,Assisting occupations in support of health services
412,University Professors and Assistants,401,University professors and post-secondary assistants
413,College and Other Vocational Instructors,402,College and other vocational instructors
414,Secondary and Elementary School Teachers and Educational Counsellors,403,Secondary and elementary school teachers and educational counsellors
415,"Psychologists, Social Workers, Counsellors, Clergy and Probation Officers",415,Social and community service professionals
416,"Policy and Program Officers, Researchers and Consultants",112,Human resources and business service professionals
416,"Policy and Program Officers, Researchers and Consultants",125,"Court reporters, transcriptionists, records management technicians and statistical officers"
416,"Policy and Program Officers, Researchers and Consultants",314,Therapy and assessment professionals
416,"Policy and Program Officers, Researchers and Consultants",416,"Policy and program researchers, consultants and officers"
416,"Policy and Program Officers, Researchers and Consultants",525,"Athletes, coaches, referees and related occupations"
421,"Paralegals, Social Services Workers and Occupations in Education and Religion, n.e.c.",124,"Office administrative assistants - general, legal and medical"
421,"Paralegals, Social Services Workers and Occupations in Education and Religion, n.e.c.",415,Social and community service professionals
421,"Paralegals, Social Services Workers and Occupations in Education and Religion, n.e.c.",421,"Paraprofessional occupations in legal, social, community and education services"
421,"Paralegals, Social Services Workers and Occupations in Education and Religion, n.e.c.",431,Occupations in front-line public protection services
421,"Paralegals, Social Services Workers and Occupations in Education and Religion, n.e.c.",441,Home care providers and educational support occupations
421,"Paralegals, Social Services Workers and Occupations in Education and Religion, n.e.c.",442,Legal and public protection support occupations
512,"Writing, Translating and Public Relations Professionals",112,Human resources and business service professionals
512,"Writing, Translating and Public Relations Professionals",512,"Writing, translating and related communications professionals"
521,"Technical Occupations in Libraries, Archives, Museums and Art Galleries",145,"Library, correspondence and other clerks"
521,"Technical Occupations in Libraries, Archives, Museums and Art Galleries",521,"Technical occupations in libraries, public archives, museums and art galleries"
523,Announcers and Other Performers,523,"Announcers and other performers, n.e.c."
524,Creative Designers and Craftspersons,524,Creative designers and craftspersons
525,"Athletes, Coaches, Referees and Related Occupations",525,"Athletes, coaches, referees and related occupations"
621,Sales and Service Supervisors,062,Retail and wholesale trade managers
621,Sales and Service Supervisors,621,Retail sales supervisors
621,Sales and Service Supervisors,631,Service supervisors
622,"Technical Sales Specialists, Wholesale Trade",622,Technical sales specialists in wholesale trade and retail and wholesale buyers
623,Insurance and Real Estate Sales Occupations and Buyers,622,Technical sales specialists in wholesale trade and retail and wholesale buyers
623,Insurance and Real Estate Sales Occupations and Buyers,623,"Insurance, real estate and financial sales occupations"
623,Insurance and Real Estate Sales Occupations and Buyers,631,Service supervisors
624,Chefs and Cooks,632,Chefs and cooks
625,Butchers and Bakers,633,Butchers and bakers
626,Police Officers and Firefighters,431,Occupations in front-line public protection services
627,Technical Occupations in Personal Service,634,Specialized occupations in personal and customer services
641,"Sales Representatives, Wholesale Trade",641,Sales and account representatives - wholesale trade (non-technical)
642,Retail Salespersons and Sales Clerks,524,Creative designers and craftspersons
642,Retail Salespersons and Sales Clerks,642,Retail salespersons
