nocs2006,nocs2006_title,soc2010,soc2010_title
J113,Pulping control operators,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
J113,Pulping control operators,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
J113,Pulping control operators,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
J114,Papermaking and coating control operators,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
J114,Papermaking and coating control operators,51-9196,"Paper Goods Machine Setters, Operators, and Tenders"
J121,"Machine operators, mineral and metal processing",51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
J121,"Machine operators, mineral and metal processing",51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
J121,"Machine operators, mineral and metal processing",51-4051,Metal-Refining Furnace Operators and Tenders
J121,"Machine operators, mineral and metal processing",51-4052,"Pourers and Casters, Metal"
J121,"Machine operators, mineral and metal processing",51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic"
J121,"Machine operators, mineral and metal processing",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
J122,Foundry workers,51-4051,Metal-Refining Furnace Operators and Tenders
J122,Foundry workers,51-4052,"Pourers and Casters, Metal"
J122,Foundry workers,51-4071,Foundry Mold and Coremakers
J122,Foundry workers,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
J123,Glass forming and finishing machine operators and glass cutters,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
J123,Glass forming and finishing machine operators and glass cutters,51-9031,"Cutters and Trimmers, Hand"
J123,Glass forming and finishing machine operators and glass cutters,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
J123,Glass forming and finishing machine operators and glass cutters,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
J123,Glass forming and finishing machine operators and glass cutters,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
J123,Glass forming and finishing machine operators and glass cutters,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic"
J124,"Concrete, clay and stone forming operators",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
J124,"Concrete, clay and stone forming operators",51-9022,"Grinding and Polishing Workers, Hand"
J124,"Concrete, clay and stone forming operators",51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
J124,"Concrete, clay and stone forming operators",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders"
J124,"Concrete, clay and stone forming operators",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
J124,"Concrete, clay and stone forming operators",51-9194,Etchers and Engravers
J125,"Inspectors and testers, mineral and metal processing",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers"
J131,Chemical plant machine operators,51-9011,Chemical Equipment Operators and Tenders
J131,Chemical plant machine operators,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
J131,Chemical plant machine operators,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
J131,Chemical plant machine operators,51-9193,Cooling and Freezing Equipment Operators and Tenders
J132,Plastics processing machine operators,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
J132,Plastics processing machine operators,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic"
J132,Plastics processing machine operators,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
J132,Plastics processing machine operators,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic"
J132,Plastics processing machine operators,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers"
J132,Plastics processing machine operators,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders"
J133,Rubber processing machine operators and related workers,51-9031,"Cutters and Trimmers, Hand"
