code,title,noc1d,noc2d,noc3d,noc4d,Level,Hierarchical_structure
2242,Electronic service technicians (household and business equipment),2,22,224,2242,4,Unit group
2243,Industrial instrument technicians and mechanics,2,22,224,2243,4,Unit group
2244,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors",2,22,224,2244,4,Unit group
225,"Technical occupations in architecture, drafting, surveying, geomatics and meteorology",2,22,225,NA,3,Minor group
2251,Architectural technologists and technicians,2,22,225,2251,4,Unit group
2252,Industrial designers,2,22,225,2252,4,Unit group
2253,Drafting technologists and technicians,2,22,225,2253,4,Unit group
2254,Land survey technologists and technicians,2,22,225,2254,4,Unit group
2255,Technical occupations in geomatics and meteorology,2,22,225,2255,4,Unit group
226,Other technical inspectors and regulatory officers,2,22,226,NA,3,Minor group
2261,Non-destructive testers and inspection technicians,2,22,226,2261,4,Unit group
2262,Engineering inspectors and regulatory officers,2,22,226,2262,4,Unit group
2263,Inspectors in public and environmental health and occupational health and safety,2,22,226,2263,4,Unit group
2264,Construction inspectors,2,22,226,2264,4,Unit group
227,Transportation officers and controllers,2,22,227,NA,3,Minor group
2271,"Air pilots, flight engineers and flying instructors",2,22,227,2271,4,Unit group
2272,Air traffic controllers and related occupations,2,22,227,2272,4,Unit group
2273,"Deck officers, water transport",2,22,227,2273,4,Unit group
2274,"Engineer officers, water transport",2,22,227,2274,4,Unit group
2275,Railway traffic controllers and marine traffic regulators,2,22,227,2275,4,Unit group
228,Technical occupations in computer and information systems,2,22,228,NA,3,Minor group
2281,Computer network technicians,2,22,228,2281,4,Unit group
2282,User support technicians,2,22,228,2282,4,Unit group
2283,Information systems testing technicians,2,22,228,2283,4,Unit group
3,Health occupations,3,NA,NA,NA,1,Broad occupational category
30,Professional occupations in nursing,3,30,NA,NA,2,Major group
301,Professional occupations in nursing,3,30,301,NA,3,Minor group
3011,Nursing co-ordinators and supervisors,3,30,301,3011,4,Unit group
3012,Registered nurses and registered psychiatric nurses,3,30,301,3012,4,Unit group
31,Professional occupations in health (except nursing),3,31,NA,NA,2,Major group
311,"Physicians, dentists and veterinarians",3,31,311,NA,3,Minor group
3111,Specialist physicians,3,31,311,3111,4,Unit group
3112,General practitioners and family physicians,3,31,311,3112,4,Unit group
3113,Dentists,3,31,311,3113,4,Unit group
3114,Veterinarians,3,31,311,3114,4,Unit group
312,"Optometrists, chiropractors and other health diagnosing and treating professionals",3,31,312,NA,3,Minor group
3121,Optometrists,3,31,312,3121,4,Unit group
3122,Chiropractors,3,31,312,3122,4,Unit group
3124,Allied primary health practitioners,3,31,312,3124,4,Unit group
3125,Other professional occupations in health diagnosing and treating,3,31,312,3125,4,Unit group
313,"Pharmacists, dietitians and nutritionists",3,31,313,NA,3,Minor group
3131,Pharmacists,3,31,313,3131,4,Unit group
3132,Dietitians and nutritionists,3,31,313,3132,4,Unit group
314,Therapy and assessment professionals,3,31,314,NA,3,Minor group
3141,Audiologists and speech-language pathologists,3,31,314,3141,4,Unit group
3142,Physiotherapists,3,31,314,3142,4,Unit group
3143,Occupational therapists,3,31,314,3143,4,Unit group
3144,Other professional occupations in therapy and assessment,3,31,314,3144,4,Unit group
32,Technical occupations in health,3,32,NA,NA,2,Major group
321,Medical technologists and technicians (except dental health),3,32,321,NA,3,Minor group
3211,Medical laboratory technologists,3,32,321,3211,4,Unit group
3212,Medical laboratory technicians and pathologists' assistants,3,32,321,3212,4,Unit group
3213,Animal health technologists and veterinary technicians,3,32,321,3213,4,Unit group
3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",3,32,321,3214,4,Unit group
3215,Medical radiation technologists,3,32,321,3215,4,Unit group
3216,Medical sonographers,3,32,321,3216,4,Unit group
3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c.",3,32,321,3217,4,Unit group
3219,Other medical technologists and technicians (except dental health),3,32,321,3219,4,Unit group
322,Technical occupations in dental health care,3,32,322,NA,3,Minor group
3221,Denturists,3,32,322,3221,4,Unit group
3222,Dental hygienists and dental therapists,3,32,322,3222,4,Unit group
3223,"Dental technologists, technicians and laboratory assistants",3,32,322,3223,4,Unit group
323,Other technical occupations in health care,3,32,323,NA,3,Minor group
3231,Opticians,3,32,323,3231,4,Unit group
3232,Practitioners of natural healing,3,32,323,3232,4,Unit group
3233,Licensed practical nurses,3,32,323,3233,4,Unit group
3234,Paramedical occupations,3,32,323,3234,4,Unit group
3236,Massage therapists,3,32,323,3236,4,Unit group
3237,Other technical occupations in therapy and assessment,3,32,323,3237,4,Unit group
34,Assisting occupations in support of health services,3,34,NA,NA,2,Major group
341,Assisting occupations in support of health services,3,34,341,NA,3,Minor group
3411,Dental assistants,3,34,341,3411,4,Unit group
3413,"Nurse aides, orderlies and patient service associates",3,34,341,3413,4,Unit group
3414,Other assisting occupations in support of health services,3,34,341,3414,4,Unit group
4,"Occupations in education, law and social, community and government services",4,NA,NA,NA,1,Broad occupational category
40,Professional occupations in education services,4,40,NA,NA,2,Major group
401,University professors and post-secondary assistants,4,40,401,NA,3,Minor group
4011,University professors and lecturers,4,40,401,4011,4,Unit group
4012,Post-secondary teaching and research assistants,4,40,401,4012,4,Unit group
402,College and other vocational instructors,4,40,402,NA,3,Minor group
4021,College and other vocational instructors,4,40,402,4021,4,Unit group
403,Secondary and elementary school teachers and educational counsellors,4,40,403,NA,3,Minor group
4031,Secondary school teachers,4,40,403,4031,4,Unit group
4032,Elementary school and kindergarten teachers,4,40,403,4032,4,Unit group
4033,Educational counsellors,4,40,403,4033,4,Unit group
41,"Professional occupations in law and social, community and government services",4,41,NA,NA,2,Major group
411,"Judges, lawyers and Quebec notaries",4,41,411,NA,3,Minor group
4111,Judges,4,41,411,4111,4,Unit group
4112,Lawyers and Quebec notaries,4,41,411,4112,4,Unit group
415,Social and community service professionals,4,41,415,NA,3,Minor group
4151,Psychologists,4,41,415,4151,4,Unit group
4152,Social workers,4,41,415,4152,4,Unit group
4153,"Family, marriage and other related counsellors",4,41,415,4153,4,Unit group
4154,Professional occupations in religion,4,41,415,4154,4,Unit group
4155,Probation and parole officers and related occupations,4,41,415,4155,4,Unit group
4156,Employment counsellors,4,41,415,4156,4,Unit group
416,"Policy and program researchers, consultants and officers",4,41,416,NA,3,Minor group
4161,"Natural and applied science policy researchers, consultants and program officers",4,41,416,4161,4,Unit group
4162,Economists and economic policy researchers and analysts,4,41,416,4162,4,Unit group
4163,Business development officers and marketing researchers and consultants,4,41,416,4163,4,Unit group
4164,"Social policy researchers, consultants and program officers",4,41,416,4164,4,Unit group
4165,"Health policy researchers, consultants and program officers",4,41,416,4165,4,Unit group
4166,"Education policy researchers, consultants and program officers",4,41,416,4166,4,Unit group
4167,"Recreation, sports and fitness policy researchers, consultants and program officers",4,41,416,4167,4,Unit group
4168,Program officers unique to government,4,41,416,4168,4,Unit group
4169,"Other professional occupations in social science, n.e.c.",4,41,416,4169,4,Unit group
42,"Paraprofessional occupations in legal, social, community and education services",4,42,NA,NA,2,Major group
421,"Paraprofessional occupations in legal, social, community and education services",4,42,421,NA,3,Minor group
4211,Paralegal and related occupations,4,42,421,4211,4,Unit group
4212,Social and community service workers,4,42,421,4212,4,Unit group
4214,Early childhood educators and assistants,4,42,421,4214,4,Unit group
4215,Instructors of persons with disabilities,4,42,421,4215,4,Unit group
4216,Other instructors,4,42,421,4216,4,Unit group
4217,Other religious occupations,4,42,421,4217,4,Unit group
43,Occupations in front-line public protection services,4,43,NA,NA,2,Major group
431,Occupations in front-line public protection services,4,43,431,NA,3,Minor group
4311,Police officers (except commissioned),4,43,431,4311,4,Unit group
4312,Firefighters,4,43,431,4312,4,Unit group
4313,Non-commissioned ranks of the Canadian Forces,4,43,431,4313,4,Unit group
44,"Care providers and educational, legal and public protection support occupations",4,44,NA,NA,2,Major group
441,Home care providers and educational support occupations,4,44,441,NA,3,Minor group
4411,Home child care providers,4,44,441,4411,4,Unit group
4412,"Home support workers, housekeepers and related occupations",4,44,441,4412,4,Unit group
4413,Elementary and secondary school teacher assistants,4,44,441,4413,4,Unit group
442,Legal and public protection support occupations,4,44,442,NA,3,Minor group
4421,Sheriffs and bailiffs,4,44,442,4421,4,Unit group
4422,Correctional service officers,4,44,442,4422,4,Unit group
4423,"By-law enforcement and other regulatory officers, n.e.c.",4,44,442,4423,4,Unit group
5,"Occupations in art, culture, recreation and sport",5,NA,NA,NA,1,Broad occupational category
51,Professional occupations in art and culture,5,51,NA,NA,2,Major group
511,"Librarians, archivists, conservators and curators",5,51,511,NA,3,Minor group
5111,Librarians,5,51,511,5111,4,Unit group
5112,Conservators and curators,5,51,511,5112,4,Unit group
5113,Archivists,5,51,511,5113,4,Unit group
512,"Writing, translating and related communications professionals",5,51,512,NA,3,Minor group
5121,Authors and writers,5,51,512,5121,4,Unit group
5122,Editors,5,51,512,5122,4,Unit group
5123,Journalists,5,51,512,5123,4,Unit group
5125,"Translators, terminologists and interpreters",5,51,512,5125,4,Unit group
513,Creative and performing artists,5,51,513,NA,3,Minor group
5131,"Producers, directors, choreographers and related occupations",5,51,513,5131,4,Unit group
5132,"Conductors, composers and arrangers",5,51,513,5132,4,Unit group
5133,Musicians and singers,5,51,513,5133,4,Unit group
5134,Dancers,5,51,513,5134,4,Unit group
5135,Actors and comedians,5,51,513,5135,4,Unit group
5136,"Painters, sculptors and other visual artists",5,51,513,5136,4,Unit group
52,"Technical occupations in art, culture, recreation and sport",5,52,NA,NA,2,Major group
521,"Technical occupations in libraries, public archives, museums and art galleries",5,52,521,NA,3,Minor group
5211,Library and public archive technicians,5,52,521,5211,4,Unit group
5212,Technical occupations related to museums and art galleries,5,52,521,5212,4,Unit group
522,"Photographers, graphic arts technicians and technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5,52,522,NA,3,Minor group
5221,Photographers,5,52,522,5221,4,Unit group
5222,Film and video camera operators,5,52,522,5222,4,Unit group
5223,Graphic arts technicians,5,52,522,5223,4,Unit group
5224,Broadcast technicians,5,52,522,5224,4,Unit group
5225,Audio and video recording technicians,5,52,522,5225,4,Unit group
5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts",5,52,522,5226,4,Unit group
5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts",5,52,522,5227,4,Unit group
523,"Announcers and other performers, n.e.c.",5,52,523,NA,3,Minor group
5231,Announcers and other broadcasters,5,52,523,5231,4,Unit group
5232,"Other performers, n.e.c.",5,52,523,5232,4,Unit group
524,Creative designers and craftspersons,5,52,524,NA,3,Minor group
5241,Graphic designers and illustrators,5,52,524,5241,4,Unit group
5242,Interior designers and interior decorators,5,52,524,5242,4,Unit group
5243,"Theatre, fashion, exhibit and other creative designers",5,52,524,5243,4,Unit group
5244,Artisans and craftspersons,5,52,524,5244,4,Unit group
5245,"Patternmakers - textile, leather and fur products",5,52,524,5245,4,Unit group
525,"Athletes, coaches, referees and related occupations",5,52,525,NA,3,Minor group
5251,Athletes,5,52,525,5251,4,Unit group
5252,Coaches,5,52,525,5252,4,Unit group
5253,Sports officials and referees,5,52,525,5253,4,Unit group
5254,"Program leaders and instructors in recreation, sport and fitness",5,52,525,5254,4,Unit group
6,Sales and service occupations,6,NA,NA,NA,1,Broad occupational category
62,Retail sales supervisors and specialized sales occupations,6,62,NA,NA,2,Major group
621,Retail sales supervisors,6,62,621,NA,3,Minor group
6211,Retail sales supervisors,6,62,621,6211,4,Unit group
622,Technical sales specialists in wholesale trade and retail and wholesale buyers,6,62,622,NA,3,Minor group
6221,Technical sales specialists - wholesale trade,6,62,622,6221,4,Unit group
6222,Retail and wholesale buyers,6,62,622,6222,4,Unit group
623,"Insurance, real estate and financial sales occupations",6,62,623,NA,3,Minor group
6231,Insurance agents and brokers,6,62,623,6231,4,Unit group
6232,Real estate agents and salespersons,6,62,623,6232,4,Unit group
6235,Financial sales representatives,6,62,623,6235,4,Unit group
63,Service supervisors and specialized service occupations,6,63,NA,NA,2,Major group
631,Service supervisors,6,63,631,NA,3,Minor group
6311,Food service supervisors,6,63,631,6311,4,Unit group
6312,Executive housekeepers,6,63,631,6312,4,Unit group
6313,"Accommodation, travel, tourism and related services supervisors",6,63,631,6313,4,Unit group
6314,Customer and information services supervisors,6,63,631,6314,4,Unit group
6315,Cleaning supervisors,6,63,631,6315,4,Unit group
6316,Other services supervisors,6,63,631,6316,4,Unit group
632,Chefs and cooks,6,63,632,NA,3,Minor group
6321,Chefs,6,63,632,6321,4,Unit group
6322,Cooks,6,63,632,6322,4,Unit group
633,Butchers and bakers,6,63,633,NA,3,Minor group
6331,"Butchers, meat cutters and fishmongers - retail and wholesale",6,63,633,6331,4,Unit group
6332,Bakers,6,63,633,6332,4,Unit group
634,Specialized occupations in personal and customer services,6,63,634,NA,3,Minor group
6341,Hairstylists and barbers,6,63,634,6341,4,Unit group
6342,"Tailors, dressmakers, furriers and milliners",6,63,634,6342,4,Unit group
6343,Shoe repairers and shoemakers,6,63,634,6343,4,Unit group
6344,"Jewellers, jewellery and watch repairers and related occupations",6,63,634,6344,4,Unit group
6345,Upholsterers,6,63,634,6345,4,Unit group
6346,Funeral directors and embalmers,6,63,634,6346,4,Unit group
64,Sales representatives and salespersons - wholesale and retail trade,6,64,NA,NA,2,Major group
641,Sales and account representatives - wholesale trade (non-technical),6,64,641,NA,3,Minor group
6411,Sales and account representatives - wholesale trade (non-technical),6,64,641,6411,4,Unit group
642,Retail salespersons,6,64,642,NA,3,Minor group
6421,Retail salespersons,6,64,642,6421,4,Unit group
65,Service representatives and other customer and personal services occupations,6,65,NA,NA,2,Major group
651,Occupations in food and beverage service,6,65,651,NA,3,Minor group
6511,Maîtres d'hôtel and hosts/hostesses,6,65,651,6511,4,Unit group
6512,Bartenders,6,65,651,6512,4,Unit group
6513,Food and beverage servers,6,65,651,6513,4,Unit group
652,Occupations in travel and accommodation,6,65,652,NA,3,Minor group
6521,Travel counsellors,6,65,652,6521,4,Unit group
6522,Pursers and flight attendants,6,65,652,6522,4,Unit group
6523,Airline ticket and service agents,6,65,652,6523,4,Unit group
6524,"Ground and water transport ticket agents, cargo service representatives and related clerks",6,65,652,6524,4,Unit group
6525,Hotel front desk clerks,6,65,652,6525,4,Unit group
653,Tourism and amusement services occupations,6,65,653,NA,3,Minor group
6531,Tour and travel guides,6,65,653,6531,4,Unit group
6532,Outdoor sport and recreational guides,6,65,653,6532,4,Unit group
6533,Casino occupations,6,65,653,6533,4,Unit group
654,Security guards and related security service occupations,6,65,654,NA,3,Minor group
6541,Security guards and related security service occupations,6,65,654,6541,4,Unit group
655,Customer and information services representatives,6,65,655,NA,3,Minor group
6551,Customer services representatives - financial institutions,6,65,655,6551,4,Unit group
6552,Other customer and information services representatives,6,65,655,6552,4,Unit group
656,Other occupations in personal service,6,65,656,NA,3,Minor group
6561,"Image, social and other personal consultants",6,65,656,6561,4,Unit group
6562,"Estheticians, electrologists and related occupations",6,65,656,6562,4,Unit group
