occ1980,occ1980_title,soc1980,soc1980_title
003,LEGISLATORS,111,LEGISLATORS
004,"CHIEF EXECUTIVES AND GENERAL ADMINISTRATORS, PUBLIC ADMINISTRATION",112,CHIEF EXECUTIVES AND GENERAL ADMINISTRATORS
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",1132,HUMAN RESOURCES PROGRAM ADMINISTRATORS
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",1133,"NATURAL RESOURCES PROGRAM ADMINISTRATORS"
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",1134,"RURAL, URBAN, AND COMMUNITY DEVELOPMENT PROGRAM ADM"
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",1135,"PUBLIC FINANCE, TAXATION, AND OTHER MONETARY PROGRA"
005,"ADMINISTRATORS AND OFFICIALS, PUBLIC ADMINISTRATION",1139,"OFFICIALS AND ADMINISTRATORS, PUBLIC ADMINSTRATION,"
006,"ADMINISTRATORS, PROTECTIVE SERVICES",1131,"JUDICIAL, PUBLIC SAFETY AND CORRECTIONS ADMINISTRAT"
007,FINANCIAL MANAGERS,122,FINANCIAL MANAGERS
008,PERSONNEL AND LABOR RELATIONS MANAGERS,123,PERSONNEL AND LABOR RELATIONS MANAGERS
009,PURCHASING MANAGERS,124,PURCHASING MANAGERS
013,"MANAGERS, MARKETING, ADVERTISING, AND PUBLIC RELATIONS",125,"MANAGERS; MARKETING, ADVERTISING, AND PUBLIC RELATI"
014,"ADMINISTRATORS, EDUCATION AND RELATED FIELDS",1281,ADMINISTRATORS; COLLEGES AND UNIVERSITIES
014,"ADMINISTRATORS, EDUCATION AND RELATED FIELDS",1282,ADMINISTRATORS; ELEMENTARY AND SECONDARY EDUCATION
014,"ADMINISTRATORS, EDUCATION AND RELATED FIELDS",1283,"ADMINISTRATORS; EDUCATION AND RELATED FIELDS, NOT E"
015,"MANAGERS, MEDICINE AND HEALTH",131,MANAGERS; MEDICINE AND HEALTH
016,"MANAGERS, PROPERTIES AND REAL ESTATE",1353,MANAGERS; PROPERTY AND LEASING
017,POSTMASTERS AND MAIL SUPERINTENDENTS,1344,POSTMASTERS AND MAIL SUPERINTENDENTS
018,FUNERAL DIRECTORS,1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLAS"
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",121,GENERAL MANAGERS AND OTHER TOP EXECUTIVES
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",126,"MANAGERS; ENGINEERING, MATHEMATICS, AND NATURAL SCI"
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",127,MANAGERS; SOCIAL SCIENCES AND RELATED FIELDS
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",132,"PRODUCTION MANAGERS, INDUSTRIAL"
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",133,CONSTRUCTION MANAGERS
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",1341,COMMUNICATIONS OPERATIONS MANAGERS
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",1342,TRANSPORTATION FACILITIES AND OPERATIONS MANAGERS
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",1343,"ELECTRICITY, GAS, WATER SUPPLY, AND SANITARY SERVIC"
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",1351,MANAGERS; FOOD SERVING AND LODGING ESTABLISHMENTS
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",1352,MANAGERS; ENTERTAINMENT AND RECREATION FACILITIES
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",1354,MANAGERS; MEMBERSHIP ORGANIZATIONS
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",1359,"MANAGERS; SERVICE ORGANIZATIONS, NOT ELSEWHERE CLAS"
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",136,"MANAGERS; MINING, QUARRYING, WELL DRILLING, AND SIM"
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",137,MANAGERS; ADMINISTRATIVE SERVICES
019,"MANAGERS AND ADMINISTRATORS, N.E.C., SALARIED & SELF-EMPLOYED",139,"OFFICIALS AND ADMINISTRATORS; OTHER, NOT ELSEWHERE"
023,ACCOUNTANTS AND AUDITORS,1412,ACCOUNTANTS AND AUDITORS
024,UNDERWRITERS,1414,UNDERWRITERS
025,OTHER FINANCIAL OFFICERS,1415,LOAN OFFICERS
025,OTHER FINANCIAL OFFICERS,1419,OTHER FINANCIAL OFFICERS
026,MANAGEMENT ANALYSTS,142,MANAGEMENT ANALYSTS
027,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALISTS",143,"PERSONNEL, TRAINING, AND LABOR RELATIONS SPECIALIST"
028,"PURCHASING AGENTS AND BUYERS, FARM PRODUCTS",1443,"PURCHASING AGENTS AND BUYERS, FARM PRODUCTS"
029,"BUYERS, WHOLESALE AND RETAIL TRADE EXCEPT FARM PRODUCTS",1442,"BUYERS, WHOLESALE AND RETAIL TRADE, EXCEPT FARM PRO"
033,"PURCHASING AGENTS AND BUYERS, N.E.C.",1449,"PURCHASING AGENTS AND BUYERS, NOT ELSEWHERE CLASSIF"
034,BUSINESS AND PROMOTION AGENTS,145,BUSINESS AND PROMOTION AGENTS
035,CONSTRUCTION INSPECTORS,1472,CONSTRUCTION INSPECTORS
