occ1980,occ1980_title,soc1980,soc1980_title
036,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRUCTION",1473,"INSPECTORS AND COMPLIANCE OFFICERS, EXCEPT CONSTRUC"
037,"MANAGEMENT RELATED OCCUPATIONS, N.E.C.",149,"MANAGEMENT RELATED OCCUPATIONS, NEC"
043,ARCHITECTS,161,ARCHITECTS
044,AEROSPACE ENGINEERS,1622,AEROSPACE ENGINEERS
045,METALLURGICAL AND MATERIALS ENGINEERS,1623,METALLURGICAL AND MATERIALS ENGINEERS
046,MINING ENGINEERS,1624,MINING ENGINEERS
047,PETROLEUM ENGINEERS,1625,PETROLEUM ENGINEERS
048,CHEMICAL ENGINEERS,1626,CHEMICAL ENGINEERS
049,NUCLEAR ENGINEERS,1627,NUCLEAR ENGINEERS
053,CIVIL ENGINEERS,1628,CIVIL ENGINEERS
054,AGRICULTURAL ENGINEERS,1632,AGRICULTURAL ENGINEERS
055,ELECTRICAL AND ELECTRONIC ENGINEERS,1633,ELECTRICAL AND ELECTRONIC ENGINEERS
055,ELECTRICAL AND ELECTRONIC ENGINEERS,1636,COMPUTER ENGINEERS
056,INDUSTRIAL ENGINEERS,1634,INDUSTRIAL ENGINEERS
057,MECHANICAL ENGINEERS,1635,MECHANICAL ENGINEERS
058,MARINE AND NAVAL ARCHITECTS,1637,MARINE ENGINEERS AND NAVAL ARCHITECTS
059,"ENGINEERS, N.E.C.",1639,"ENGINEERS, NOT ELSEWHERE CLASSIFIED"
063,SURVEYORS AND MAPPING SCIENTISTS,1643,LAND SURVEYORS
063,SURVEYORS AND MAPPING SCIENTISTS,1644,CARTOGRAPHERS
063,SURVEYORS AND MAPPING SCIENTISTS,1649,"SURVEYORS AND MAPPING SCIENTISTS, NOT ELSEWHERE CLA"
064,COMPUTER SYSTEMS ANALYSTS AND SCIENTISTS,1712,COMPUTER SYSTEMS ANALYSTS
064,COMPUTER SYSTEMS ANALYSTS AND SCIENTISTS,1719,"COMPUTER SCIENTISTS, NOT ELSEWHERE CLASSIFIED"
065,OPERATIONS AND SYSTEMS RESEARCHERS AND ANALYSTS,1721,OPERATIONS RESEARCHERS AND ANALYSTS
065,OPERATIONS AND SYSTEMS RESEARCHERS AND ANALYSTS,1722,"Systems Researchers and Analysts, Except Comp"
066,ACTUARIES,1732,ACTUARIES
067,STATISTICIANS,1733,STATISTICIANS
068,"MATHEMATICAL SCIENTISTS, N.E.C.",1739,"MATHEMATICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED"
069,PHYSICISTS AND ASTRONOMERS,1842,ASTRONOMERS
069,PHYSICISTS AND ASTRONOMERS,1843,PHYSICISTS
073,"CHEMISTS, EXCEPT BIOCHEMISTS",1845,"CHEMISTS, EXCEPT BIOCHEMISTS"
074,ATMOSPHERIC AND SPACE SCIENTISTS,1846,ATMOSPHERIC AND SPACE SCIENTISTS
075,GEOLOGISTS AND GEODESISTS,1847,GEOLOGISTS
076,"PHYSICAL SCIENTISTS, N.E.C.",1849,"PHYSICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED"
077,AGRICULTURAL AND FOOD SCIENTISTS,1853,AGRICULTURAL AND FOOD SCIENTISTS
078,BIOLOGICAL AND LIFE SCIENTISTS,1854,BIOLOGICAL SCIENTISTS
079,FORESTRY AND CONSERVATION SCIENTISTS,1852,FORESTRY AND CONSERVATION SCIENTISTS
083,MEDICAL SCIENTISTS,1855,MEDICAL SCIENTISTS
084,PHYSICIANS,261,PHYSICIANS
085,DENTISTS,262,DENTISTS
086,VETERINARIANS,27,VETERINARIANS
087,OPTOMETRISTS,281,OPTOMETRISTS
088,PODIATRISTS,283,PODIATRISTS
089,"HEALTH DIAGNOSING PRACTITIONERS, N.E.C.",289,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, NOT E"
095,REGISTERED NURSES,29,REGISTERED NURSES
096,PHARMACISTS,301,PHARMACISTS
097,DIETITIANS,302,DIETITIANS
098,INHALATION THERAPISTS,3031,RESPIRATORY THERAPISTS
099,OCCUPATIONAL THERAPISTS,3032,OCCUPATIONAL THERAPISTS
103,PHYSICAL THERAPISTS,3033,PHYSICAL THERAPISTS
104,SPEECH THERAPISTS,3034,SPEECH PATHOLOGISTS AND AUDIOLOGISTS
105,"THERAPISTS, N.E.C.",3039,"THERAPISTS, NOT ELSEWHERE CLASSIFIED"
106,PHYSICIANS ASSISTANTS,304,PHYSICIAN'S ASSISTANTS
113,"EARTH, ENVIRONMENTAL, AND MARINE SCIENCE TEACHERS",2212,"Atmospheric, Earth, Marine, and Space Science"
114,BIOLOGICAL SCIENCE TEACHERS,2213,Biological Sciences Teachers
115,CHEMISTRY TEACHERS,2214,Chemistry Teachers
116,PHYSICS TEACHERS,2215,Physics Teachers
117,"NATURAL SCIENCE TEACHERS, N.E.C.",2216,"NATURAL SCIENCE TEACHERS,NOT ELSEWHERE CLASSIFIED"
118,PSYCHOLOGY TEACHERS,2217,Psychology Teachers
119,ECONOMICS TEACHERS,2218,Economics Teachers
123,HISTORY TEACHERS,2222,History Teachers
124,POLITICAL SCIENCE TEACHERS,2223,Political Science Teachers
125,SOCIOLOGY TEACHERS,2224,Sociology Teachers
126,"SOCIAL SCIENCE TEACHERS, N.E.C.",2225,"Social Sciences Teachers, Not Elsewhere Class"
127,ENGINEERING TEACHERS,2226,Engineering Teachers
128,MATHEMATICAL SCIENCE TEACHERS,2227,Mathematical Sciences Teachers
129,COMPUTER SCIENCE TEACHERS,2228,Computer Science Teachers
133,MEDICAL SCIENCE TEACHERS,2231,Medical Science Teachers
134,HEALTH SPECIALTIES TEACHERS,2232,"HEALTH SPECIALTIES TEACHERS, NOT ELSEWHERE CLASSIFI"
135,"BUSINESS, COMMERCE, AND MARKETING TEACHERS",2233,"BUSINESS, COMMERCE AND MARKETING TEACHERS"
136,AGRICULTURE AND FORESTRY TEACHERS,2234,Agriculture Teachers
137,"ART, DRAMA, AND MUSIC TEACHERS",2235,"Art, Drama, and Music Teachers"
138,PHYSICAL EDUCATION TEACHERS,2236,Physical Education Teachers
139,EDUCATION TEACHERS,2237,Education Teachers
143,ENGLISH TEACHERS,2238,English Teachers
144,FOREIGN LANGUAGE TEACHERS,2242,Foreign Language Teachers
145,LAW TEACHERS,2243,Law Teachers
146,SOCIAL WORK TEACHERS,2244,Social Work Teachers
147,THEOLOGY TEACHERS,2245,Theology Teachers
148,TRADE AND INDUSTRIAL TEACHERS,2246,Trade and Industrial Teachers
149,HOME ECONOMICS TEACHERS,2247,Home Economics Teachers
153,"TEACHERS, POSTSECONDARY, N.E.C.",2249,"TEACHERS; POSTSECONDARY, NOT ELSEWHERE CLASSIFIED"
155,"TEACHERS, PREKINDERGARTEN AND KINDERGARTEN",231,PREKINDERGARTEN AND KINDERGARTEN TEACHERS
156,"TEACHERS, ELEMENTARY SCHOOL",232,ELEMENTARY SCHOOL TEACHERS
157,"TEACHERS, SECONDARY SCHOOL",233,SECONDARY SCHOOL TEACHERS
158,"TEACHERS, SPECIAL EDUCATION",235,TEACHERS; SPECIAL EDUCATION
159,"TEACHERS, N.E.C.",236,INSTRUCTIONAL COORDINATORS
159,"TEACHERS, N.E.C.",239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE C"
163,"COUNSELORS, EDUCATIONAL AND VOCATIONAL",24,VOCATIONAL AND EDUCATIONAL COUNSELORS
164,LIBRARIANS,251,LIBRARIANS
165,ARCHIVISTS AND CURATORS,252,ARCHIVISTS AND CURATORS
166,ECONOMISTS,1912,ECONOMISTS
167,PSYCHOLOGISTS,1915,PSYCHOLOGISTS
168,SOCIOLOGISTS,1916,SOCIOLOGISTS
169,"SOCIAL SCIENTISTS, N.E.C.",1913,HISTORIANS
169,"SOCIAL SCIENTISTS, N.E.C.",1914,POLITICAL SCIENTISTS
169,"SOCIAL SCIENTISTS, N.E.C.",1919,"SOCIAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED"
173,URBAN PLANNERS,192,URBAN AND REGIONAL PLANNERS
174,SOCIAL WORKERS,2032,SOCIAL WORKERS
175,RECREATION WORKERS,2033,RECREATION WORKERS
176,CLERGY,2042,CLERGY
177,"RELIGIOUS WORKERS, N.E.C.",2049,"RELIGIOUS WORKERS, NOT ELSEWHERE CLASSIFIED"
178,LAWYERS,211,LAWYERS
179,JUDGES,212,JUDGES
183,AUTHORS,321,AUTHORS
184,TECHNICAL WRITERS,398,TECHNICAL WRITERS
185,DESIGNERS,322,DESIGNERS
186,MUSICIANS AND COMPOSERS,323,MUSICIANS AND COMPOSERS
187,ACTORS AND DIRECTORS,324,ACTORS AND DIRECTORS
188,"PAINTERS, SCULPTORS, CRAFT-ARTISTS, AND ARTIST PRINTMAKERS",325,"PAINTERS, SCULPTORS, CRAFT-ARTISTS AND ARTIST-PRINT"
189,PHOTOGRAPHERS,326,PHOTOGRAPHERS
193,DANCERS,327,DANCERS
194,"ARTISTS, PERFORMERS, AND RELATED WORKERS, N.E.C.",328,"PERFORMERS, NOT ELSEWHERE CLASSIFIED"
194,"ARTISTS, PERFORMERS, AND RELATED WORKERS, N.E.C.",329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHER"
195,EDITORS AND REPORTERS,3312,EDITORS
195,EDITORS AND REPORTERS,3313,REPORTERS
197,PUBLIC RELATIONS SPECIALISTS,332,PUBLIC RELATIONS SPECIALISTS AND PUBLICITY WRITERS
198,ANNOUNCERS,333,"RADIO, TELEVISION AND OTHER ANNOUNCERS"
199,ATHLETES,34,ATHLETES AND RELATED WORKERS
203,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,362,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS
204,DENTAL HYGIENISTS,363,DENTAL HYGIENISTS
205,HEALTH RECORD TECHNOLOGISTS AND TECHNICIANS,364,HEALTH RECORD TECHNOLOGISTS AND TECHNICIANS
206,RADIOLOGIC TECHNICIANS,365,RADIOLOGIC TECHNOLOGISTS AND TECHNCIANS
207,LICENSED PRACTICAL NURSES,366,LICENSED PRACTICAL NURSES
208,"HEALTH TECHNOLOGISTS AND TECHNICIANS, N.E.C.",369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHERE"
213,ELECTRICAL AND ELECTRONIC TECHNICIANS,3711,ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGISTS
214,INDUSTRIAL ENGINEERING TECHNICIANS,3712,INDUSTRIAL ENGINEERING TECHNOLOGISTS AND TECHNICIAN
215,MECHANICAL ENGINEERING TECHNICIANS,3713,MECHANICAL ENGINEERING TECHNOLOGISTS AND TECHNICIAN
216,"ENGINEERING TECHNICIANS, N.E.C.",3719,"ENGINEERING TECHNOLOGISTS AND TECHNICIANS, NEC"
217,DRAFTING OCCUPATIONS,372,DRAFTING OCCUPATIONS
218,SURVEYING AND MAPPING TECHNICIANS,3733,SURVEYING TECHNICIANS
218,SURVEYING AND MAPPING TECHNICIANS,3734,CARTOGRAPHIC TECHNICIANS
218,SURVEYING AND MAPPING TECHNICIANS,3739,"SURVEYING AND MAPPING TECHNICIANS, NOT ELSEWHERE CL"
223,BIOLOGICAL TECHNICIANS,382,"BIOLOGICAL TECHNOLOGISTS AND TECHNICIANS, EXCEPT HE"
224,CHEMICAL TECHNICIANS,3831,CHEMICAL TECHNOLOGISTS AND TECHNICIANS
225,"SCIENCE TECHNICIANS, N.E.C.",3832,NUCLEAR TECHNOLOGISTS AND TECHNICIANS
225,"SCIENCE TECHNICIANS, N.E.C.",3833,PETROLEUM TECHNOLOGISTS AND TECHNICIANS
225,"SCIENCE TECHNICIANS, N.E.C.",384,MATHEMATICAL TECHNICIANS
225,"SCIENCE TECHNICIANS, N.E.C.",389,"SCIENCE TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER"
226,AIRPLANE PILOTS AND NAVIGATORS,825,AIRPLANE PILOTS AND NAVIGATORS
227,AIR TRAFFIC CONTROLLERS,392,AIR TRAFFIC CONTROLLERS
228,BROADCAST EQUIPMENT OPERATORS,393,RADIO AND RELATED OPERATORS
229,COMPUTER PROGRAMMERS,3971,"PROGRAMERS, BUSINESS"
229,COMPUTER PROGRAMMERS,3972,"PROGRAMERS, SCIENTIFIC"
233,"TOOL PROGRAMMERS, NUMERICAL CONTROL",3974,"PROGRAMERS, NUMERICAL, TOOL AND PROCESS CONTROL"
234,LEGAL ASSISTANTS,396,LEGAL TECHNICIANS
235,"TECHNICIANS, N.E.C.",399,"TECHNICIANS, NOT ELSEWHERE CLASSIFIED"
243,"SUPERVISORS AND PROPRIETORS, SALES OCCUPATIONS,SALARIED&SELF-EMPLOYED",401,"SUPERVISORS; SALES OCCUPATIONS, INSURANCE, REAL EST"
243,"SUPERVISORS AND PROPRIETORS, SALES OCCUPATIONS,SALARIED&SELF-EMPLOYED",402,"SUPERVISORS; SALES OCCUPATIONS, COMMODITIES EXCEPT"
243,"SUPERVISORS AND PROPRIETORS, SALES OCCUPATIONS,SALARIED&SELF-EMPLOYED",403,"SUPERVISORS; SALES OCCUPATIONS, RETAIL"
253,INSURANCE SALES OCCUPATIONS,4122,INSURANCE SALES OCCUPATIONS
254,REAL ESTATE SALES OCCUPATIONS,4123,REAL ESTATE SALES OCCUPATIONS
255,SECURITIES AND FINANCIAL SERVICES SALES OCCUPATIONS,4124,SECURITIES AND FINANCIAL SERVICES SALES OCCUPATIONS
256,ADVERTISING AND RELATED SALES OCCUPATIONS,4153,ADVERTISING AND RELATED SALES OCCUPATIONS
257,"SALES OCCUPATIONS, OTHER BUSINESS  SERVICES",4152,"BUSINESS SERVICE, EXCEPT ADVERTISING, SALES OCCUPAT"
258,SALES ENGINEERS,421,SALES ENGINEERS
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4232,"TECHNICAL SALES WORKERS, AIRCRAFT"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4233,"TECHNICAL SALES WORKERS, AGRICULTURAL EQUIPMENT AND"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4234,"TECHNICAL SALES WORKERS, ELECTRONIC EQUIPMENT"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4235,"TECHNICAL SALES WORKERS, INDUSTRIAL MACHINERY, EQUI"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4236,"TECHNICAL SALES WORKERS, MEDICAL AND DENTAL EQUIPME"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4237,TECHNICAL SALES WORKERS; CHEMICALS AND CHEMICAL PRO
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4239,"TECHNICAL SALES WORKERS, NOT ELSEWHERE CLASSIFIED"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4242,"SALES REPRESENTATIVES, COMMERCIAL AND INDUSTRIAL EQ"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4243,"SALES REPRESENTATIVES, GARMENTS AND RELATED TEXTILE"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4244,"SALES REPRESENTATIVES, MOTOR VEHICLES AND SUPPLIES"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4245,"SALES REPRESENTATIVES; PULP, PAPER, AND PAPER PRODU"
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4246,SALES REPRESENTATIVES; FARM PRODUCTS AND LIVESTOCK
259,"SALES REPRESENTATIVES, MINING, MANUFACTURING, AND WHOLSALE",4249,SALES REPRESENTATIVES; NOT ELSEWHERE CLASSIFIED
263,"SALES WORKERS, MOTOR VEHICLES AND BOATS",4342,"SALESPERSONS; MOTOR VEHICLES, MOBILE HOMES, AND SUP"
263,"SALES WORKERS, MOTOR VEHICLES AND BOATS",4344,SALESPERSONS; BOATS AND MARINE EQUIPMENT AND SUPPLI
264,"SALES WORKERS, APPAREL",4346,SALESPERSONS; GARMENTS AND TEXTILE PRODUCTS
265,"SALES WORKERS, SHOES",4351,"SALESPERSONS, SHOES"
266,"SALES WORKERS, FURNITURE AND HOME FURNISHINGS",4348,SALESPERSONS; FURNITURE AND HOME FURNISHINGS
267,"SALES WORKERS, RADIO, TV, HI-FI, AND APPLIANCES",4343,SALESPERSONS; MUSICAL INSTRUMENTS AND SUPPLIES
267,"SALES WORKERS, RADIO, TV, HI-FI, AND APPLIANCES",4352,"SALESPERSONS; RADIO, TELEVISION, HIGH FIDELITY, AND"
268,"SALES WORKERS, HARDWARE AND BUILDING SUPPLIES",4353,SALESPERSONS; HARDWARE
269,"SALES WORKERS, PARTS",4367,SALESPERSONS; PARTS
274,"SALES WORKERS, OTHER COMMODITIES",4345,SALESPERSONS; SPORTING GOODS
274,"SALES WORKERS, OTHER COMMODITIES",4347,"SALESPERSONS; BOOKS, STAMPS, COINS, AND STATIONERY"
274,"SALES WORKERS, OTHER COMMODITIES",4354,"SALESPERSONS; COSMETICS, TOILETRIES, AND ALLIED PRO"
274,"SALES WORKERS, OTHER COMMODITIES",4356,SALESPERSONS; JEWELRY AND RELATED PRODUCTS
274,"SALES WORKERS, OTHER COMMODITIES",4359,SALESPERSONS; NOT ELSEWHERE CLASSIFIED
274,"SALES WORKERS, OTHER COMMODITIES",4362,SALES CLERKS
274,"SALES WORKERS, OTHER COMMODITIES",4369,"SALES OCCUPATIONS; SERVICES, NOT ELSEWHERE CLASSIFI"
275,SALES COUNTER CLERKS,4363,COUNTER CLERKS
276,CASHIERS,4364,CASHIERS
277,STREET AND DOOR-TO-DOOR SALES WORKERS,4366,"STREET VENDORS, DOOR-TO-DOOR SALES WORKERS, AND REL"
278,NEWS VENDORS,4365,NEWS VENDORS
283,"DEMONSTRATORS, PROMOTERS AND MODELS, SALES",445,"DEMONSTRATORS, PROMOTERS, AND MODELS"
284,AUCTIONEERS,447,AUCTIONEERS
285,"SALES SUPPORT OCCUPATIONS, N.E.C.",444,APPRAISERS AND RELATED OCCUPATIONS
285,"SALES SUPPORT OCCUPATIONS, N.E.C.",446,SHOPPERS
285,"SALES SUPPORT OCCUPATIONS, N.E.C.",449,"SALES OCCUPATIONS; OTHER, NOT ELSEWHERE CLASSIFIED"
303,"SUPERVISORS, GENERAL OFFICE",4511,SUPERVISORS; GENERAL OFFICE OCCUPATIONS
303,"SUPERVISORS, GENERAL OFFICE",4513,"SUPERVISORS; SECRETARIES, STENOGRAPHERS AND TYPISTS"
303,"SUPERVISORS, GENERAL OFFICE",4514,SUPERVISORS; INFORMATION CLERKS
303,"SUPERVISORS, GENERAL OFFICE",4516,SUPERVISORS; CORRESPONDENCE CLERKS AND ORDER CLERKS
303,"SUPERVISORS, GENERAL OFFICE",4519,SUPERVISORS; RECORD CLERKS
303,"SUPERVISORS, GENERAL OFFICE",4529,SUPERVISORS; MISCELLANEOUS ADMINISTRATIVE SUPPORT O
304,"SUPERVISORS, COMPUTER EQUIPMENT OPERATORS",4512,SUPERVISORS; COMPUTER AND PERIPHERAL EQUIPMENT OPER
305,"SUPERVISORS, FINANCIAL RECORDS PROCESSING",4521,SUPERVISORS; FINANCIAL RECORD PROCESSING OCCUPATION
306,CHIEF COMMUNICATIONS OPERATORS,4523,CHIEF COMMUNICATIONS OPERATORS
307,"SUPERVISORS, DISTRIBUTION, SCHEDULING AND ADJUSTING CLERKS",4522,"SUPERVISORS; DUPLICATING, MAIL AND OTHER OFFICE MAC"
307,"SUPERVISORS, DISTRIBUTION, SCHEDULING AND ADJUSTING CLERKS",4524,SUPERVISORS; MAIL AND MESSAGE DISTRIBUTION CLERKS
307,"SUPERVISORS, DISTRIBUTION, SCHEDULING AND ADJUSTING CLERKS",4525,"SUPERVISORS; MATERIAL RECORDING, SCHEDULING, AND DI"
307,"SUPERVISORS, DISTRIBUTION, SCHEDULING AND ADJUSTING CLERKS",4528,"SUPERVISORS; ADJUSTERS, INVESTIGATORS, AND COLLECTO"
308,COMPUTER OPERATORS,4612,COMPUTER OPERATORS
309,PERIPHERAL EQUIPMENT OPERATORS,4613,PERIPHERAL EQUIPMENT OPERATORS
313,SECRETARIES,4622,SECRETARIES
314,STENOGRAPHERS,4623,STENOGRAPHERS
315,TYPISTS,4624,TYPISTS
316,INTERVIEWERS,4642,INTERVIEWING CLERKS
317,HOTEL CLERKS,4643,HOTEL CLERKS
318,TRANSPORTATION TICKET AND RESERVATION AGENTS,4644,RESERVATION AGENTS AND TRANSPORTATION TICKET CLERKS
319,RECEPTIONISTS,4645,RECEPTIONISTS
323,"INFORMATION CLERKS, N.E.C.",4649,"INFORMATION CLERKS, NOT ELSEWHERE CLASSIFIED"
325,CLASSIFIED-AD CLERKS,4662,CLASSIFIED-AD CLERKS
326,CORRESPONDENCE CLERKS,4663,CORRESPONDENCE CLERKS
327,ORDER CLERKS,4664,ORDER CLERKS
328,"PERSONNEL CLERKS, EXCEPT PAYROLL AND TIMEKEEPING",4692,"PERSONNEL CLERKS, EXCEPT PAYROLL AND TIMEKEEPING"
329,LIBRARY CLERKS,4694,LIBRARY CLERKS
335,FILE CLERKS,4696,FILE CLERKS
336,RECORDS CLERKS,4699,"RECORD CLERKS, NEC"
337,"BOOKKEEPERS, ACCOUNTING AND AUDITING CLERKS",4712,BOOKKEEPING AND ACCOUNTING AND AUDITING CLERKS
338,PAYROLL AND TIMEKEEPING CLERKS,4713,PAYROLL AND TIMEKEEPING CLERKS
339,BILLING CLERKS,4715,BILLING CLERKS
343,COST AND RATE CLERKS,4716,COST AND RATE CLERKS
344,"BILLING, POSTING, AND CALCULATING MACHINE OPERATORS",4718,"BILLING, POSTING, AND CALCULATING MACHINE OPERATORS"
345,DUPLICATING MACHINE OPERATORS,4722,DUPLICATING MACHINE OPERATORS
