soc2010_code,soc2010_title,noc2011_code,noc2011_title
27-1023,Floral Designers,7205,"Contractors and supervisors, other construction trades, installers, repairers and servicers"
27-1023,Floral Designers,7384,"Other trades and related occupations, n.e.c."
27-1023,Floral Designers,7441,Residential and commercial installers and servicers
27-1023,Floral Designers,7445,Other repairers and servicers
27-1023,Floral Designers,9537,"Other products assemblers, finishers and inspectors"
27-1024,Graphic Designers,2175,Web designers and developers
27-1024,Graphic Designers,5223,Graphic arts technicians
27-1024,Graphic Designers,5241,Graphic designers and illustrators
27-1025,Interior Designers,5242,Interior designers and interior decorators
27-1026,Merchandise Displayers and Window Trimmers,5242,Interior designers and interior decorators
27-1027,Set and Exhibit Designers,5242,Interior designers and interior decorators
27-1029,"Designers, All Other",2252,Industrial designers
27-1029,"Designers, All Other",5243,"Theatre, fashion, exhibit and other creative designers"
27-2011,Actors,5135,Actors and comedians
27-2012,Producers and Directors,5131,"Producers, directors, choreographers and related occupations"
27-2021,Athletes and Sports Competitors,5251,Athletes
27-2022,Coaches and Scouts,5252,Coaches
27-2022,Coaches and Scouts,5253,Sports officials and referees
27-2022,Coaches and Scouts,5254,"Program leaders and instructors in recreation, sport and fitness"
27-2023,"Umpires, Referees, and Other Sports Officials",5252,Coaches
27-2023,"Umpires, Referees, and Other Sports Officials",5253,Sports officials and referees
27-2023,"Umpires, Referees, and Other Sports Officials",5254,"Program leaders and instructors in recreation, sport and fitness"
27-2031,Dancers,5131,"Producers, directors, choreographers and related occupations"
27-2031,Dancers,5134,Dancers
27-2031,Dancers,5232,"Other performers, n.e.c."
27-2032,Choreographers,5131,"Producers, directors, choreographers and related occupations"
27-2032,Choreographers,5134,Dancers
27-2032,Choreographers,5232,"Other performers, n.e.c."
27-2041,Music Directors and Composers,5132,"Conductors, composers and arrangers"
27-2041,Music Directors and Composers,5133,Musicians and singers
27-2042,Musicians and Singers,5132,"Conductors, composers and arrangers"
27-2042,Musicians and Singers,5133,Musicians and singers
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5135,Actors and comedians
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",5232,"Other performers, n.e.c."
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",6562,"Estheticians, electrologists and related occupations"
27-2099,"Entertainers and Performers, Sports and Related Workers, All Other",6564,Other personal service occupations
27-3011,Radio and Television Announcers,5231,Announcers and other broadcasters
27-3012,Public Address System and Other Announcers,5231,Announcers and other broadcasters
27-3021,Broadcast News Analysts,5231,Announcers and other broadcasters
27-3022,Reporters and Correspondents,5122,Editors
27-3022,Reporters and Correspondents,5123,Journalists
27-3022,Reporters and Correspondents,5131,"Producers, directors, choreographers and related occupations"
27-3031,Public Relations Specialists,1123,"Professional occupations in advertising, marketing and public relations"
27-3041,Editors,5121,Authors and writers
27-3041,Editors,5122,Editors
27-3041,Editors,5123,Journalists
27-3041,Editors,5131,"Producers, directors, choreographers and related occupations"
27-3042,Technical Writers,5121,Authors and writers
27-3042,Technical Writers,5122,Editors
27-3043,Writers and Authors,1123,"Professional occupations in advertising, marketing and public relations"
27-3043,Writers and Authors,4163,Business development officers and marketing researchers and consultants
27-3043,Writers and Authors,5121,Authors and writers
27-3043,Writers and Authors,5122,Editors
27-3091,Interpreters and Translators,4169,"Other professional occupations in social science, n.e.c."
27-3091,Interpreters and Translators,5121,Authors and writers
27-3091,Interpreters and Translators,5125,"Translators, terminologists and interpreters"
27-3099,"Media and Communication Workers, All Other",5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
27-3099,"Media and Communication Workers, All Other",5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-3099,"Media and Communication Workers, All Other",5232,"Other performers, n.e.c."
27-3099,"Media and Communication Workers, All Other",6562,"Estheticians, electrologists and related occupations"
27-4011,Audio and Video Equipment Technicians,5222,Film and video camera operators
27-4011,Audio and Video Equipment Technicians,5224,Broadcast technicians
27-4011,Audio and Video Equipment Technicians,5225,Audio and video recording technicians
27-4011,Audio and Video Equipment Technicians,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-4012,Broadcast Technicians,5222,Film and video camera operators
27-4012,Broadcast Technicians,5224,Broadcast technicians
27-4012,Broadcast Technicians,5225,Audio and video recording technicians
27-4012,Broadcast Technicians,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-4013,Radio Operators,5222,Film and video camera operators
27-4013,Radio Operators,5224,Broadcast technicians
27-4013,Radio Operators,5225,Audio and video recording technicians
27-4013,Radio Operators,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-4014,Sound Engineering Technicians,5222,Film and video camera operators
27-4014,Sound Engineering Technicians,5224,Broadcast technicians
27-4014,Sound Engineering Technicians,5225,Audio and video recording technicians
27-4014,Sound Engineering Technicians,5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-4021,Photographers,5221,Photographers
27-4031,"Camera Operators, Television, Video, and Motion Picture",5222,Film and video camera operators
27-4031,"Camera Operators, Television, Video, and Motion Picture",5224,Broadcast technicians
27-4031,"Camera Operators, Television, Video, and Motion Picture",5225,Audio and video recording technicians
27-4031,"Camera Operators, Television, Video, and Motion Picture",5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-4032,Film and Video Editors,5131,"Producers, directors, choreographers and related occupations"
27-4099,"Media and Communication Equipment Workers, All Other",5222,Film and video camera operators
27-4099,"Media and Communication Equipment Workers, All Other",5224,Broadcast technicians
27-4099,"Media and Communication Equipment Workers, All Other",5225,Audio and video recording technicians
27-4099,"Media and Communication Equipment Workers, All Other",5226,"Other technical and co-ordinating occupations in motion pictures, broadcasting and the performing arts"
27-4099,"Media and Communication Equipment Workers, All Other",5227,"Support occupations in motion pictures, broadcasting, photography and the performing arts"
27-4099,"Media and Communication Equipment Workers, All Other",5232,"Other performers, n.e.c."
27-4099,"Media and Communication Equipment Workers, All Other",6562,"Estheticians, electrologists and related occupations"
29-1011,Chiropractors,3125,Other professional occupations in health diagnosing and treating
29-1011,Chiropractors,3143,Occupational therapists
29-1011,Chiropractors,3144,Other professional occupations in therapy and assessment
29-1021,"Dentists, General",3113,Dentists
29-1022,Oral and Maxillofacial Surgeons,3113,Dentists
29-1023,Orthodontists,3113,Dentists
29-1024,Prosthodontists,3113,Dentists
29-1029,"Dentists, All Other Specialists",3113,Dentists
29-1031,Dietitians and Nutritionists,3132,Dietitians and nutritionists
29-1041,Optometrists,3121,Optometrists
29-1041,Optometrists,3125,Other professional occupations in health diagnosing and treating
29-1051,Pharmacists,3131,Pharmacists
29-1061,Anesthesiologists,3111,Specialist physicians
29-1062,Family and General Practitioners,3112,General practitioners and family physicians
29-1063,"Internists, General",3112,General practitioners and family physicians
29-1064,Obstetricians and Gynecologists,3111,Specialist physicians
29-1065,"Pediatricians, General",3112,General practitioners and family physicians
29-1066,Psychiatrists,3111,Specialist physicians
29-1067,Surgeons,3111,Specialist physicians
29-1069,"Physicians and Surgeons, All Other",3111,Specialist physicians
29-1069,"Physicians and Surgeons, All Other",3112,General practitioners and family physicians
29-1071,Physician Assistants,3124,Allied primary health practitioners
29-1081,Podiatrists,3125,Other professional occupations in health diagnosing and treating
29-1081,Podiatrists,3143,Occupational therapists
29-1081,Podiatrists,3144,Other professional occupations in therapy and assessment
29-1122,Occupational Therapists,3125,Other professional occupations in health diagnosing and treating
29-1122,Occupational Therapists,3143,Occupational therapists
29-1122,Occupational Therapists,3144,Other professional occupations in therapy and assessment
29-1123,Physical Therapists,3142,Physiotherapists
29-1124,Radiation Therapists,3215,Medical radiation technologists
29-1124,Radiation Therapists,3216,Medical sonographers
29-1124,Radiation Therapists,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-1125,Recreational Therapists,3125,Other professional occupations in health diagnosing and treating
29-1125,Recreational Therapists,3143,Occupational therapists
29-1125,Recreational Therapists,3144,Other professional occupations in therapy and assessment
29-1126,Respiratory Therapists,3122,Chiropractors
29-1126,Respiratory Therapists,3125,Other professional occupations in health diagnosing and treating
29-1126,Respiratory Therapists,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-1126,Respiratory Therapists,3219,Other medical technologists and technicians (except dental health)
29-1126,Respiratory Therapists,3237,Other technical occupations in therapy and assessment
29-1127,Speech-Language Pathologists,3141,Audiologists and speech-language pathologists
29-1128,Exercise Physiologists,3142,Physiotherapists
29-1129,"Therapists, All Other",3125,Other professional occupations in health diagnosing and treating
29-1129,"Therapists, All Other",3143,Occupational therapists
29-1129,"Therapists, All Other",3144,Other professional occupations in therapy and assessment
29-1131,Veterinarians,3114,Veterinarians
29-1141,Registered Nurses,3011,Nursing co-ordinators and supervisors
29-1141,Registered Nurses,3012,Registered nurses and registered psychiatric nurses
29-1141,Registered Nurses,3124,Allied primary health practitioners
29-1151,Nurse Anesthetists,3011,Nursing co-ordinators and supervisors
29-1151,Nurse Anesthetists,3012,Registered nurses and registered psychiatric nurses
29-1151,Nurse Anesthetists,3124,Allied primary health practitioners
29-1161,Nurse Midwives,3124,Allied primary health practitioners
29-1171,Nurse Practitioners,3011,Nursing co-ordinators and supervisors
29-1171,Nurse Practitioners,3012,Registered nurses and registered psychiatric nurses
29-1171,Nurse Practitioners,3124,Allied primary health practitioners
29-1181,Audiologists,3141,Audiologists and speech-language pathologists
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3125,Other professional occupations in health diagnosing and treating
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3143,Occupational therapists
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3144,Other professional occupations in therapy and assessment
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3232,Practitioners of natural healing
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3236,Massage therapists
29-1199,"Health Diagnosing and Treating Practitioners, All Other",3237,Other technical occupations in therapy and assessment
29-2011,Medical and Clinical Laboratory Technologists,3211,Medical laboratory technologists
29-2011,Medical and Clinical Laboratory Technologists,3212,Medical laboratory technicians and pathologists' assistants
29-2012,Medical and Clinical Laboratory Technicians,3211,Medical laboratory technologists
29-2012,Medical and Clinical Laboratory Technicians,3212,Medical laboratory technicians and pathologists' assistants
29-2021,Dental Hygienists,3222,Dental hygienists and dental therapists
29-2021,Dental Hygienists,3411,Dental assistants
29-2031,Cardiovascular Technologists and Technicians,3122,Chiropractors
29-2031,Cardiovascular Technologists and Technicians,3125,Other professional occupations in health diagnosing and treating
29-2031,Cardiovascular Technologists and Technicians,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2031,Cardiovascular Technologists and Technicians,3219,Other medical technologists and technicians (except dental health)
29-2031,Cardiovascular Technologists and Technicians,3237,Other technical occupations in therapy and assessment
29-2032,Diagnostic Medical Sonographers,3215,Medical radiation technologists
29-2032,Diagnostic Medical Sonographers,3216,Medical sonographers
29-2032,Diagnostic Medical Sonographers,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-2033,Nuclear Medicine Technologists,3215,Medical radiation technologists
29-2033,Nuclear Medicine Technologists,3216,Medical sonographers
29-2033,Nuclear Medicine Technologists,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-2034,Radiologic Technologists,3215,Medical radiation technologists
29-2034,Radiologic Technologists,3216,Medical sonographers
29-2034,Radiologic Technologists,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-2035,Magnetic Resonance Imaging Technologists,3215,Medical radiation technologists
29-2035,Magnetic Resonance Imaging Technologists,3216,Medical sonographers
29-2035,Magnetic Resonance Imaging Technologists,3217,"Cardiology technologists and electrophysiological diagnostic technologists, n.e.c."
29-2041,Emergency Medical Technicians and Paramedics,3234,Paramedical occupations
29-2051,Dietetic Technicians,3122,Chiropractors
29-2051,Dietetic Technicians,3125,Other professional occupations in health diagnosing and treating
29-2051,Dietetic Technicians,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2051,Dietetic Technicians,3219,Other medical technologists and technicians (except dental health)
29-2051,Dietetic Technicians,3237,Other technical occupations in therapy and assessment
29-2052,Pharmacy Technicians,3219,Other medical technologists and technicians (except dental health)
29-2053,Psychiatric Technicians,3122,Chiropractors
29-2053,Psychiatric Technicians,3125,Other professional occupations in health diagnosing and treating
29-2053,Psychiatric Technicians,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2053,Psychiatric Technicians,3219,Other medical technologists and technicians (except dental health)
29-2053,Psychiatric Technicians,3237,Other technical occupations in therapy and assessment
29-2054,Respiratory Therapy Technicians,3122,Chiropractors
29-2054,Respiratory Therapy Technicians,3125,Other professional occupations in health diagnosing and treating
29-2054,Respiratory Therapy Technicians,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2054,Respiratory Therapy Technicians,3219,Other medical technologists and technicians (except dental health)
29-2054,Respiratory Therapy Technicians,3237,Other technical occupations in therapy and assessment
29-2055,Surgical Technologists,3122,Chiropractors
29-2055,Surgical Technologists,3125,Other professional occupations in health diagnosing and treating
29-2055,Surgical Technologists,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2055,Surgical Technologists,3219,Other medical technologists and technicians (except dental health)
29-2055,Surgical Technologists,3237,Other technical occupations in therapy and assessment
29-2056,Veterinary Technologists and Technicians,3213,Animal health technologists and veterinary technicians
29-2057,Ophthalmic Medical Technicians,3237,Other technical occupations in therapy and assessment
29-2057,Ophthalmic Medical Technicians,3414,Other assisting occupations in support of health services
29-2061,Licensed Practical and Licensed Vocational Nurses,3233,Licensed practical nurses
29-2071,Medical Records and Health Information Technicians,1252,Health information management occupations
29-2071,Medical Records and Health Information Technicians,1411,General office support workers
29-2081,"Opticians, Dispensing",3231,Opticians
29-2091,Orthotists and Prosthetists,3219,Other medical technologists and technicians (except dental health)
29-2091,Orthotists and Prosthetists,3221,Denturists
29-2091,Orthotists and Prosthetists,3223,"Dental technologists, technicians and laboratory assistants"
29-2091,Orthotists and Prosthetists,3237,Other technical occupations in therapy and assessment
29-2092,Hearing Aid Specialists,3219,Other medical technologists and technicians (except dental health)
29-2092,Hearing Aid Specialists,3221,Denturists
29-2092,Hearing Aid Specialists,3223,"Dental technologists, technicians and laboratory assistants"
29-2092,Hearing Aid Specialists,3237,Other technical occupations in therapy and assessment
29-2099,"Health Technologists and Technicians, All Other",3122,Chiropractors
29-2099,"Health Technologists and Technicians, All Other",3125,Other professional occupations in health diagnosing and treating
29-2099,"Health Technologists and Technicians, All Other",3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-2099,"Health Technologists and Technicians, All Other",3219,Other medical technologists and technicians (except dental health)
29-2099,"Health Technologists and Technicians, All Other",3237,Other technical occupations in therapy and assessment
29-9011,Occupational Health and Safety Specialists,4161,"Natural and applied science policy researchers, consultants and program officers"
29-9012,Occupational Health and Safety Technicians,2263,Inspectors in public and environmental health and occupational health and safety
29-9091,Athletic Trainers,5254,"Program leaders and instructors in recreation, sport and fitness"
29-9092,Genetic Counselors,3125,Other professional occupations in health diagnosing and treating
29-9092,Genetic Counselors,3143,Occupational therapists
29-9092,Genetic Counselors,3144,Other professional occupations in therapy and assessment
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3122,Chiropractors
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3125,Other professional occupations in health diagnosing and treating
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3219,Other medical technologists and technicians (except dental health)
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3232,Practitioners of natural healing
29-9099,"Healthcare Practitioners and Technical Workers, All Other",3237,Other technical occupations in therapy and assessment
29-9099,"Healthcare Practitioners and Technical Workers, All Other",9999,NA
31-1011,Home Health Aides,4412,"Home support workers, housekeepers and related occupations"
31-1013,Psychiatric Aides,3413,"Nurse aides, orderlies and patient service associates"
31-1014,Nursing Assistants,3413,"Nurse aides, orderlies and patient service associates"
31-1015,Orderlies,3212,Medical laboratory technicians and pathologists' assistants
31-1015,Orderlies,3411,Dental assistants
31-1015,Orderlies,3414,Other assisting occupations in support of health services
31-2011,Occupational Therapy Assistants,3122,Chiropractors
31-2011,Occupational Therapy Assistants,3125,Other professional occupations in health diagnosing and treating
31-2011,Occupational Therapy Assistants,3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
31-2011,Occupational Therapy Assistants,3219,Other medical technologists and technicians (except dental health)
31-2011,Occupational Therapy Assistants,3237,Other technical occupations in therapy and assessment
31-2012,Occupational Therapy Aides,3212,Medical laboratory technicians and pathologists' assistants
31-2012,Occupational Therapy Aides,3411,Dental assistants
31-2012,Occupational Therapy Aides,3414,Other assisting occupations in support of health services
31-2021,Physical Therapist Assistants,3232,Practitioners of natural healing
31-2021,Physical Therapist Assistants,3236,Massage therapists
31-2021,Physical Therapist Assistants,3237,Other technical occupations in therapy and assessment
31-2022,Physical Therapist Aides,3212,Medical laboratory technicians and pathologists' assistants
31-2022,Physical Therapist Aides,3411,Dental assistants
31-2022,Physical Therapist Aides,3414,Other assisting occupations in support of health services
31-9011,Massage Therapists,3232,Practitioners of natural healing
31-9011,Massage Therapists,3236,Massage therapists
31-9011,Massage Therapists,3237,Other technical occupations in therapy and assessment
31-9091,Dental Assistants,3212,Medical laboratory technicians and pathologists' assistants
31-9091,Dental Assistants,3222,Dental hygienists and dental therapists
31-9091,Dental Assistants,3411,Dental assistants
31-9091,Dental Assistants,3414,Other assisting occupations in support of health services
31-9092,Medical Assistants,3237,Other technical occupations in therapy and assessment
31-9092,Medical Assistants,3414,Other assisting occupations in support of health services
31-9093,Medical Equipment Preparers,3212,Medical laboratory technicians and pathologists' assistants
31-9093,Medical Equipment Preparers,3411,Dental assistants
31-9093,Medical Equipment Preparers,3414,Other assisting occupations in support of health services
31-9094,Medical Transcriptionists,1243,Medical administrative assistants
31-9094,Medical Transcriptionists,1251,"Court reporters, medical transcriptionists and related occupations"
31-9095,Pharmacy Aides,3212,Medical laboratory technicians and pathologists' assistants
31-9095,Pharmacy Aides,3411,Dental assistants
31-9095,Pharmacy Aides,3414,Other assisting occupations in support of health services
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,3213,Animal health technologists and veterinary technicians
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,6563,Pet groomers and animal care workers
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,8252,"Agricultural service contractors, farm supervisors and specialized livestock workers"
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,8431,General farm workers
31-9097,Phlebotomists,3212,Medical laboratory technicians and pathologists' assistants
31-9097,Phlebotomists,3411,Dental assistants
31-9097,Phlebotomists,3414,Other assisting occupations in support of health services
31-9099,"Healthcare Support Workers, All Other",3122,Chiropractors
31-9099,"Healthcare Support Workers, All Other",3125,Other professional occupations in health diagnosing and treating
31-9099,"Healthcare Support Workers, All Other",3212,Medical laboratory technicians and pathologists' assistants
31-9099,"Healthcare Support Workers, All Other",3214,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists"
31-9099,"Healthcare Support Workers, All Other",3219,Other medical technologists and technicians (except dental health)
31-9099,"Healthcare Support Workers, All Other",3237,Other technical occupations in therapy and assessment
31-9099,"Healthcare Support Workers, All Other",3411,Dental assistants
31-9099,"Healthcare Support Workers, All Other",3414,Other assisting occupations in support of health services
33-1011,First-Line Supervisors of Correctional Officers,4422,Correctional service officers
33-1012,First-Line Supervisors of Police and Detectives,0431,Commissioned police officers
33-1012,First-Line Supervisors of Police and Detectives,1228,"Employment insurance, immigration, border services and revenue officers"
33-1012,First-Line Supervisors of Police and Detectives,4311,Police officers (except commissioned)
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2211,Chemical technologists and technicians
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2231,Civil engineering technologists and technicians
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2232,Mechanical engineering technologists and technicians
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2233,Industrial engineering and manufacturing technologists and technicians
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2234,Construction estimators
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2251,Architectural technologists and technicians
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2254,Land survey technologists and technicians
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2261,Non-destructive testers and inspection technicians
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2262,Engineering inspectors and regulatory officers
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,2264,Construction inspectors
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,4312,Firefighters
33-1021,First-Line Supervisors of Fire Fighting and Prevention Workers,8422,Silviculture and forestry workers
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",2224,Conservation and fishery officers
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",4423,"By-law enforcement and other regulatory officers, n.e.c."
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",5254,"Program leaders and instructors in recreation, sport and fitness"
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",6316,Other services supervisors
33-1099,"First-Line Supervisors of Protective Service Workers, All Other",6541,Security guards and related security service occupations
33-2011,Firefighters,4312,Firefighters
33-2011,Firefighters,8422,Silviculture and forestry workers
33-2021,Fire Inspectors and Investigators,2211,Chemical technologists and technicians
33-2021,Fire Inspectors and Investigators,2231,Civil engineering technologists and technicians
33-2021,Fire Inspectors and Investigators,2232,Mechanical engineering technologists and technicians
33-2021,Fire Inspectors and Investigators,2233,Industrial engineering and manufacturing technologists and technicians
33-2021,Fire Inspectors and Investigators,2234,Construction estimators
33-2021,Fire Inspectors and Investigators,2251,Architectural technologists and technicians
33-2021,Fire Inspectors and Investigators,2254,Land survey technologists and technicians
33-2021,Fire Inspectors and Investigators,2261,Non-destructive testers and inspection technicians
33-2021,Fire Inspectors and Investigators,2262,Engineering inspectors and regulatory officers
33-2021,Fire Inspectors and Investigators,2264,Construction inspectors
33-2021,Fire Inspectors and Investigators,4312,Firefighters
33-2022,Forest Fire Inspectors and Prevention Specialists,2211,Chemical technologists and technicians
33-2022,Forest Fire Inspectors and Prevention Specialists,2232,Mechanical engineering technologists and technicians
33-2022,Forest Fire Inspectors and Prevention Specialists,2233,Industrial engineering and manufacturing technologists and technicians
33-2022,Forest Fire Inspectors and Prevention Specialists,2251,Architectural technologists and technicians
33-2022,Forest Fire Inspectors and Prevention Specialists,2261,Non-destructive testers and inspection technicians
33-2022,Forest Fire Inspectors and Prevention Specialists,2262,Engineering inspectors and regulatory officers
33-2022,Forest Fire Inspectors and Prevention Specialists,4312,Firefighters
33-3011,Bailiffs,1227,Court officers and justices of the peace
33-3011,Bailiffs,1242,Legal administrative assistants
33-3011,Bailiffs,1416,Court clerks
33-3011,Bailiffs,4211,Paralegal and related occupations
33-3011,Bailiffs,4421,Sheriffs and bailiffs
33-3011,Bailiffs,6541,Security guards and related security service occupations
33-3012,Correctional Officers and Jailers,4422,Correctional service officers
33-3021,Detectives and Criminal Investigators,0431,Commissioned police officers
33-3021,Detectives and Criminal Investigators,4311,Police officers (except commissioned)
33-3031,Fish and Game Wardens,2224,Conservation and fishery officers
33-3031,Fish and Game Wardens,4423,"By-law enforcement and other regulatory officers, n.e.c."
33-3031,Fish and Game Wardens,5254,"Program leaders and instructors in recreation, sport and fitness"
33-3031,Fish and Game Wardens,6541,Security guards and related security service occupations
33-3041,Parking Enforcement Workers,2224,Conservation and fishery officers
33-3041,Parking Enforcement Workers,4423,"By-law enforcement and other regulatory officers, n.e.c."
33-3041,Parking Enforcement Workers,5254,"Program leaders and instructors in recreation, sport and fitness"
33-3041,Parking Enforcement Workers,6541,Security guards and related security service occupations
33-3051,Police and Sheriff's Patrol Officers,1228,"Employment insurance, immigration, border services and revenue officers"
33-3051,Police and Sheriff's Patrol Officers,4311,Police officers (except commissioned)
33-3052,Transit and Railroad Police,4311,Police officers (except commissioned)
33-9011,Animal Control Workers,2224,Conservation and fishery officers
33-9011,Animal Control Workers,4423,"By-law enforcement and other regulatory officers, n.e.c."
33-9011,Animal Control Workers,5254,"Program leaders and instructors in recreation, sport and fitness"
33-9011,Animal Control Workers,6541,Security guards and related security service occupations
33-9021,Private Detectives and Investigators,1227,Court officers and justices of the peace
33-9021,Private Detectives and Investigators,1242,Legal administrative assistants
33-9021,Private Detectives and Investigators,1416,Court clerks
33-9021,Private Detectives and Investigators,4211,Paralegal and related occupations
33-9021,Private Detectives and Investigators,4421,Sheriffs and bailiffs
33-9021,Private Detectives and Investigators,6541,Security guards and related security service occupations
33-9031,Gaming Surveillance Officers and Gaming Investigators,1227,Court officers and justices of the peace
33-9031,Gaming Surveillance Officers and Gaming Investigators,1242,Legal administrative assistants
33-9031,Gaming Surveillance Officers and Gaming Investigators,1416,Court clerks
33-9031,Gaming Surveillance Officers and Gaming Investigators,4211,Paralegal and related occupations
33-9031,Gaming Surveillance Officers and Gaming Investigators,4421,Sheriffs and bailiffs
33-9031,Gaming Surveillance Officers and Gaming Investigators,6316,Other services supervisors
33-9031,Gaming Surveillance Officers and Gaming Investigators,6541,Security guards and related security service occupations
33-9032,Security Guards,6316,Other services supervisors
33-9032,Security Guards,6541,Security guards and related security service occupations
33-9091,Crossing Guards,2224,Conservation and fishery officers
33-9091,Crossing Guards,4423,"By-law enforcement and other regulatory officers, n.e.c."
33-9091,Crossing Guards,5254,"Program leaders and instructors in recreation, sport and fitness"
33-9091,Crossing Guards,6541,Security guards and related security service occupations
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2224,Conservation and fishery officers
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",4423,"By-law enforcement and other regulatory officers, n.e.c."
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",5254,"Program leaders and instructors in recreation, sport and fitness"
33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",6541,Security guards and related security service occupations
33-9093,Transportation Security Screeners,6316,Other services supervisors
33-9093,Transportation Security Screeners,6541,Security guards and related security service occupations
33-9099,"Protective Service Workers, All Other",2224,Conservation and fishery officers
33-9099,"Protective Service Workers, All Other",4423,"By-law enforcement and other regulatory officers, n.e.c."
33-9099,"Protective Service Workers, All Other",5254,"Program leaders and instructors in recreation, sport and fitness"
33-9099,"Protective Service Workers, All Other",6541,Security guards and related security service occupations
35-1011,Chefs and Head Cooks,6321,Chefs
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,6321,Chefs
35-1012,First-Line Supervisors of Food Preparation and Serving Workers,6322,Cooks
35-2011,"Cooks, Fast Food",6311,Food service supervisors
35-2011,"Cooks, Fast Food",6322,Cooks
35-2011,"Cooks, Fast Food",6711,"Food counter attendants, kitchen helpers and related support occupations"
35-2012,"Cooks, Institution and Cafeteria",6322,Cooks
35-2013,"Cooks, Private Household",6322,Cooks
35-2014,"Cooks, Restaurant",6322,Cooks
35-2015,"Cooks, Short Order",6311,Food service supervisors
35-2015,"Cooks, Short Order",6322,Cooks
35-2015,"Cooks, Short Order",6711,"Food counter attendants, kitchen helpers and related support occupations"
35-2019,"Cooks, All Other",6322,Cooks
35-2021,Food Preparation Workers,6711,"Food counter attendants, kitchen helpers and related support occupations"
35-3011,Bartenders,6512,Bartenders
35-3021,"Combined Food Preparation and Serving Workers, Including Fast Food",6311,Food service supervisors
