code,title,Level,parent,isco1d,isco2d,isco3d,isco4d
3449,"Customs, Tax and related Government associate Professionals not classified elsewhere",4,344,3,34,344,3449
345,Police Inspectors and Detectives,3,34,3,34,345,NA
3450,Police Inspectors and Detectives,4,345,3,34,345,3450
346,Social work Associate Professionals,3,34,3,34,346,NA
3460,Social work Associate Professionals,4,346,3,34,346,3460
347,"Artistic, Entertainment and Sports Associate Professionals",3,34,3,34,347,NA
3471,Decorators and Commercial Designers,4,347,3,34,347,3471
3472,"Radio, Television and other Announcers",4,347,3,34,347,3472
3473,"Street, Night-Club and Related Musicians, Singers and Dancers",4,347,3,34,347,3473
3474,"Clowns, Magicians, Acrobats and related Associate Professionals",4,347,3,34,347,3474
3475,"Athletes, Sportspersons and related Associate Professionals",4,347,3,34,347,3475
348,Religious associate professionals,3,34,3,34,348,NA
3480,Religious Associate Professionals,4,348,3,34,348,3480
4,Clerks,1,NA,4,NA,NA,NA
41,Office Clerks,2,4,4,41,NA,NA
411,Secretaries and Keyboard-operating Clerks,3,41,4,41,411,NA
4111,Stenographers and typists,4,411,4,41,411,4111
4112,Word-processor and related operators,4,411,4,41,411,4112
4113,Data entry operators,4,411,4,41,411,4113
4114,Calculating-machine operators,4,411,4,41,411,4114
4115,Secretaries,4,411,4,41,411,4115
412,Numerical clerks,3,41,4,41,412,NA
4121,Accounting and bookkeeping clerks,4,412,4,41,412,4121
4122,Statistical and finance clerks,4,412,4,41,412,4122
413,Material-recording and Transport Clerks,3,41,4,41,413,NA
4131,Stock Clerks,4,413,4,41,413,4131
4132,Production clerks,4,413,4,41,413,4132
4133,Transport clerks,4,413,4,41,413,4133
414,"Library, mail and related clerks",3,41,4,41,414,NA
4141,Library and filing clerks,4,414,4,41,414,4141
4142,Mail carriers and sorting Clerks,4,414,4,41,414,4142
4143,"Coding, proof-reading, and related Clerks",4,414,4,41,414,4143
4144,Scribes and related workers,4,414,4,41,414,4144
419,Other Office Clerks,3,41,4,41,419,NA
4190,Other Office Clerks,4,419,4,41,419,4190
42,Customer Services Clerks,2,4,4,42,NA,NA
421,"Cashiers, Tellers and related Clerks",3,42,4,42,421,NA
4211,Cashiers and ticket Clerks,4,421,4,42,421,4211
4212,Tellers and other counter Clerks,4,421,4,42,421,4212
4213,Bookmakers and Croupiers,4,421,4,42,421,4213
4214,Pawnbrokers and Money-lenders,4,421,4,42,421,4214
4215,Debt-collectors and related Workers,4,421,4,42,421,4215
422,Client information Clerks,3,42,4,42,422,NA
4221,Travel agency and related Clerks,4,422,4,42,422,4221
4222,Receptionists and information Clerks,4,422,4,42,422,4222
4223,Telephone Switchboard Operators,4,422,4,42,422,4223
5,Service workers and shop and market sales workers,1,NA,5,NA,NA,NA
51,Personal and protective services Workers,2,5,5,51,NA,NA
511,Travel attendants and related Workers,3,51,5,51,511,NA
5111,Travel attendants and travel stewards,4,511,5,51,511,5111
5112,Transport conductors collect or issue tickets,4,511,5,51,511,5112
5113,Travel guides,4,511,5,51,511,5113
512,Housekeeping and restaurant services workers,3,51,5,51,512,NA
5121,Housekeepers and related Workers,4,512,5,51,512,5121
5122,Cooks,4,512,5,51,512,5122
5123,"Waiters, Waitresses and Bartenders",4,512,5,51,512,5123
513,Personal care and related Workers,3,51,5,51,513,NA
5131,Child-care Workers,4,513,5,51,513,5131
5132,Institution-based personal care Workers,4,513,5,51,513,5132
5133,Home-based personal care Workers,4,513,5,51,513,5133
5139,Personal Care and related Workers,4,513,5,51,513,5139
514,Other personal services Workers,3,51,5,51,514,NA
5141,"Hairdressers, barbers, beauticians",4,514,5,51,514,5141
5142,Companions and Valets,4,514,5,51,514,5142
5143,Undertakers and Embalmers,4,514,5,51,514,5143
5149,Other Personal Services Workers not elsewhere classified,4,514,5,51,514,5149
515,"Astrologers, fortune-tellers and related Workers",3,51,5,51,515,NA
5151,Astrologers and related Workers,4,515,5,51,515,5151
5152,"Fortune-tellers, palmists and related workers",4,515,5,51,515,5152
516,Protective services Workers,3,51,5,51,516,NA
5161,Fire-Fighters,4,516,5,51,516,5161
5162,Police Officers,4,516,5,51,516,5162
5163,Prison Guards,4,516,5,51,516,5163
5169,Protective Services Workers Not Elsewhere Classified,4,516,5,51,516,5169
52,"Models, Salespersons and Demonstrators",2,5,5,52,NA,NA
521,Fashion and other Models,3,52,5,52,521,NA
5210,Fashion and other Models,4,521,5,52,521,5210
522,Shop Salespersons and Demonstrators,3,52,5,52,522,NA
5220,Shop salespersons and Demonstrators,4,522,5,52,522,5220
523,Stall and market Salespersons,3,52,5,52,523,NA
5230,Stall and Market Salespersons,4,523,5,52,523,5230
6,Skilled Agricultural and Fishery Workers,1,NA,6,NA,NA,NA
61,Market-oriented skilled Agricultural and Fishery Workers,2,6,6,61,NA,NA
611,Market gardeners and crop growers,3,61,6,61,611,NA
6111,Field crop and vegetable growers,4,611,6,61,611,6111
6112,Tree and shrub crop growers,4,611,6,61,611,6112
6113,"Gardeners, horticultural and nursery growers",4,611,6,61,611,6113
6114,Mixed-crop growers,4,611,6,61,611,6114
612,Market-oriented animal producers and related workers,3,61,6,61,612,NA
6121,Dairy and livestock producers,4,612,6,61,612,6121
6122,Poultry producers,4,612,6,61,612,6122
6123,Apiarists and sericulturists,4,612,6,61,612,6123
6124,Mixed-animal producers,4,612,6,61,612,6124
6129,market-oriented animal producers and related workers not classified,4,612,6,61,612,6129
613,Market-oriented crop and animal producers,3,61,6,61,613,NA
6130,Market-oriented crop and animal producers,4,613,6,61,613,6130
614,Forestry and related workers,3,61,6,61,614,NA
6141,Forestry workers and loggers,4,614,6,61,614,6141
6142,Charcoal burners and related workers,4,614,6,61,614,6142
615,"Fishery workers, hunters and trappers",3,61,6,61,615,NA
6151,Aquatic-life cultivation workers,4,615,6,61,615,6151
6152,Inland and coastal waters fishery workers,4,615,6,61,615,6152
6153,Deep-sea fishery workers,4,615,6,61,615,6153
6154,Hunters and trappers,4,615,6,61,615,6154
62,Subsistence agricultural and fishery workers,2,6,6,62,NA,NA
621,Subsistence agricultural and fishery workers,3,62,6,62,621,NA
6210,Subsistence agricultural and fishery workers,4,621,6,62,621,6210
7,Craft and related workers,1,NA,7,NA,NA,NA
71,Extraction and building trades workers,2,7,7,71,NA,NA
711,"Miners, shotfirers, stone cutters and carvers",3,71,7,71,711,NA
7111,Miners and quarry workers,4,711,7,71,711,7111
7112,Shotfirers and blasters,4,711,7,71,711,7112
7113,"Stone splitters, cutters and carvers",4,711,7,71,711,7113
712,Building frame and related trades workers,3,71,7,71,712,NA
7121,"Builders, traditional materials",4,712,7,71,712,7121
7122,Bricklayers and stonemasons,4,712,7,71,712,7122
7123,"Concrete placers, concrete finishers and related workers",4,712,7,71,712,7123
7124,Carpenters and joiners,4,712,7,71,712,7124
7129,Building frame and related trades workers not classified,4,712,7,71,712,7129
713,Building finishers and related trades workers,3,71,7,71,713,NA
7131,Roofers,4,713,7,71,713,7131
7132,Floor layers and tile setters,4,713,7,71,713,7132
7133,Plasterers,4,713,7,71,713,7133
7134,Insulation workers,4,713,7,71,713,7134
7135,Glaziers,4,713,7,71,713,7135
7136,Plumbers and pipe fitters,4,713,7,71,713,7136
7137,Building and related electricians,4,713,7,71,713,7137
714,"Painters, building structure cleaners and related trades workers",3,71,7,71,714,NA
7141,Painters and related workers,4,714,7,71,714,7141
7142,Varnishers and related painters,4,714,7,71,714,7142
7143,Building structure cleaners,4,714,7,71,714,7143
72,"Metal, machinery and related trades workers",2,7,7,72,NA,NA
721,"Metal moulders,welders, sheet-metalworkers, structural-metal preparers and related trades workers",3,72,7,72,721,NA
7211,Metal moulders and coremakers,4,721,7,72,721,7211
7212,Welders and flame cutters,4,721,7,72,721,7212
7213,Sheet-metal workers,4,721,7,72,721,7213
7214,Structural-metal preparers and erectors,4,721,7,72,721,7214
7215,Riggers and cable splicers,4,721,7,72,721,7215
7216,Underwater workers,4,721,7,72,721,7216
722,"Blacksmiths, tool-makers and related trades workers",3,72,7,72,722,NA
7221,"Blacksmiths, hammer-smiths and forging-press workers",4,722,7,72,722,7221
7222,Tool-makers and related workers,4,722,7,72,722,7222
7223,Machine-tool setters and setter-operators,4,722,7,72,722,7223
7224,"Metal wheel-grinders, polishers and tool sharpeners",4,722,7,72,722,7224
723,Machinery mechanics and fitters,3,72,7,72,723,NA
7231,Motor vehicle mechanics and fitters,4,723,7,72,723,7231
7232,Aircraft engine mechanics and fitters,4,723,7,72,723,7232
7233,Agricultural- or industrial-machinery mechanics and fitters,4,723,7,72,723,7233
724,Electrical and electronic equipment mechanics and fitters,3,72,7,72,724,NA
7241,Electrical mechanics and fitters,4,724,7,72,724,7241
7242,Electronics fitters,4,724,7,72,724,7242
7243,Electronics mechanics and servicers,4,724,7,72,724,7243
7244,Telegraph and telephone installers and servicers,4,724,7,72,724,7244
7245,"Electrical line installers, repairers and cable jointers",4,724,7,72,724,7245
73,"Precision, handicraft, printing and related trades workers",2,7,7,73,NA,NA
731,Precision workers in metal and related materials,3,73,7,73,731,NA
7311,Precision-instrument makers and repairers,4,731,7,73,731,7311
7312,Musical-instrument makers and tuners,4,731,7,73,731,7312
7313,Jewellery and precious-metal workers,4,731,7,73,731,7313
732,"Potters, glass-makers and related trades",3,73,7,73,732,NA
7321,"Abrasive wheel formers, potters and related workers",4,732,7,73,732,7321
7322,"Glass-makers, cutters, grinders and finishers",4,732,7,73,732,7322
7323,Glass engravers and etchers,4,732,7,73,732,7323
7324,"Glass, ceramics and related decorative painters",4,732,7,73,732,7324
733,"Handicraft workers in wood, textile, leather and related materials",3,73,7,73,733,NA
7331,Handicraft workers in wood and related materials,4,733,7,73,733,7331
7332,"Handicraft workers in textile, leather and related materials",4,733,7,73,733,7332
734,Printing and related trades workers,3,73,7,73,734,NA
7341,"Compositors, typesetters and related workers",4,734,7,73,734,7341
7342,Stereotypers and electrotypers,4,734,7,73,734,7342
7343,Printing engravers and etchers,4,734,7,73,734,7343
7344,Photographic and related workers,4,734,7,73,734,7344
7345,Bookbinders and related workers,4,734,7,73,734,7345
7346,"Silk-screen, block and textile printers",4,734,7,73,734,7346
74,Other craft and related trades workers,2,7,7,74,NA,NA
741,Food processing and related trades workers,3,74,7,74,741,NA
7411,"Butchers, fishmongers and related food preparers",4,741,7,74,741,7411
7412,"Bakers, pastry-cooks and confectionery makers",4,741,7,74,741,7412
7413,Dairy products makers,4,741,7,74,741,7413
7414,"Fruit, vegetable and related preservers",4,741,7,74,741,7414
7415,Food and beverage tasters,4,741,7,74,741,7415
7416,Tobacco preparers,4,741,7,74,741,7416
742,"Wood treaters, cabinet-makers, and related trades workers",3,74,7,74,742,NA
7421,Wood treaters season and preserve wood.,4,742,7,74,742,7421
7422,Cabinet-makers and related workers,4,742,7,74,742,7422
7423,Woodworking-machine setters and setter-operators,4,742,7,74,742,7423
7424,"Basketry weavers, brush makers and related workers",4,742,7,74,742,7424
743,"Textile, garment and related trades workers",3,74,7,74,743,NA
7431,Fibre preparers,4,743,7,74,743,7431
7432,"Weavers, knitters and related workers",4,743,7,74,743,7432
7433,"Tailors, dressmakers and hatters",4,743,7,74,743,7433
7434,Furriers and related workers,4,743,7,74,743,7434
7435,"Textile, leather and related pattern-makers and cutters",4,743,7,74,743,7435
7436,"Sewers, embroiderers and related workers",4,743,7,74,743,7436
7437,Upholsterers and related workers,4,743,7,74,743,7437
744,"Pelt, leather and shoemaking trades workers",3,74,7,74,744,NA
7441,"Pelt dressers, tanners and fellmongers",4,744,7,74,744,7441
7442,Shoe-makers and related workers,4,744,7,74,744,7442
8,Plant and machine operators and assemblers,1,NA,8,NA,NA,NA
81,Stationary-plant and related operators operate and monitor,2,8,8,81,NA,NA
811,Mining- and mineral-processing-plant operators,3,81,8,81,811,NA
8111,Mining-plant operators,4,811,8,81,811,8111
8112,Mineral-ore- and stone-processing-plant operators,4,811,8,81,811,8112
8113,Well drillers and borers and related workers,4,811,8,81,811,8113
812,Metal-processing-plant operators,4,81,8,81,812,812
8121,Ore and metal furnace operators,4,812,8,81,812,8121
8122,"Metal melters, casters and rolling-mill operators",4,812,8,81,812,8122
8123,Metal-heat-treating-plant operators,4,812,8,81,812,8123
8124,Metal drawers and extruders operate,4,812,8,81,812,8124
813,"Glass, ceramics and related plant operators",3,81,8,81,813,NA
8131,Glass and ceramics kiln and related machine operators,4,813,8,81,813,8131
8139,glass and ceramics plant operators,4,813,8,81,813,8139
814,Wood-processing- and papermaking-plant operators,3,81,8,81,814,NA
8141,Wood-processing-plant operators,4,814,8,81,814,8141
8142,Paper-pulp plant operators,4,814,8,81,814,8142
8143,Papermaking-plant operators,4,814,8,81,814,8143
815,Chemical-processing-plant operators,3,81,8,81,815,NA
8151,"Crushing-, grinding- and chemical-mixing-machinery",4,815,8,81,815,8151
8152,Chemical-heat-treating-plant operators,4,815,8,81,815,8152
8153,Chemical-filtering- and separating-equipment operators,4,815,8,81,815,8153
8154,Still and reactor operators (except petroleum and natural gas),4,815,8,81,815,8154
8155,Petroleum- and natural-gas-refining plant operators,4,815,8,81,815,8155
8159,chemical-processing-plant operators not classified elsewhere,4,815,8,81,815,8159
816,Power-production and related plant operators,3,81,8,81,816,NA
8161,Power-production plant operators operate and monitor machinery,4,816,8,81,816,8161
8162,Steam-engine and boiler operators,4,816,8,81,816,8162
8163,"Incinerator, water-treatment and related plant operators",4,816,8,81,816,8163
817,Automated-assembly-line and industrial-robot operators,3,81,8,81,817,NA
8171,Automated-assembly-line operators,4,817,8,81,817,8171
8172,Industrial-robot operators,4,817,8,81,817,8172
82,Machine operators and assemblers,2,8,8,82,NA,NA
821,Metal- and mineral-products machine operators,3,82,8,82,821,NA
8211,Machine-tool operators,4,821,8,82,821,8211
8212,Cement and other mineral products machine operators,4,821,8,82,821,8212
822,Chemical-products machine operators,3,82,8,82,822,NA
8221,Pharmaceutical- and toiletry-products machine operators,4,822,8,82,822,8221
8222,Ammunition- and explosive-products machine operators,4,822,8,82,822,8222
8223,"Metal finishing-, plating- and coating-machine operators",4,822,8,82,822,8223
8224,Photographic-products machine operators,4,822,8,82,822,8224
8229,Chemical-products machine operators not classified,4,822,8,82,822,8229
823,Rubber- and plastic-products machine operators,3,82,8,82,823,NA
8231,Rubber-products machine operators,4,823,8,82,823,8231
8232,Plastic-products machine operators,4,823,8,82,823,8232
823,Wood-products machine operators,3,82,8,82,823,NA
8240,Wood-products machine operators,4,824,8,82,824,8240
825,"Printing-, binding- and paper-products machine operators",3,82,8,82,825,NA
8251,Printing-machine operators,4,825,8,82,825,8251
8252,Bookbinding-machine operators,4,825,8,82,825,8252
8253,Paper-products machine operators,4,825,8,82,825,8253
826,"Textile-, fur- and leather-products machine operators",3,82,8,82,826,NA
8261,"Fibre-preparing, spinning- and winding-machine operators",4,826,8,82,826,8261
8262,Weaving- and knitting-machine operators,4,826,8,82,826,8262
8263,Sewing-machine operators,4,826,8,82,826,8263
8264,"Bleaching-, dyeing- and cleaning-machine operators",4,826,8,82,826,8264
8265,Fur- and leather-preparing-machine operators,4,826,8,82,826,8265
8266,Shoemaking- and related machine operators,4,826,8,82,826,8266
8269,"textile-, fur- and leather-products machine operators",4,826,8,82,826,8269
827,Food and related products machine operators,3,82,8,82,827,NA
8271,Meat- and fish-processing-machine operators,4,827,8,82,827,8271
8272,Dairy-products machine operators,4,827,8,82,827,8272
8273,Grain- and spice-milling-machine operators,4,827,8,82,827,8273
